wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
16.455957,13.208104,0.405904,0.016725,20.006199,24.999367,1.068921,0.763535,4.647742,0.000009,2.733933,0.108894,2.324106,-72.050194,-36.025097
16.455956,8.300964,0.405903,0.016726,20.006199,24.999367,1.068921,0.763534,1.581475,0.000003,0.878791,0.893996,2.324105,-39.519825,-19.759912
16.455956,8.300964,0.405903,0.016726,20.006199,24.999367,1.068921,0.763534,1.581475,0.000003,0.878791,0.893996,2.324105,-39.519825,-19.759912
8.451149,4.687315,0.396151,0.153228,118.706924,24.999062,0.969536,0.759929,3.011987,0.000004,1.776189,0.911386,1.976808,-15.236925,-7.618463
8.451149,4.687315,0.396151,0.153228,118.706924,24.999062,0.969536,0.759929,3.011987,0.000004,1.776189,0.911386,1.976808,-15.236925,-7.618463
26.534214,10.678058,0.488098,0.126720,142.382965,24.999443,2.142721,0.706046,2.407949,0.000001,1.199107,0.667719,1.138050,-14.366953,-7.183476
94.570709,4.355322,0.377809,0.592459,125.589355,24.999847,0.433573,0.063792,2.358989,0.000002,2.366106,0.073292,1.091158,-2.244509,-1.122255
49.564350,10.647142,0.134767,0.324637,40.279816,24.999786,2.742548,0.593451,5.057953,0.000002,2.493118,0.561754,2.426212,-2.205544,-1.102772
26.283247,18.448036,0.157444,0.627852,65.008415,24.999144,2.181779,0.312880,2.870680,0.000008,0.961398,0.870703,1.279050,-2.060063,-1.030032
26.283249,9.093379,0.157444,0.795775,65.008415,24.999144,0.325332,0.588521,3.091691,0.000000,2.331265,0.870703,0.841824,-2.021989,-1.010995
227.234695,4.960702,0.492098,0.882627,55.196526,24.999945,0.635068,0.514020,3.394619,0.000006,0.373736,0.425960,0.431732,-1.862111,-0.931055
227.234695,4.960702,0.492098,0.882627,55.196526,24.999945,0.635068,0.514020,3.394619,0.000006,0.373736,0.425960,0.431732,-1.862111,-0.931055
227.234695,4.960702,0.492098,0.882627,55.196526,24.999945,0.635068,0.514020,3.394619,0.000006,0.373736,0.425960,0.431732,-1.862111,-0.931055
215.267990,16.565680,0.010199,0.698517,28.801271,24.999355,2.365097,0.893964,7.265985,0.000002,2.509486,0.657779,0.364839,-1.854322,-0.927161
210.750427,14.535604,0.243874,0.962707,93.846573,24.999203,1.342804,0.891701,8.826609,0.000002,2.446596,0.910704,1.556896,-1.849435,-0.924718
192.588104,1.969879,0.323779,0.733412,67.894440,24.999966,0.635066,0.514020,3.394620,0.000004,0.373737,0.559428,4.492044,-1.826005,-0.913002
180.809479,12.052654,0.271853,0.812443,99.467560,24.999746,2.597562,0.633107,6.344737,0.000005,0.210281,0.965631,3.327434,-1.819469,-0.909735
21.423470,2.812488,0.324526,0.365245,125.589355,24.999846,0.094706,0.063793,3.110538,0.000002,1.806701,0.568114,0.204968,-1.806196,-0.903098
