wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
12.096229,18.375896,0.417997,0.551613,138.666489,24.999582,2.525805,0.779007,7.620980,0.000008,0.975268,0.780020,2.869859,-0.396340,-0.198170
41.659061,13.619323,0.467841,0.141127,57.247307,24.999496,1.964322,0.456496,1.217753,0.000005,0.270095,0.345752,0.912972,-0.351348,-0.175674
37.766888,7.450429,0.417995,0.275274,9.112290,24.999147,2.238286,0.959457,6.558959,0.000001,1.688025,0.602154,1.100480,-0.296844,-0.148422
70.053230,13.619323,0.310104,0.116880,71.153259,24.999104,1.287778,0.404460,1.217753,0.000005,0.968018,0.345749,0.912974,0.004806,0.002403
70.053230,13.619323,0.310104,0.116880,71.153259,24.999104,1.287778,0.404460,1.217753,0.000005,0.968018,0.345749,0.912974,0.004806,0.002403
70.053230,13.619323,0.310104,0.116880,71.153259,24.999104,1.287778,0.404460,1.217753,0.000005,0.968018,0.345749,0.912974,0.004806,0.002403
45.034233,8.127516,0.203945,0.388142,59.347218,24.999334,0.544113,0.857889,5.530723,0.000010,2.709651,0.890178,2.318892,0.144637,0.072319
136.966614,15.798243,0.417995,0.275274,55.698986,25.000000,0.838056,0.852015,6.315624,0.000003,1.688025,0.581868,1.100478,0.168480,0.084240
136.966614,15.798243,0.417995,0.275274,55.698986,25.000000,0.838056,0.852015,6.315624,0.000003,1.688025,0.581868,1.100478,0.168480,0.084240
136.966614,15.798243,0.417995,0.275274,55.698986,25.000000,0.838056,0.852015,6.315624,0.000003,1.688025,0.581868,1.100478,0.168480,0.084240
80.981918,15.245591,0.330027,0.074640,112.636475,24.999252,0.162012,0.081189,3.887878,0.000007,0.157394,0.045478,3.162987,0.171259,0.085629
114.275459,13.619322,0.369457,0.305109,71.153259,24.999102,1.478343,0.404462,1.217752,0.000005,0.968020,0.367036,0.906045,0.186503,0.093251
136.966614,18.259144,0.417995,0.271176,55.698986,25.000000,1.590181,0.889228,4.519561,0.000005,1.382548,0.926024,0.207414,0.188128,0.094064
136.966614,18.259144,0.417995,0.271176,55.698986,25.000000,1.590181,0.889228,4.519561,0.000005,1.382548,0.926024,0.207414,0.188128,0.094064
136.966614,18.259144,0.417995,0.271176,55.698986,25.000000,1.590181,0.889228,4.519561,0.000005,1.382548,0.926024,0.207414,0.188128,0.094064
136.966614,18.259144,0.417995,0.271176,55.698986,25.000000,1.590181,0.889228,4.519561,0.000005,1.382548,0.926024,0.207414,0.188128,0.094064
136.966614,18.259144,0.417995,0.271176,55.698986,25.000000,1.590181,0.889228,4.519561,0.000005,1.382548,0.926024,0.207414,0.188128,0.094064
136.966614,19.044577,0.417996,0.576194,119.438538,25.000000,1.590181,0.889229,4.519560,0.000003,0.516855,0.926024,0.207413,0.190857,0.095429
104.507172,18.665615,0.146557,0.897892,77.831566,24.999826,2.703084,0.477284,6.273917,0.000002,1.830927,0.421452,4.536188,0.197280,0.098640
87.771820,8.127515,0.124027,0.388144,59.347218,24.999332,0.544113,0.857887,9.566307,0.000009,2.709651,0.890179,2.318892,0.198426,0.099213
67.380890,5.692260,0.424862,0.845657,98.400780,24.999212,1.241619,0.161789,9.674376,0.000001,2.961797,0.597250,2.069052,0.198684,0.099342
67.380890,5.692260,0.424862,0.845657,98.400780,24.999212,1.241619,0.161789,9.674376,0.000001,2.961797,0.597250,2.069052,0.198684,0.099342
165.287781,6.292319,0.083780,0.799125,27.296486,24.999136,0.447489,0.651460,8.619137,0.000002,1.682244,0.243443,0.391359,0.199726,0.099863
165.287781,6.292319,0.083780,0.799125,27.296486,24.999136,0.447489,0.651460,8.619137,0.000002,1.682244,0.243443,0.391359,0.199726,0.099863
165.287781,6.292319,0.083780,0.799125,27.296486,24.999136,0.447489,0.651460,8.619137,0.000002,1.682244,0.243443,0.391359,0.199726,0.099863
165.287781,6.292319,0.083780,0.799125,27.296486,24.999136,0.447489,0.651460,8.619137,0.000002,1.682244,0.243443,0.391359,0.199726,0.099863
132.035217,4.004274,0.381123,0.964349,17.312105,24.999733,1.693733,0.678381,3.171541,0.000005,1.359049,0.505577,1.419486,0.201056,0.100528
61.557339,1.648123,0.370918,0.816762,29.908669,24.999863,2.137980,0.265928,8.291032,0.000003,2.054612,0.856200,0.345903,0.201379,0.100689
61.557339,1.648123,0.370918,0.816762,29.908669,24.999863,2.137980,0.265928,8.291032,0.000003,2.054612,0.856200,0.345903,0.201379,0.100689
232.108521,1.587634,0.103159,0.200656,40.640133,24.999956,2.820071,0.720389,9.294941,0.000006,2.432555,0.215859,0.426887,0.201490,0.100745
232.108521,1.587634,0.103159,0.200656,40.640133,24.999956,2.820071,0.720389,9.294941,0.000006,2.432555,0.215859,0.426887,0.201490,0.100745
232.108521,1.587634,0.103159,0.200656,40.640133,24.999956,2.820071,0.720389,9.294941,0.000006,2.432555,0.215859,0.426887,0.201490,0.100745
232.108521,1.587634,0.103159,0.200656,40.640133,24.999956,2.820071,0.720389,9.294941,0.000006,2.432555,0.215859,0.426887,0.201490,0.100745
160.688538,2.788784,0.195842,0.471460,88.760834,24.999681,0.828204,0.615765,4.747253,0.000002,0.742952,0.638897,1.589947,0.203738,0.101869
190.721466,16.686607,0.035784,0.724879,131.754959,24.999107,1.494730,0.236742,6.583423,0.000000,0.670734,0.254519,0.294490,0.204612,0.102306
190.721466,16.686607,0.035784,0.724879,131.754959,24.999107,1.494730,0.236742,6.583423,0.000000,0.670734,0.254519,0.294490,0.204612,0.102306
124.235199,17.701118,0.366395,0.737144,108.586838,24.999609,1.237293,0.195313,7.435200,0.000001,2.600408,0.122303,3.083638,0.204612,0.102306
124.235199,17.701118,0.366395,0.737144,108.586838,24.999609,1.237293,0.195313,7.435200,0.000001,2.600408,0.122303,3.083638,0.204612,0.102306
124.235199,17.701118,0.366395,0.737144,108.586838,24.999609,1.237293,0.195313,7.435200,0.000001,2.600408,0.122303,3.083638,0.204612,0.102306
124.235199,17.701118,0.366395,0.737144,108.586838,24.999609,1.237293,0.195313,7.435200,0.000001,2.600408,0.122303,3.083638,0.204612,0.102306
124.235199,17.701118,0.366395,0.737144,108.586838,24.999609,1.237293,0.195313,7.435200,0.000001,2.600408,0.122303,3.083638,0.204612,0.102306
124.235199,17.701118,0.366395,0.737144,108.586838,24.999609,1.237293,0.195313,7.435200,0.000001,2.600408,0.122303,3.083638,0.204612,0.102306
124.235199,17.701118,0.366395,0.737144,108.586838,24.999609,1.237293,0.195313,7.435200,0.000001,2.600408,0.122303,3.083638,0.204612,0.102306
124.864395,10.144846,0.469456,0.948272,9.412582,24.999315,1.123552,0.234160,9.210501,0.000004,1.495296,0.571601,4.676169,0.204753,0.102376
124.864395,10.144846,0.469456,0.948272,9.412582,24.999315,1.123552,0.234160,9.210501,0.000004,1.495296,0.571601,4.676169,0.204753,0.102376
124.864395,10.144846,0.469456,0.948272,9.412582,24.999315,1.123552,0.234160,9.210501,0.000004,1.495296,0.571601,4.676169,0.204753,0.102376
124.864395,10.144846,0.469456,0.948272,9.412582,24.999315,1.123552,0.234160,9.210501,0.000004,1.495296,0.571601,4.676169,0.204753,0.102376
124.864395,10.144846,0.469456,0.948272,9.412582,24.999315,1.123552,0.234160,9.210501,0.000004,1.495296,0.571601,4.676169,0.204753,0.102376
104.507172,18.665615,0.146558,0.948382,77.831566,24.999828,2.703083,0.121349,6.273918,0.000001,1.830928,0.421453,4.536187,0.205132,0.102566
55.918392,0.382423,0.355299,0.639437,29.021248,24.999861,2.475392,0.285220,5.020690,0.000002,2.957909,0.422377,2.458676,0.205881,0.102940
216.760284,16.716175,0.308550,0.530247,92.306206,24.999046,0.538952,0.251075,3.059731,0.000000,1.692448,0.027206,2.171146,0.206078,0.103039
229.302795,10.272136,0.154099,0.964350,78.715332,24.999903,1.819146,0.470215,4.273097,0.000005,1.359047,0.505577,0.539034,0.206432,0.103216
229.302795,10.272136,0.154099,0.964350,78.715332,24.999903,1.819146,0.470215,4.273097,0.000005,1.359047,0.505577,0.539034,0.206432,0.103216
98.696724,14.482499,0.470072,0.475409,110.706741,24.999052,1.018230,0.084907,3.267396,0.000005,0.456419,0.376988,0.719331,0.206617,0.103309
98.696724,14.482499,0.470072,0.475409,110.706741,24.999052,1.018230,0.084907,3.267396,0.000005,0.456419,0.376988,0.719331,0.206617,0.103309
216.760284,15.245594,0.330025,0.717124,138.669388,24.999146,0.162012,0.650792,3.887878,0.000000,0.157394,0.089160,2.608585,0.206848,0.103424
216.760284,15.245594,0.330025,0.717124,138.669388,24.999146,0.162012,0.650792,3.887878,0.000000,0.157394,0.089160,2.608585,0.206848,0.103424
216.760284,15.245594,0.330025,0.717124,138.669388,24.999146,0.162012,0.650792,3.887878,0.000000,0.157394,0.089160,2.608585,0.206848,0.103424
216.760284,15.245594,0.330025,0.717124,138.669388,24.999146,0.162012,0.650792,3.887878,0.000000,0.157394,0.089160,2.608585,0.206848,0.103424
216.760284,15.245594,0.330025,0.717124,138.669388,24.999146,0.162012,0.650792,3.887878,0.000000,0.157394,0.089160,2.608585,0.206848,0.103424
164.201508,13.596523,0.385151,0.355328,35.515366,24.999968,0.124550,0.555148,3.270804,0.000000,0.724700,0.852298,2.951834,0.206869,0.103434
197.891052,12.121477,0.375674,0.593202,41.104183,24.999290,0.579212,0.472163,2.745806,0.000003,0.018702,0.566421,3.027261,0.207792,0.103896
143.757294,16.329264,0.183805,0.870281,82.115768,24.999546,0.064978,0.214873,9.494120,0.000000,0.892555,0.353073,3.845676,0.207852,0.103926
216.760284,19.152037,0.280755,0.505652,92.306206,24.999146,0.538951,0.650794,3.059730,0.000002,1.032423,0.089162,2.608584,0.207907,0.103954
232.339020,14.382416,0.229409,0.546823,99.115906,24.999298,0.622124,0.970348,1.838232,0.000001,1.561831,0.079209,2.795300,0.208363,0.104181
232.339020,14.382416,0.229409,0.546823,99.115906,24.999298,0.622124,0.970348,1.838232,0.000001,1.561831,0.079209,2.795300,0.208363,0.104181
232.339020,14.382416,0.229409,0.546823,99.115906,24.999298,0.622124,0.970348,1.838232,0.000001,1.561831,0.079209,2.795300,0.208363,0.104181
143.721954,4.994197,0.351479,0.873386,64.957367,24.999939,0.639064,0.767535,2.622991,0.000002,0.589543,0.879696,4.544780,0.208791,0.104396
143.721954,4.994197,0.351479,0.873386,64.957367,24.999939,0.639064,0.767535,2.622991,0.000002,0.589543,0.879696,4.544780,0.208791,0.104396
143.721954,4.994197,0.351479,0.873386,64.957367,24.999939,0.639064,0.767535,2.622991,0.000002,0.589543,0.879696,4.544780,0.208791,0.104396
143.721954,4.994197,0.351479,0.873386,64.957367,24.999939,0.639064,0.767535,2.622991,0.000002,0.589543,0.879696,4.544780,0.208791,0.104396
104.507172,11.327925,0.146559,0.790040,77.831566,24.999830,2.703084,0.121350,2.209076,0.000008,1.830929,0.421455,4.536188,0.209156,0.104578
140.358276,10.224598,0.271825,0.243359,7.311105,24.999428,2.107975,0.330200,2.443111,0.000009,1.852964,0.740941,3.957014,0.209185,0.104592
157.888092,19.958448,0.021000,0.836814,78.855316,24.999016,1.733947,0.087558,7.981945,0.000003,1.280189,0.218560,2.274244,0.209378,0.104689
86.121201,1.516396,0.224483,0.645471,47.220833,24.999161,0.696461,0.669792,9.085630,0.000000,2.807575,0.790969,4.993149,0.209543,0.104771
86.121201,1.516396,0.224483,0.645471,47.220833,24.999161,0.696461,0.669792,9.085630,0.000000,2.807575,0.790969,4.993149,0.209543,0.104771
155.859497,4.321272,0.132345,0.900463,69.829636,24.999640,0.531608,0.929243,3.126714,0.000001,2.343854,0.707496,3.786320,0.209858,0.104929
128.258224,10.063132,0.261329,0.670448,114.661995,24.999361,1.364105,0.123156,6.286102,0.000002,2.277494,0.308269,3.063845,0.210461,0.105231
166.448608,1.875276,0.018660,0.271063,85.883842,24.999252,0.697266,0.730160,7.649417,0.000006,2.156899,0.819242,2.024189,0.210780,0.105390
54.814331,0.382424,0.355300,0.639437,32.275707,24.999363,2.475393,0.069091,7.012817,0.000006,0.720162,0.543958,3.756144,0.210931,0.105466
209.916580,7.348112,0.073461,0.624814,26.412716,24.999065,0.436651,0.302594,8.289721,0.000004,2.154127,0.159319,3.625793,0.211047,0.105524
233.666138,10.224596,0.069642,0.883994,7.311103,24.999107,2.107975,0.330200,2.443111,0.000009,0.548816,0.740941,3.957013,0.211098,0.105549
228.739899,10.322036,0.146558,0.797470,77.831566,24.999767,2.063847,0.318988,4.433367,0.000007,2.002277,0.421454,4.566098,0.211149,0.105575
152.502441,13.341488,0.231058,0.796125,147.906052,24.999332,1.597531,0.063524,7.055055,0.000009,2.642792,0.129742,1.106982,0.211259,0.105630
152.502441,13.341488,0.231058,0.796125,147.906052,24.999332,1.597531,0.063524,7.055055,0.000009,2.642792,0.129742,1.106982,0.211259,0.105630
152.502441,13.341488,0.231058,0.796125,147.906052,24.999332,1.597531,0.063524,7.055055,0.000009,2.642792,0.129742,1.106982,0.211259,0.105630
228.739899,10.322034,0.146559,0.797471,131.040192,24.999765,2.063845,0.154743,4.433368,0.000008,0.674023,0.421454,4.566099,0.211296,0.105648
228.739899,10.322034,0.146559,0.797471,131.040192,24.999765,2.063845,0.154743,4.433368,0.000008,0.674023,0.421454,4.566099,0.211296,0.105648
209.916580,7.348110,0.076239,0.624815,26.412718,24.999065,0.436649,0.302596,6.555117,0.000004,2.154125,0.159320,3.625795,0.211638,0.105819
209.916580,7.348110,0.076239,0.624815,26.412718,24.999065,0.436649,0.302596,6.555117,0.000004,2.154125,0.159320,3.625795,0.211638,0.105819
124.979973,14.842781,0.351598,0.749201,113.390327,24.999575,0.907213,0.040064,4.718412,0.000009,0.222061,0.531098,2.250834,0.212216,0.106108
124.979973,14.842781,0.351598,0.749201,113.390327,24.999575,0.907213,0.040064,4.718412,0.000009,0.222061,0.531098,2.250834,0.212216,0.106108
124.979973,14.842781,0.351598,0.749201,113.390327,24.999575,0.907213,0.040064,4.718412,0.000009,0.222061,0.531098,2.250834,0.212216,0.106108
124.979973,14.842781,0.351598,0.749201,113.390327,24.999575,0.907213,0.040064,4.718412,0.000009,0.222061,0.531098,2.250834,0.212216,0.106108
124.979973,14.842781,0.351598,0.749201,113.390327,24.999575,0.907213,0.040064,4.718412,0.000009,0.222061,0.531098,2.250834,0.212216,0.106108
124.979973,14.842781,0.351598,0.749201,113.390327,24.999575,0.907213,0.040064,4.718412,0.000009,0.222061,0.531098,2.250834,0.212216,0.106108
124.979973,14.842781,0.351598,0.749201,113.390327,24.999575,0.907213,0.040064,4.718412,0.000009,0.222061,0.531098,2.250834,0.212216,0.106108
100.571220,3.179528,0.319404,0.581437,13.792023,24.999601,1.994253,0.849625,9.886974,0.000002,2.185599,0.907222,4.688258,0.212636,0.106318
248.768082,8.198000,0.076239,0.624814,26.412718,24.999065,0.436650,0.989635,1.554613,0.000004,2.164571,0.159318,3.625794,0.212820,0.106410
248.768082,8.198000,0.076239,0.624814,26.412718,24.999065,0.436650,0.989635,1.554613,0.000004,2.164571,0.159318,3.625794,0.212820,0.106410
248.768082,8.198000,0.076239,0.624814,26.412718,24.999065,0.436650,0.989635,1.554613,0.000004,2.164571,0.159318,3.625794,0.212820,0.106410
248.768082,8.198000,0.076239,0.624814,26.412718,24.999065,0.436650,0.989635,1.554613,0.000004,2.164571,0.159318,3.625794,0.212820,0.106410
248.768082,8.198000,0.076239,0.624814,26.412718,24.999065,0.436650,0.989635,1.554613,0.000004,2.164571,0.159318,3.625794,0.212820,0.106410
136.966614,17.824533,0.417996,0.576196,119.438538,24.999998,1.590179,0.515503,5.295146,0.000009,1.567822,0.926024,2.894314,0.213614,0.106807
136.966614,17.824533,0.417996,0.576196,119.438538,24.999998,1.590179,0.515503,5.295146,0.000009,1.567822,0.926024,2.894314,0.213614,0.106807
136.966614,17.824533,0.417996,0.576196,119.438538,24.999998,1.590179,0.515503,5.295146,0.000009,1.567822,0.926024,2.894314,0.213614,0.106807
233.666138,10.224596,0.069643,0.883994,7.311104,24.999105,0.931196,0.330199,2.443111,0.000003,0.542250,0.989741,2.098006,0.214029,0.107015
233.666138,10.224596,0.069643,0.883994,7.311104,24.999105,0.931196,0.330199,2.443111,0.000003,0.542250,0.989741,2.098006,0.214029,0.107015
105.365967,13.106421,0.433519,0.800098,57.384811,24.999853,1.277551,0.045774,7.121274,0.000002,1.725846,0.661518,3.939755,0.214208,0.107104
105.365967,13.106421,0.433519,0.800098,57.384811,24.999853,1.277551,0.045774,7.121274,0.000002,1.725846,0.661518,3.939755,0.214208,0.107104
105.365967,13.106421,0.433519,0.800098,57.384811,24.999853,1.277551,0.045774,7.121274,0.000002,1.725846,0.661518,3.939755,0.214208,0.107104
105.365967,13.106421,0.433519,0.800098,57.384811,24.999853,1.277551,0.045774,7.121274,0.000002,1.725846,0.661518,3.939755,0.214208,0.107104
105.365967,13.106421,0.433519,0.800098,57.384811,24.999853,1.277551,0.045774,7.121274,0.000002,1.725846,0.661518,3.939755,0.214208,0.107104
105.365967,13.106421,0.433519,0.800098,57.384811,24.999853,1.277551,0.045774,7.121274,0.000002,1.725846,0.661518,3.939755,0.214208,0.107104
105.365967,13.106421,0.433519,0.800098,57.384811,24.999853,1.277551,0.045774,7.121274,0.000002,1.725846,0.661518,3.939755,0.214208,0.107104
105.365967,13.106421,0.433519,0.800098,57.384811,24.999853,1.277551,0.045774,7.121274,0.000002,1.725846,0.661518,3.939755,0.214208,0.107104
136.966614,17.824533,0.417996,0.576196,119.438538,25.000000,1.590179,0.439144,4.519559,0.000002,1.567821,0.926024,2.894315,0.214611,0.107305
54.814331,5.552784,0.394842,0.639439,32.275707,24.999363,2.475396,0.069092,7.012816,0.000005,0.720161,0.985040,3.756145,0.214787,0.107393
54.814331,5.552784,0.394842,0.639439,32.275707,24.999363,2.475396,0.069092,7.012816,0.000005,0.720161,0.985040,3.756145,0.214787,0.107393
124.979973,13.879010,0.456447,0.394907,108.788147,24.999067,0.907214,0.040063,1.583534,0.000007,0.348843,0.565890,2.018966,0.214921,0.107461
124.979973,13.879010,0.456447,0.394907,108.788147,24.999067,0.907214,0.040063,1.583534,0.000007,0.348843,0.565890,2.018966,0.214921,0.107461
124.979973,13.879010,0.456447,0.394907,108.788147,24.999067,0.907214,0.040063,1.583534,0.000007,0.348843,0.565890,2.018966,0.214921,0.107461
233.666138,10.224595,0.389124,0.883994,7.311105,24.999435,0.931196,0.330199,2.443111,0.000004,0.542248,0.989740,4.673875,0.215786,0.107893
233.666138,10.224595,0.389124,0.883994,7.311105,24.999435,0.931196,0.330199,2.443111,0.000004,0.542248,0.989740,4.673875,0.215786,0.107893
233.666138,10.224595,0.389124,0.883994,7.311105,24.999435,0.931196,0.330199,2.443111,0.000004,0.542248,0.989740,4.673875,0.215786,0.107893
91.727684,8.042004,0.422027,0.608949,7.513935,24.999729,1.407960,0.337289,7.470829,0.000000,1.712429,0.991636,4.833993,0.217091,0.108546
91.727684,8.042004,0.422027,0.608949,7.513935,24.999729,1.407960,0.337289,7.470829,0.000000,1.712429,0.991636,4.833993,0.217091,0.108546
91.727684,8.042004,0.422027,0.608949,7.513935,24.999729,1.407960,0.337289,7.470829,0.000000,1.712429,0.991636,4.833993,0.217091,0.108546
91.727684,8.042004,0.422027,0.608949,7.513935,24.999729,1.407960,0.337289,7.470829,0.000000,1.712429,0.991636,4.833993,0.217091,0.108546
195.768265,4.582644,0.042457,0.438272,48.177444,24.999382,1.498994,0.944991,8.647840,0.000007,2.675105,0.834801,2.650711,0.217369,0.108685
236.405060,18.978073,0.347296,0.959008,12.056828,24.999847,0.001262,0.075114,5.282423,0.000004,2.739071,0.680848,3.431421,0.217879,0.108939
145.037643,0.457557,0.363377,0.642450,29.024897,24.999792,2.127141,0.604104,4.644444,0.000004,2.536937,0.772075,2.908535,0.218320,0.109160
145.037643,0.457557,0.363377,0.642450,29.024897,24.999792,2.127141,0.604104,4.644444,0.000004,2.536937,0.772075,2.908535,0.218320,0.109160
145.037643,0.457557,0.363377,0.642450,29.024897,24.999792,2.127141,0.604104,4.644444,0.000004,2.536937,0.772075,2.908535,0.218320,0.109160
145.037643,0.457557,0.363377,0.642450,29.024897,24.999792,2.127141,0.604104,4.644444,0.000004,2.536937,0.772075,2.908535,0.218320,0.109160
145.037643,0.457557,0.363377,0.642450,29.024897,24.999792,2.127141,0.604104,4.644444,0.000004,2.536937,0.772075,2.908535,0.218320,0.109160
145.037643,0.457557,0.363377,0.642450,29.024897,24.999792,2.127141,0.604104,4.644444,0.000004,2.536937,0.772075,2.908535,0.218320,0.109160
209.242111,9.576399,0.177531,0.906362,5.237677,24.999851,0.714320,0.078277,1.836150,0.000002,2.175972,0.777455,4.978586,0.218600,0.109300
114.527641,0.457558,0.355996,0.398108,47.763916,24.999886,1.599271,0.059566,5.706988,0.000007,2.720638,0.577343,2.908533,0.218893,0.109447
114.527641,0.457558,0.355996,0.398108,47.763916,24.999886,1.599271,0.059566,5.706988,0.000007,2.720638,0.577343,2.908533,0.218893,0.109447
242.254730,2.230182,0.161099,0.410334,17.004662,24.999210,0.717905,0.140532,2.019462,0.000002,2.450234,0.726335,1.008704,0.219100,0.109550
169.979233,10.912927,0.099361,0.954481,33.456650,24.999359,1.593770,0.951483,2.663951,0.000003,2.756341,0.874903,4.220123,0.219103,0.109552
169.979233,10.912927,0.099361,0.954481,33.456650,24.999359,1.593770,0.951483,2.663951,0.000003,2.756341,0.874903,4.220123,0.219103,0.109552
137.610489,13.566702,0.169740,0.435872,48.950935,24.999928,1.058427,0.055833,8.457932,0.000003,1.099436,0.339071,4.449215,0.219335,0.109667
204.154434,16.973240,0.213310,0.699494,38.157768,24.999563,0.245983,0.808315,4.477880,0.000003,2.407870,0.872573,4.376522,0.219399,0.109700
204.154434,16.973240,0.213310,0.699494,38.157768,24.999563,0.245983,0.808315,4.477880,0.000003,2.407870,0.872573,4.376522,0.219399,0.109700
204.154434,16.973240,0.213310,0.699494,38.157768,24.999563,0.245983,0.808315,4.477880,0.000003,2.407870,0.872573,4.376522,0.219399,0.109700
176.991486,7.571565,0.043544,0.564865,55.452274,24.999262,0.961364,0.941704,9.596453,0.000009,1.844770,0.969181,2.786529,0.219540,0.109770
176.991486,7.571565,0.043544,0.564865,55.452274,24.999262,0.961364,0.941704,9.596453,0.000009,1.844770,0.969181,2.786529,0.219540,0.109770
176.991486,7.571565,0.043544,0.564865,55.452274,24.999262,0.961364,0.941704,9.596453,0.000009,1.844770,0.969181,2.786529,0.219540,0.109770
176.991486,7.571565,0.043544,0.564865,55.452274,24.999262,0.961364,0.941704,9.596453,0.000009,1.844770,0.969181,2.786529,0.219540,0.109770
187.716858,8.127515,0.124027,0.388145,59.347218,24.999233,0.544113,0.857887,9.627378,0.000009,2.709651,0.890178,2.318891,0.219969,0.109984
187.716858,8.127515,0.124027,0.388145,59.347218,24.999233,0.544113,0.857887,9.627378,0.000009,2.709651,0.890178,2.318891,0.219969,0.109984
187.716858,8.127515,0.124027,0.388145,59.347218,24.999233,0.544113,0.857887,9.627378,0.000009,2.709651,0.890178,2.318891,0.219969,0.109984
187.716858,8.127515,0.124027,0.388145,59.347218,24.999233,0.544113,0.857887,9.627378,0.000009,2.709651,0.890178,2.318891,0.219969,0.109984
187.716858,8.127515,0.124027,0.388145,59.347218,24.999233,0.544113,0.857887,9.627378,0.000009,2.709651,0.890178,2.318891,0.219969,0.109984
187.716858,8.127515,0.124027,0.388145,59.347218,24.999233,0.544113,0.857887,9.627378,0.000009,2.709651,0.890178,2.318891,0.219969,0.109984
176.208237,13.547777,0.342099,0.438987,27.738096,24.999928,0.031158,0.077463,7.648377,0.000001,0.794801,0.415781,2.273370,0.220333,0.110166
176.208237,13.547777,0.342099,0.438987,27.738096,24.999928,0.031158,0.077463,7.648377,0.000001,0.794801,0.415781,2.273370,0.220333,0.110166
176.208237,13.547777,0.342099,0.438987,27.738096,24.999928,0.031158,0.077463,7.648377,0.000001,0.794801,0.415781,2.273370,0.220333,0.110166
176.208237,13.547777,0.342099,0.438987,27.738096,24.999928,0.031158,0.077463,7.648377,0.000001,0.794801,0.415781,2.273370,0.220333,0.110166
176.208237,13.547777,0.342099,0.438987,27.738096,24.999928,0.031158,0.077463,7.648377,0.000001,0.794801,0.415781,2.273370,0.220333,0.110166
176.208237,13.547777,0.342099,0.438987,27.738096,24.999928,0.031158,0.077463,7.648377,0.000001,0.794801,0.415781,2.273370,0.220333,0.110166
176.208237,13.547777,0.342099,0.438987,27.738096,24.999928,0.031158,0.077463,7.648377,0.000001,0.794801,0.415781,2.273370,0.220333,0.110166
176.208237,13.547777,0.342099,0.438987,27.738096,24.999928,0.031158,0.077463,7.648377,0.000001,0.794801,0.415781,2.273370,0.220333,0.110166
176.208237,13.547777,0.342099,0.438987,27.738096,24.999928,0.031158,0.077463,7.648377,0.000001,0.794801,0.415781,2.273370,0.220333,0.110166
176.208237,13.547777,0.342099,0.438987,27.738096,24.999928,0.031158,0.077463,7.648377,0.000001,0.794801,0.415781,2.273370,0.220333,0.110166
176.208237,13.547777,0.342099,0.438987,27.738096,24.999928,0.031158,0.077463,7.648377,0.000001,0.794801,0.415781,2.273370,0.220333,0.110166
