wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
34.444317,17.951908,0.011694,0.330694,14.176343,24.999687,2.833499,0.674413,8.377278,0.000007,1.335918,0.055404,1.165155,-1.339403,-0.669702
34.444317,8.601177,0.493516,0.658348,49.416065,24.999083,1.563691,0.674414,8.377278,0.000008,2.807336,0.181642,3.924957,-0.790664,-0.395332
81.920738,18.643208,0.453673,0.661505,61.375591,24.999880,1.034149,0.817770,6.767623,0.000006,0.612240,0.417768,0.826142,-0.754382,-0.377191
142.203995,1.178181,0.090951,0.499644,130.512619,24.999735,2.684440,0.976082,1.656953,0.000002,0.851651,0.192591,3.477346,-0.667112,-0.333556
81.920738,14.668016,0.090983,0.559837,61.375591,24.999878,2.801511,0.817769,6.767623,0.000005,0.927308,0.417769,4.552950,-0.664759,-0.332380
215.461411,1.977573,0.064221,0.825287,83.101898,24.999943,1.541792,0.438943,3.423441,0.000000,2.465874,0.604150,3.184777,-0.658860,-0.329430
187.005020,4.806303,0.344942,0.979780,70.759827,24.999077,0.041327,0.336945,8.730997,0.000004,2.754361,0.503970,2.403569,-0.651624,-0.325812
170.667725,1.335335,0.344943,0.496169,70.759827,24.999380,0.950603,0.928198,7.294761,0.000000,2.612715,0.503969,3.719112,-0.647463,-0.323731
135.825653,8.506447,0.296690,0.922883,56.519428,24.999788,2.503810,0.238904,5.792782,0.000006,1.503796,0.801527,2.902495,-0.644566,-0.322283
135.825653,8.506447,0.296690,0.922883,56.519428,24.999788,2.503810,0.238904,5.792782,0.000006,1.503796,0.801527,2.902495,-0.644566,-0.322283
215.461411,1.977574,0.064222,0.400981,123.332550,24.999016,1.983997,0.427455,3.423440,0.000001,1.180511,0.094966,4.960830,-0.637914,-0.318957
208.225769,14.093424,0.159642,0.612726,123.332550,24.999210,1.290210,0.147054,3.423440,0.000002,0.358584,0.883681,4.971051,-0.637593,-0.318797
110.378181,16.683275,0.200240,0.566204,105.286369,24.999153,1.671080,0.857470,2.750532,0.000003,0.451646,0.953528,4.878980,-0.635776,-0.317888
110.378181,16.683275,0.200240,0.566204,105.286369,24.999153,1.671080,0.857470,2.750532,0.000003,0.451646,0.953528,4.878980,-0.635776,-0.317888
206.613586,4.482379,0.483494,0.446110,45.261330,24.999815,1.354451,0.182211,6.905416,0.000007,2.890778,0.225566,2.460436,-0.635306,-0.317653
206.613586,4.482379,0.483494,0.446110,45.261330,24.999815,1.354451,0.182211,6.905416,0.000007,2.890778,0.225566,2.460436,-0.635306,-0.317653
170.667725,12.935061,0.391335,0.615260,70.759827,24.999754,0.950602,0.537522,8.812682,0.000001,2.118989,0.916361,3.719111,-0.633692,-0.316846
170.667725,12.935061,0.391335,0.615260,70.759827,24.999754,0.950602,0.537522,8.812682,0.000001,2.118989,0.916361,3.719111,-0.633692,-0.316846
170.667725,12.935061,0.391335,0.615260,70.759827,24.999754,0.950602,0.537522,8.812682,0.000001,2.118989,0.916361,3.719111,-0.633692,-0.316846
170.667725,12.935061,0.391335,0.615260,70.759827,24.999754,0.950602,0.537522,8.812682,0.000001,2.118989,0.916361,3.719111,-0.633692,-0.316846
170.667725,12.935061,0.391335,0.615260,70.759827,24.999754,0.950602,0.537522,8.812682,0.000001,2.118989,0.916361,3.719111,-0.633692,-0.316846
170.667725,12.935061,0.391335,0.615260,70.759827,24.999754,0.950602,0.537522,8.812682,0.000001,2.118989,0.916361,3.719111,-0.633692,-0.316846
74.376526,4.860603,0.327521,0.776827,52.093643,24.999157,1.168010,0.453660,1.969649,0.000005,1.916057,0.861328,4.023447,-0.633142,-0.316571
74.376526,4.860603,0.327521,0.776827,52.093643,24.999157,1.168010,0.453660,1.969649,0.000005,1.916057,0.861328,4.023447,-0.633142,-0.316571
74.376526,4.860603,0.327521,0.776827,52.093643,24.999157,1.168010,0.453660,1.969649,0.000005,1.916057,0.861328,4.023447,-0.633142,-0.316571
176.684204,17.439165,0.475182,0.533960,81.023529,24.999550,1.656019,0.788168,7.637812,0.000001,2.786862,0.777677,3.970377,-0.632348,-0.316174
126.855171,3.367542,0.352976,0.739869,47.320915,24.999895,1.112040,0.039483,6.340722,0.000006,2.264926,0.561623,2.801643,-0.632177,-0.316089
128.576569,9.147387,0.354727,0.710471,29.847435,24.999117,0.962953,0.113884,2.217286,0.000003,2.533981,0.576040,4.151360,-0.630164,-0.315082
128.576569,9.147387,0.354727,0.710471,29.847435,24.999117,0.962953,0.113884,2.217286,0.000003,2.533981,0.576040,4.151360,-0.630164,-0.315082
128.576569,9.147387,0.354727,0.710471,29.847435,24.999117,0.962953,0.113884,2.217286,0.000003,2.533981,0.576040,4.151360,-0.630164,-0.315082
128.576569,9.147387,0.354727,0.710471,29.847435,24.999117,0.962953,0.113884,2.217286,0.000003,2.533981,0.576040,4.151360,-0.630164,-0.315082
156.863373,0.669395,0.154872,0.136199,145.652115,24.999958,1.148782,0.584354,9.253331,0.000006,0.707495,0.216234,0.571328,-0.614695,-0.307348
156.863373,0.669395,0.154872,0.136199,145.652115,24.999958,1.148782,0.584354,9.253331,0.000006,0.707495,0.216234,0.571328,-0.614695,-0.307348
156.863373,0.669395,0.154872,0.136199,145.652115,24.999958,1.148782,0.584354,9.253331,0.000006,0.707495,0.216234,0.571328,-0.614695,-0.307348
156.863373,0.669395,0.154872,0.136199,145.652115,24.999958,1.148782,0.584354,9.253331,0.000006,0.707495,0.216234,0.571328,-0.614695,-0.307348
142.203995,1.178181,0.032816,0.157688,120.949066,24.999243,2.684442,0.976081,1.656951,0.000003,0.851652,0.192591,3.477345,-0.612525,-0.306262
