wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
8.255386,5.827531,0.069522,0.047234,2.020585,24.999779,2.306760,0.769668,1.561752,0.000005,2.821290,0.207669,2.009427,-1.290148,-0.645074
126.995644,0.619442,0.044409,0.118624,36.941498,24.999674,2.355135,0.613952,1.050925,0.000008,2.875296,0.032888,0.232384,-0.891819,-0.445910
208.913254,3.153836,0.113886,0.792968,47.076252,24.999048,0.985419,0.601512,3.235475,0.000005,1.543314,0.071533,0.187360,-0.878937,-0.439468
174.297668,8.432240,0.216724,0.337191,28.327875,24.999653,0.219171,0.979037,8.217607,0.000004,1.058466,0.508126,0.329198,-0.865060,-0.432530
174.297668,8.432239,0.437240,0.364122,15.192038,24.999763,0.795568,0.979037,7.236538,0.000008,0.128166,0.098758,2.532180,-0.863895,-0.431948
174.297668,8.432239,0.437240,0.364122,15.192038,24.999763,0.795568,0.979037,7.236538,0.000008,0.128166,0.098758,2.532180,-0.863895,-0.431948
174.297668,8.432239,0.437240,0.364122,15.192038,24.999763,0.795568,0.979037,7.236538,0.000008,0.128166,0.098758,2.532180,-0.863895,-0.431948
216.741440,12.259754,0.030860,0.709246,57.472805,24.999050,0.985420,0.796215,3.831844,0.000010,2.381464,0.211589,1.105995,-0.863491,-0.431745
216.741440,12.259754,0.030860,0.709246,57.472805,24.999050,0.985420,0.796215,3.831844,0.000010,2.381464,0.211589,1.105995,-0.863491,-0.431745
86.954727,19.651535,0.222798,0.946443,37.811821,24.999989,2.748672,0.623981,3.027634,0.000008,1.329121,0.439742,0.609016,-0.863421,-0.431710
223.860840,11.006789,0.106716,0.370897,31.917208,24.999638,0.989138,0.556834,3.791647,0.000006,0.611633,0.140071,1.945653,-0.862782,-0.431391
67.775894,9.689680,0.207828,0.812726,139.356689,24.999407,1.560369,0.494730,3.620097,0.000002,0.567098,0.429603,4.282520,-0.862111,-0.431055
67.775894,9.689680,0.207828,0.812726,139.356689,24.999407,1.560369,0.494730,3.620097,0.000002,0.567098,0.429603,4.282520,-0.862111,-0.431055
67.775894,9.689680,0.207828,0.812726,139.356689,24.999407,1.560369,0.494730,3.620097,0.000002,0.567098,0.429603,4.282520,-0.862111,-0.431055
138.997025,16.539648,0.183376,0.755860,79.705437,24.999241,0.531277,0.067184,2.308726,0.000002,2.333073,0.290910,3.131296,-0.862027,-0.431013
69.927986,18.588455,0.043107,0.812613,16.164410,24.999140,2.017244,0.271235,3.223749,0.000006,1.647030,0.370798,0.226673,-0.861952,-0.430976
229.551132,5.568216,0.127185,0.285024,5.388550,24.999695,2.568908,0.853632,9.728614,0.000010,0.185527,0.496999,2.902747,-0.861413,-0.430707
32.388557,12.641685,0.075999,0.792238,2.601249,24.999268,2.188583,0.219557,1.993878,0.000009,0.361731,0.314082,1.114785,-0.861281,-0.430640
115.327972,12.959717,0.258846,0.337192,0.524625,24.999746,0.219170,0.876504,8.985628,0.000007,2.149804,0.508125,0.329198,-0.860320,-0.430160
115.327972,12.959717,0.258846,0.337192,0.524625,24.999746,0.219170,0.876504,8.985628,0.000007,2.149804,0.508125,0.329198,-0.860320,-0.430160
115.327972,12.959717,0.258846,0.337192,0.524625,24.999746,0.219170,0.876504,8.985628,0.000007,2.149804,0.508125,0.329198,-0.860320,-0.430160
