wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
221.243439,1.427479,0.113625,0.715675,120.090454,24.999714,0.541644,0.259159,3.140862,0.000002,0.267452,0.756380,1.056720,-0.582315,-0.291158
42.116364,10.317339,0.240607,0.903863,135.203552,24.999802,0.223609,0.972138,6.105855,0.000009,1.126860,0.507622,2.176072,-0.568464,-0.284232
184.928055,17.936274,0.029542,0.783104,98.489014,24.999247,2.132586,0.448591,5.802477,0.000003,2.327664,0.091754,4.994094,-0.553978,-0.276989
203.750427,15.545774,0.322937,0.556818,141.939987,24.999914,0.357852,0.774649,2.488683,0.000001,2.784778,0.310488,1.830476,-0.549044,-0.274522
224.216064,6.699917,0.097174,0.386276,149.517822,24.999714,0.985184,0.785628,3.140862,0.000002,0.267453,0.945045,1.056718,-0.542990,-0.271495
224.216064,6.699917,0.097174,0.386276,149.517822,24.999714,0.985184,0.785628,3.140862,0.000002,0.267453,0.945045,1.056718,-0.542990,-0.271495
227.756821,6.985263,0.202276,0.372753,121.223160,24.999615,1.495188,0.808497,3.943160,0.000006,1.217711,0.723220,0.897427,-0.535625,-0.267813
227.756821,6.985263,0.202276,0.372753,121.223160,24.999615,1.495188,0.808497,3.943160,0.000006,1.217711,0.723220,0.897427,-0.535625,-0.267813
96.976212,12.298041,0.231846,0.981991,32.214378,24.999626,2.817194,0.483983,6.722673,0.000007,0.055534,0.073271,2.783699,-0.531358,-0.265679
174.318344,14.219995,0.129618,0.294365,114.085152,24.999144,2.447322,0.869059,7.855776,0.000009,0.555005,0.777319,1.218579,-0.518846,-0.259423
174.318344,14.219995,0.129618,0.294365,114.085152,24.999144,2.447322,0.869059,7.855776,0.000009,0.555005,0.777319,1.218579,-0.518846,-0.259423
138.076828,14.219993,0.462166,0.195479,114.085152,24.999163,2.446133,0.869059,7.855777,0.000010,0.555005,0.769360,1.258035,-0.499200,-0.249600
42.116364,1.342384,0.240606,0.915300,135.203552,24.999800,2.843301,0.118365,6.105854,0.000010,1.126860,0.507622,2.176072,-0.497905,-0.248952
42.116364,1.342384,0.240606,0.915300,135.203552,24.999800,2.843301,0.118365,6.105854,0.000010,1.126860,0.507622,2.176072,-0.497905,-0.248952
42.116364,1.342384,0.240606,0.915300,135.203552,24.999800,2.843301,0.118365,6.105854,0.000010,1.126860,0.507622,2.176072,-0.497905,-0.248952
143.004318,18.610899,0.395240,0.447053,17.052797,24.999178,1.631525,0.195848,9.237255,0.000005,1.163534,0.964343,3.759693,-0.496287,-0.248144
13.062888,8.306540,0.426747,0.627632,9.961905,24.999481,1.107968,0.637126,2.134599,0.000004,1.975543,0.578602,4.604422,-0.487008,-0.243504
