wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
93.186134,2.685844,0.390286,0.010444,120.166885,24.999762,1.692436,0.537988,2.987100,0.000005,0.893855,0.303312,4.314409,-0.065908,-0.032954
10.083586,1.302881,0.153338,0.662314,37.677929,24.999407,1.226616,0.932857,9.887964,0.000008,0.397067,0.130701,2.122102,-0.042836,-0.021418
203.111237,10.316544,0.292101,0.525094,34.857052,24.999838,0.723616,0.884979,3.338516,0.000001,0.084309,0.396540,0.037778,-0.029303,-0.014652
145.414917,9.767222,0.272093,0.875465,31.016756,24.999128,0.360235,0.733068,4.126463,0.000010,1.310620,0.509317,1.529429,-0.028822,-0.014411
203.111237,11.921582,0.292101,0.525094,58.965164,24.999838,0.723617,0.884980,2.036014,0.000001,0.084309,0.396541,1.678980,-0.026868,-0.013434
156.029190,9.009901,0.428914,0.977716,5.705007,24.999205,2.479758,0.307740,6.309161,0.000009,0.555502,0.687505,0.539954,-0.025201,-0.012601
87.540878,12.989213,0.098105,0.758930,71.732651,24.999306,0.343483,0.175844,7.994797,0.000009,0.052402,0.057901,1.788653,-0.013961,-0.006981
53.011257,6.623049,0.186957,0.812651,79.774597,24.999624,0.674013,0.398254,8.869658,0.000006,2.495783,0.380278,0.324561,-0.009347,-0.004674
229.000885,5.950792,0.110018,0.564189,86.674484,24.999254,1.135267,0.073793,5.200104,0.000002,1.105064,0.716786,3.339393,-0.008999,-0.004499
229.000885,5.950792,0.110018,0.564189,86.674484,24.999254,1.135267,0.073793,5.200104,0.000002,1.105064,0.716786,3.339393,-0.008999,-0.004499
143.586426,5.950791,0.276225,0.564190,86.674484,24.999256,2.273641,0.192373,5.200105,0.000003,1.105065,0.716785,3.339394,-0.007147,-0.003573
143.586426,5.950791,0.276225,0.564190,86.674484,24.999256,2.273641,0.192373,5.200105,0.000003,1.105065,0.716785,3.339394,-0.007147,-0.003573
53.011257,6.623049,0.186957,0.812652,79.774597,24.999624,0.674014,0.821309,8.869658,0.000008,2.495783,0.380278,3.964008,-0.007034,-0.003517
53.011257,6.623047,0.186957,0.812652,79.774597,24.999622,0.674013,0.398254,8.169036,0.000006,2.495784,0.380278,2.849102,-0.006963,-0.003482
248.141388,19.006670,0.394602,0.628093,29.171530,24.999340,0.993982,0.142383,4.547673,0.000005,2.385880,0.716870,0.115023,-0.006814,-0.003407
248.141388,19.006670,0.394602,0.628093,29.171530,24.999340,0.993982,0.142383,4.547673,0.000005,2.385880,0.716870,0.115023,-0.006814,-0.003407
65.333275,14.009131,0.344782,0.729417,132.908188,24.999517,1.880580,0.580533,8.812835,0.000003,1.713494,0.596364,3.841367,-0.003881,-0.001941
79.769989,15.432959,0.024747,0.607876,78.058464,24.999094,1.433680,0.138240,8.438550,0.000010,1.313129,0.512320,2.215541,-0.001981,-0.000991
79.769989,15.432959,0.024747,0.607876,78.058464,24.999094,1.433680,0.138240,8.438550,0.000010,1.313129,0.512320,2.215541,-0.001981,-0.000991
145.089081,2.447505,0.281744,0.376730,91.778748,24.999960,0.651499,0.050526,2.471535,0.000002,1.608125,0.415923,3.354724,0.006869,0.003435
145.089081,2.447505,0.281744,0.376730,91.778748,24.999960,0.651499,0.050526,2.471535,0.000002,1.608125,0.415923,3.354724,0.006869,0.003435
145.414917,9.767221,0.272094,0.225286,35.194626,24.999649,1.262052,0.588069,4.126463,0.000009,0.117723,0.462143,1.483352,0.010660,0.005330
86.110649,7.783980,0.271626,0.798066,148.056931,24.999619,0.556407,0.046965,4.228239,0.000002,1.933639,0.762930,3.089884,0.013009,0.006504
20.805178,16.105219,0.084519,0.856339,71.158577,24.999462,0.166149,0.767176,7.891897,0.000006,2.703846,0.175814,2.840155,0.018158,0.009079
20.805178,16.105219,0.084519,0.856339,71.158577,24.999462,0.166149,0.767176,7.891897,0.000006,2.703846,0.175814,2.840155,0.018158,0.009079
20.805178,16.105219,0.084519,0.856339,71.158577,24.999462,0.166149,0.767176,7.891897,0.000006,2.703846,0.175814,2.840155,0.018158,0.009079
20.805178,16.105219,0.084519,0.856339,71.158577,24.999462,0.166149,0.767176,7.891897,0.000006,2.703846,0.175814,2.840155,0.018158,0.009079
20.805178,16.105219,0.084519,0.856339,71.158577,24.999462,0.166149,0.767176,7.891897,0.000006,2.703846,0.175814,2.840155,0.018158,0.009079
20.805178,16.105219,0.084519,0.856339,71.158577,24.999462,0.166149,0.767176,7.891897,0.000006,2.703846,0.175814,2.840155,0.018158,0.009079
20.805178,16.105219,0.084519,0.856339,71.158577,24.999462,0.166149,0.767176,7.891897,0.000006,2.703846,0.175814,2.840155,0.018158,0.009079
20.805178,16.105219,0.084519,0.856339,71.158577,24.999462,0.166149,0.767176,7.891897,0.000006,2.703846,0.175814,2.840155,0.018158,0.009079
200.569229,2.685844,0.390287,0.010444,120.166885,24.999763,1.692438,0.637451,2.987100,0.000004,0.893853,0.303311,4.314410,0.023672,0.011836
106.564537,4.642538,0.316720,0.222998,12.865755,24.999615,1.844229,0.430927,4.580982,0.000008,2.476543,0.182591,2.339972,0.026074,0.013037
106.564537,4.642538,0.316720,0.222998,12.865755,24.999615,1.844229,0.430927,4.580982,0.000008,2.476543,0.182591,2.339972,0.026074,0.013037
106.564537,4.642538,0.316720,0.222998,12.865755,24.999615,1.844229,0.430927,4.580982,0.000008,2.476543,0.182591,2.339972,0.026074,0.013037
99.430779,4.642538,0.466919,0.267055,19.480055,24.999615,2.714712,0.202577,4.580983,0.000007,2.833790,0.182591,2.339973,0.026508,0.013254
