wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
8.639731,7.443326,0.256550,0.073745,77.107224,24.999998,0.090581,0.460581,6.900892,0.000002,0.538662,0.461764,4.683269,-0.436276,-0.218138
8.639732,1.880749,0.256550,0.363682,117.652817,24.999998,1.590613,0.906410,6.900893,0.000001,0.538660,0.461763,4.683270,-0.265546,-0.132773
80.569420,5.342685,0.408232,0.227688,136.817276,24.999628,2.481398,0.378104,1.252538,0.000003,1.677919,0.349252,1.335839,-0.183991,-0.091996
80.569420,5.342685,0.408232,0.227688,136.817276,24.999628,2.481398,0.378104,1.252538,0.000003,1.677919,0.349252,1.335839,-0.183991,-0.091996
38.983719,15.008716,0.375889,0.710047,122.572052,24.999550,0.874592,0.862709,7.526166,0.000004,1.046284,0.141377,2.693628,-0.178094,-0.089047
38.983719,15.008716,0.375889,0.710047,122.572052,24.999550,0.874592,0.862709,7.526166,0.000004,1.046284,0.141377,2.693628,-0.178094,-0.089047
195.463623,13.069839,0.294315,0.232135,47.285797,24.999508,1.458797,0.836168,8.281911,0.000001,1.881769,0.236874,2.991025,-0.177123,-0.088562
195.463623,13.069839,0.294315,0.232135,47.285797,24.999508,1.458797,0.836168,8.281911,0.000001,1.881769,0.236874,2.991025,-0.177123,-0.088562
38.983719,17.518015,0.375889,0.710047,97.809570,24.999550,0.874592,0.862709,2.716197,0.000006,1.046284,0.141376,2.693628,-0.174760,-0.087380
38.983719,17.518015,0.375889,0.710047,97.809570,24.999550,0.874592,0.862709,2.716197,0.000006,1.046284,0.141376,2.693628,-0.174760,-0.087380
122.959961,17.383932,0.150032,0.413183,86.617836,24.999897,2.970130,0.513758,9.519751,0.000008,2.487194,0.035124,3.351289,-0.173202,-0.086601
201.543716,18.662563,0.339111,0.415876,73.717117,24.999153,1.900124,0.819137,5.968842,0.000000,0.075585,0.298283,0.289940,-0.172764,-0.086382
201.543716,18.662563,0.339111,0.415876,73.717117,24.999153,1.900124,0.819137,5.968842,0.000000,0.075585,0.298283,0.289940,-0.172764,-0.086382
195.463623,17.048431,0.320640,0.402527,55.877243,24.999264,1.458799,0.819137,6.177517,0.000002,0.193162,0.383633,0.725844,-0.172053,-0.086026
195.463623,17.048431,0.320640,0.402527,55.877243,24.999264,1.458799,0.819137,6.177517,0.000002,0.193162,0.383633,0.725844,-0.172053,-0.086026
160.095459,10.543510,0.480294,0.294806,49.253555,24.999338,2.739971,0.366921,2.934671,0.000007,0.170118,0.280558,4.084454,-0.170195,-0.085098
160.095459,10.543510,0.480294,0.294806,49.253555,24.999338,2.739971,0.366921,2.934671,0.000007,0.170118,0.280558,4.084454,-0.170195,-0.085098
224.326370,15.658622,0.182084,0.491298,62.488297,24.999754,1.258185,0.566406,4.093127,0.000009,0.191064,0.608802,0.905620,-0.166350,-0.083175
221.123856,19.417273,0.496801,0.930227,94.071220,24.999067,2.019382,0.548266,8.807109,0.000008,0.336058,0.194058,4.248507,-0.165029,-0.082515
141.996567,7.899175,0.228512,0.555650,16.955101,24.999781,2.105306,0.098096,5.895211,0.000008,1.470055,0.239119,2.174722,-0.164341,-0.082171
141.996567,7.899175,0.228512,0.555650,16.955101,24.999781,2.105306,0.098096,5.895211,0.000008,1.470055,0.239119,2.174722,-0.164341,-0.082171
141.996567,7.899175,0.228512,0.555650,16.955101,24.999781,2.105306,0.098096,5.895211,0.000008,1.470055,0.239119,2.174722,-0.164341,-0.082171
141.996567,7.899175,0.228512,0.555650,16.955101,24.999781,2.105306,0.098096,5.895211,0.000008,1.470055,0.239119,2.174722,-0.164341,-0.082171
122.959961,12.378956,0.213058,0.940781,86.617836,24.999897,0.771851,0.028419,9.519753,0.000008,2.487193,0.035123,3.351288,-0.164178,-0.082089
122.959961,12.378956,0.213058,0.940782,44.231300,24.999897,0.771851,0.028420,5.589135,0.000008,2.343580,0.035122,3.351288,-0.163964,-0.081982
122.959961,7.718964,0.213059,0.788723,44.231300,24.999712,0.771850,0.028420,5.589135,0.000005,2.343579,0.035121,3.351288,-0.163648,-0.081824
177.631851,19.417273,0.496801,0.930226,96.525040,24.999067,2.019382,0.927962,8.807109,0.000005,0.336058,0.470970,4.248507,-0.163413,-0.081706
170.859314,10.487960,0.116283,0.814813,32.157600,24.999973,1.904695,0.191665,1.706427,0.000008,0.240648,0.611049,0.089317,-0.162966,-0.081483
105.099930,13.410665,0.301165,0.982053,3.936690,24.999260,2.705851,0.102653,1.625183,0.000010,0.989672,0.305081,3.425202,-0.162901,-0.081450
169.821686,1.047773,0.113850,0.080509,0.601373,24.999367,2.585968,0.635445,2.901362,0.000006,0.759874,0.805047,1.878100,-0.150694,-0.075347
169.821686,1.047773,0.113850,0.080509,0.601373,24.999367,2.585968,0.635445,2.901362,0.000006,0.759874,0.805047,1.878100,-0.150694,-0.075347
169.821686,1.047773,0.113850,0.080509,0.601373,24.999367,2.585968,0.635445,2.901362,0.000006,0.759874,0.805047,1.878100,-0.150694,-0.075347
163.908432,1.880318,0.297277,0.777530,11.136430,24.999781,1.741213,0.152204,4.279075,0.000009,2.480939,0.483526,1.798687,-0.149013,-0.074507
163.908432,1.880318,0.297277,0.777530,11.136430,24.999781,1.741213,0.152204,4.279075,0.000009,2.480939,0.483526,1.798687,-0.149013,-0.074507
163.908432,1.880318,0.297277,0.777530,11.136430,24.999781,1.741213,0.152204,4.279075,0.000009,2.480939,0.483526,1.798687,-0.149013,-0.074507
163.908432,1.880318,0.297277,0.777530,11.136430,24.999781,1.741213,0.152204,4.279075,0.000009,2.480939,0.483526,1.798687,-0.149013,-0.074507
163.908432,1.880318,0.297277,0.777530,11.136430,24.999781,1.741213,0.152204,4.279075,0.000009,2.480939,0.483526,1.798687,-0.149013,-0.074507
221.866119,6.060636,0.482220,0.204488,77.865723,24.999290,2.963422,0.370740,3.605985,0.000003,1.377792,0.698502,0.611194,-0.139695,-0.069847
221.866119,6.060636,0.482220,0.204488,77.865723,24.999290,2.963422,0.370740,3.605985,0.000003,1.377792,0.698502,0.611194,-0.139695,-0.069847
221.866119,6.060636,0.482220,0.204488,77.865723,24.999290,2.963422,0.370740,3.605985,0.000003,1.377792,0.698502,0.611194,-0.139695,-0.069847
221.866119,6.060636,0.482220,0.204488,77.865723,24.999290,2.963422,0.370740,3.605985,0.000003,1.377792,0.698502,0.611194,-0.139695,-0.069847
221.866119,6.060636,0.482220,0.204488,77.865723,24.999290,2.963422,0.370740,3.605985,0.000003,1.377792,0.698502,0.611194,-0.139695,-0.069847
201.996094,9.807520,0.218608,0.038336,138.506119,24.999102,2.984638,0.718466,5.176210,0.000004,1.772982,0.851716,0.988125,-0.136030,-0.068015
43.927803,11.326825,0.344209,0.646302,25.536169,24.999413,0.358806,0.266067,4.994246,0.000003,1.353119,0.690441,3.815377,-0.133403,-0.066702
43.927803,11.326825,0.344209,0.646302,25.536169,24.999413,0.358806,0.266067,4.994246,0.000003,1.353119,0.690441,3.815377,-0.133403,-0.066702
192.282562,10.145421,0.072510,0.330155,45.529430,24.999115,2.581630,0.407954,2.991987,0.000003,0.321864,0.909734,0.386881,-0.132564,-0.066282
8.639732,1.880749,0.256552,0.846655,117.652817,24.999514,1.590614,0.906411,6.900893,0.000000,0.538659,0.893963,4.683268,-0.131945,-0.065973
8.639732,1.880749,0.256552,0.846655,117.652817,24.999514,1.590614,0.906411,6.900893,0.000000,0.538659,0.893963,4.683268,-0.131945,-0.065973
8.639732,1.880749,0.256552,0.846655,117.652817,24.999514,1.590614,0.906411,6.900893,0.000000,0.538659,0.893963,4.683268,-0.131945,-0.065973
8.639732,1.880749,0.256552,0.846655,117.652817,24.999514,1.590614,0.906411,6.900893,0.000000,0.538659,0.893963,4.683268,-0.131945,-0.065973
103.989746,3.828429,0.104379,0.555853,81.548134,24.999214,2.585552,0.223023,5.016082,0.000000,0.521945,0.842934,1.385220,-0.126887,-0.063443
43.927803,11.326826,0.104941,0.646302,25.536167,24.999411,0.169694,0.755358,4.994246,0.000005,2.255467,0.690441,3.815378,-0.113608,-0.056804
43.927803,11.326825,0.218756,0.808103,25.536167,24.999411,0.169694,0.755357,4.994247,0.000002,2.255470,0.690442,3.815377,-0.109534,-0.054767
43.927803,11.326825,0.218756,0.808103,25.536167,24.999411,0.169694,0.755357,4.994247,0.000002,2.255470,0.690442,3.815377,-0.109534,-0.054767
43.927803,11.326825,0.218756,0.808103,25.536167,24.999411,0.169694,0.755357,4.994247,0.000002,2.255470,0.690442,3.815377,-0.109534,-0.054767
43.927803,11.326825,0.218756,0.808103,25.536167,24.999411,0.169694,0.755357,4.994247,0.000002,2.255470,0.690442,3.815377,-0.109534,-0.054767
43.927803,11.326825,0.218756,0.808103,25.536167,24.999411,0.169694,0.755357,4.994247,0.000002,2.255470,0.690442,3.815377,-0.109534,-0.054767
43.927803,11.326825,0.218756,0.808103,25.536167,24.999411,0.169694,0.755357,4.994247,0.000002,2.255470,0.690442,3.815377,-0.109534,-0.054767
188.369080,4.013897,0.441421,0.479669,95.146011,24.999153,1.808896,0.073925,1.774405,0.000008,0.848450,0.819186,3.315861,-0.108134,-0.054067
223.812653,2.325570,0.114200,0.723212,112.649208,24.999846,0.038486,0.944479,8.823799,0.000001,2.317357,0.676952,2.217953,-0.107679,-0.053839
223.812653,2.325570,0.114200,0.723212,112.649208,24.999846,0.038486,0.944479,8.823799,0.000001,2.317357,0.676952,2.217953,-0.107679,-0.053839
147.000565,12.674673,0.437147,0.725584,93.189255,24.999023,2.950518,0.454196,3.866721,0.000007,0.633193,0.876239,0.328875,-0.106124,-0.053062
147.000565,12.674673,0.437147,0.725584,93.189255,24.999023,2.950518,0.454196,3.866721,0.000007,0.633193,0.876239,0.328875,-0.106124,-0.053062
147.000565,12.674673,0.437147,0.725584,93.189255,24.999023,2.950518,0.454196,3.866721,0.000007,0.633193,0.876239,0.328875,-0.106124,-0.053062
147.000565,12.674673,0.437147,0.725584,93.189255,24.999023,2.950518,0.454196,3.866721,0.000007,0.633193,0.876239,0.328875,-0.106124,-0.053062
122.959961,7.718962,0.213059,0.788724,108.693230,24.999708,0.771850,0.028419,4.178128,0.000005,2.343576,0.732586,3.351289,-0.082200,-0.041100
122.959961,7.718962,0.213059,0.788724,108.693230,24.999708,0.771850,0.028419,4.178128,0.000005,2.343576,0.732586,3.351289,-0.082200,-0.041100
122.959961,7.718962,0.213059,0.788724,108.693230,24.999708,0.771850,0.028419,4.178128,0.000005,2.343576,0.732586,3.351289,-0.082200,-0.041100
122.959961,7.718962,0.213059,0.788724,108.693230,24.999708,0.771850,0.028419,4.178128,0.000005,2.343576,0.732586,3.351289,-0.082200,-0.041100
122.959961,7.718962,0.213059,0.788724,108.693230,24.999708,0.771850,0.028419,4.178128,0.000005,2.343576,0.732586,3.351289,-0.082200,-0.041100
230.976807,17.526276,0.400024,0.804260,39.610985,24.999144,2.847777,0.711514,1.006217,0.000006,1.930487,0.769984,0.986536,-0.078934,-0.039467
230.976807,17.526276,0.400024,0.804260,39.610985,24.999144,2.847777,0.711514,1.006217,0.000006,1.930487,0.769984,0.986536,-0.078934,-0.039467
230.976807,17.526276,0.400024,0.804260,39.610985,24.999144,2.847777,0.711514,1.006217,0.000006,1.930487,0.769984,0.986536,-0.078934,-0.039467
230.976807,17.526276,0.400024,0.804260,39.610985,24.999144,2.847777,0.711514,1.006217,0.000006,1.930487,0.769984,0.986536,-0.078934,-0.039467
30.304871,3.786628,0.027712,0.112273,74.903656,24.999468,2.366712,0.021505,7.848143,0.000002,1.582508,0.766242,2.843352,-0.071246,-0.035623
30.304871,3.786628,0.027712,0.112273,74.903656,24.999468,2.366712,0.021505,7.848143,0.000002,1.582508,0.766242,2.843352,-0.071246,-0.035623
