wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
106.244400,17.759701,0.159858,0.530846,104.422272,24.999990,2.393580,0.796328,3.133361,0.000009,1.840248,0.099316,3.402137,-0.929235,-0.464618
31.037621,9.653086,0.441220,0.557733,63.429337,24.999090,1.992629,0.986257,2.603520,0.000008,0.127530,0.549843,2.451877,-0.875110,-0.437555
31.037621,8.318278,0.441222,0.942413,63.429337,24.999090,1.992630,0.986256,2.603519,0.000009,0.582698,0.549844,1.942881,-0.759701,-0.379850
23.389359,8.794176,0.212247,0.926990,60.037754,24.999744,2.336388,0.712884,7.831829,0.000005,2.145197,0.317966,4.473132,-0.745329,-0.372665
240.856567,5.684715,0.082367,0.945138,147.976791,24.999815,0.015416,0.669475,6.576791,0.000009,2.797662,0.587992,4.686767,-0.739905,-0.369953
240.856567,19.141270,0.082367,0.945140,21.646761,24.999817,1.730776,0.493770,6.576790,0.000004,2.797664,0.506620,4.686764,-0.739796,-0.369898
240.856567,19.141270,0.082367,0.945139,21.646761,24.999754,0.882167,0.493772,9.570408,0.000004,2.791435,0.828719,4.686763,-0.739656,-0.369828
240.856567,19.325489,0.082368,0.945139,21.646761,24.999817,0.015415,0.669474,6.576791,0.000008,2.797663,0.506618,4.686765,-0.739394,-0.369697
146.417068,15.146524,0.210918,0.780907,120.410820,24.999170,0.539130,0.573489,2.161708,0.000007,2.022407,0.319517,0.608021,-0.737901,-0.368951
146.417068,15.146524,0.210918,0.780907,120.410820,24.999170,0.539130,0.573489,2.161708,0.000007,2.022407,0.319517,0.608021,-0.737901,-0.368951
200.877365,5.087625,0.396182,0.722332,145.186737,24.999550,1.593707,0.885075,8.383654,0.000005,2.398705,0.527492,1.566618,-0.737819,-0.368909
150.946289,17.576719,0.121414,0.850280,1.346938,24.999002,1.259142,0.296592,9.184168,0.000005,0.835538,0.264879,3.017872,-0.736831,-0.368416
45.562813,8.318279,0.292717,0.942413,63.429337,24.999401,2.964504,0.915096,2.603519,0.000010,0.582699,0.980895,1.942883,-0.736694,-0.368347
222.981674,10.737506,0.222967,0.716175,65.704895,24.999102,0.789266,0.392289,3.772046,0.000006,2.720878,0.312361,0.630578,-0.736139,-0.368070
97.712601,6.879609,0.121414,0.850281,1.346937,24.999775,1.113261,0.296593,9.184168,0.000006,1.077628,0.413986,1.318628,-0.735313,-0.367657
97.712601,6.879609,0.121414,0.850281,1.346937,24.999775,1.113261,0.296593,9.184168,0.000006,1.077628,0.413986,1.318628,-0.735313,-0.367657
150.946289,13.489796,0.121414,0.704044,1.346938,24.999638,2.806401,0.296591,9.184166,0.000004,0.348730,0.379420,3.017872,-0.733248,-0.366624
215.067566,13.986933,0.198880,0.580173,138.602051,24.999714,2.333614,0.449589,4.229842,0.000010,2.413213,0.553086,1.905083,-0.730342,-0.365171
207.864655,6.779000,0.181345,0.414288,81.603485,24.999084,2.059024,0.909125,1.505513,0.000007,1.954048,0.557257,1.171399,-0.727499,-0.363749
207.864655,6.779000,0.181345,0.414288,81.603485,24.999084,2.059024,0.909125,1.505513,0.000007,1.954048,0.557257,1.171399,-0.727499,-0.363749
71.581070,3.437460,0.318373,0.671735,37.580944,24.999537,1.337905,0.259054,9.563240,0.000001,2.333171,0.081240,3.172254,-0.723664,-0.361832
