wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
45.863422,17.444910,0.146510,0.123501,80.746185,24.999382,2.228636,0.989085,9.001101,0.000005,0.920299,0.418962,4.504878,-2.621944,-1.310972
124.004158,9.057687,0.047346,0.017305,11.383717,24.999876,1.978355,0.532131,1.782622,0.000005,2.381921,0.201332,3.902311,-2.483411,-1.241706
45.863422,10.983107,0.285578,0.541049,99.558182,24.999380,2.228636,0.989084,7.156324,0.000002,0.080366,0.578459,4.504878,-1.303627,-0.651814
45.863422,10.983107,0.285578,0.541049,99.558182,24.999380,2.228636,0.989084,7.156324,0.000002,0.080366,0.578459,4.504878,-1.303627,-0.651814
24.729855,13.146899,0.366837,0.631195,106.945213,24.999025,1.457240,0.292736,5.143631,0.000007,0.168283,0.161864,1.088896,-1.164421,-0.582211
6.052063,2.248622,0.214590,0.862525,20.492502,24.999811,0.915256,0.141358,8.186596,0.000008,1.453696,0.070212,0.763892,-1.058965,-0.529482
6.052063,2.248622,0.214590,0.862525,20.492502,24.999811,0.915256,0.141358,8.186596,0.000008,1.453696,0.070212,0.763892,-1.058965,-0.529482
124.004158,0.100481,0.370473,0.769779,39.573265,24.999855,1.978355,0.508020,3.158751,0.000001,2.381921,0.201333,3.611808,-1.049239,-0.524619
124.004158,0.100481,0.370473,0.769779,39.573265,24.999855,1.978355,0.508020,3.158751,0.000001,2.381921,0.201333,3.611808,-1.049239,-0.524619
153.196243,19.678019,0.404366,0.282719,41.315777,24.999483,1.074966,0.841798,6.363435,0.000001,2.725880,0.549554,0.362493,-1.011842,-0.505921
153.196243,19.678019,0.404366,0.282719,41.315777,24.999483,1.074966,0.841798,6.363435,0.000001,2.725880,0.549554,0.362493,-1.011842,-0.505921
151.345474,6.898224,0.444927,0.432067,5.964614,24.999599,1.857402,0.961879,9.466423,0.000001,0.133307,0.658953,4.277555,-1.008595,-0.504297
204.971527,4.830421,0.491272,0.739489,98.633156,24.999687,1.768176,0.420105,2.796640,0.000001,1.667644,0.654192,2.296005,-1.008576,-0.504288
204.971527,9.848517,0.491274,0.739489,98.633156,24.999474,1.768175,0.420104,2.796640,0.000001,2.314588,0.654192,2.296004,-1.003087,-0.501544
237.428619,12.750401,0.411058,0.489970,130.372589,24.999126,1.478555,0.767299,5.903212,0.000000,0.958027,0.636153,1.887426,-1.001659,-0.500829
166.590698,3.531438,0.370474,0.670262,10.054924,24.999954,1.978354,0.508018,3.705508,0.000002,2.812171,0.118792,3.611810,-1.000366,-0.500183
63.845974,17.421993,0.186095,0.512757,139.748779,24.999331,1.537107,0.501874,5.522346,0.000009,1.077638,0.392134,3.623162,-1.000101,-0.500051
63.845974,17.421993,0.186095,0.512757,139.748779,24.999331,1.537107,0.501874,5.522346,0.000009,1.077638,0.392134,3.623162,-1.000101,-0.500051
63.845974,17.421993,0.186095,0.512757,139.748779,24.999331,1.537107,0.501874,5.522346,0.000009,1.077638,0.392134,3.623162,-1.000101,-0.500051
63.845974,17.421993,0.186095,0.512757,139.748779,24.999331,1.537107,0.501874,5.522346,0.000009,1.077638,0.392134,3.623162,-1.000101,-0.500051
148.848114,6.764567,0.144658,0.724823,144.045029,24.999296,1.158624,0.289097,1.171638,0.000004,0.958548,0.949830,3.638258,-0.994396,-0.497198
148.848114,6.764567,0.144658,0.724823,144.045029,24.999296,1.158624,0.289097,1.171638,0.000004,0.958548,0.949830,3.638258,-0.994396,-0.497198
148.848114,6.764567,0.144658,0.724823,144.045029,24.999296,1.158624,0.289097,1.171638,0.000004,0.958548,0.949830,3.638258,-0.994396,-0.497198
6.052064,2.248622,0.214590,0.692942,20.492504,24.999744,0.915256,0.141358,6.862388,0.000008,0.395514,0.070211,3.612635,-0.993051,-0.496526
6.052064,2.248622,0.214590,0.692942,20.492504,24.999744,0.915256,0.141358,6.862388,0.000008,0.395514,0.070211,3.612635,-0.993051,-0.496526
6.052064,2.248622,0.214590,0.692942,20.492504,24.999744,0.915256,0.141358,6.862388,0.000008,0.395514,0.070211,3.612635,-0.993051,-0.496526
112.213737,11.013200,0.438561,0.980716,143.106384,24.999411,2.481090,0.882122,9.889975,0.000002,2.874634,0.897804,4.672784,-0.992279,-0.496140
97.072838,3.264933,0.057748,0.818407,86.727654,24.999306,0.465414,0.710793,4.395156,0.000003,1.369839,0.845191,1.704747,-0.989553,-0.494776
97.072838,3.264933,0.057748,0.818407,86.727654,24.999306,0.465414,0.710793,4.395156,0.000003,1.369839,0.845191,1.704747,-0.989553,-0.494776
97.072838,3.264933,0.057748,0.818407,86.727654,24.999306,0.465414,0.710793,4.395156,0.000003,1.369839,0.845191,1.704747,-0.989553,-0.494776
232.613907,1.039428,0.178733,0.311979,24.625488,24.999702,0.139253,0.664852,6.936949,0.000003,0.552699,0.245176,3.028639,-0.989261,-0.494631
6.052065,12.329432,0.214588,0.692940,57.354481,24.999720,0.915257,0.141358,6.862387,0.000007,0.395516,0.070212,3.612635,-0.985641,-0.492820
153.196243,10.304450,0.457897,0.437613,41.315777,24.999121,2.331059,0.595020,6.363435,0.000003,2.382396,0.549554,0.362493,-0.985267,-0.492633
153.196243,10.304450,0.457897,0.437613,41.315777,24.999121,2.331059,0.595020,6.363435,0.000003,2.382396,0.549554,0.362493,-0.985267,-0.492633
153.196243,10.304450,0.457897,0.437613,41.315777,24.999121,2.331059,0.595020,6.363435,0.000003,2.382396,0.549554,0.362493,-0.985267,-0.492633
178.044601,9.459468,0.266604,0.536718,63.640335,24.999079,2.792866,0.550037,5.410040,0.000004,0.257845,0.332610,3.589381,-0.984610,-0.492305
178.044601,9.459468,0.266604,0.536718,63.640335,24.999079,2.792866,0.550037,5.410040,0.000004,0.257845,0.332610,3.589381,-0.984610,-0.492305
109.429993,6.333506,0.055238,0.801921,114.086075,24.999525,1.286490,0.168561,4.552289,0.000009,0.342570,0.030284,3.839959,-0.979429,-0.489715
109.429993,6.333506,0.055238,0.801921,114.086075,24.999525,1.286490,0.168561,4.552289,0.000009,0.342570,0.030284,3.839959,-0.979429,-0.489715
109.429993,6.333506,0.055238,0.801921,114.086075,24.999525,1.286490,0.168561,4.552289,0.000009,0.342570,0.030284,3.839959,-0.979429,-0.489715
113.632629,12.754816,0.370475,0.672673,72.716324,24.999384,2.033860,0.508018,6.731311,0.000001,1.741176,0.429653,3.611811,-0.974978,-0.487489
113.632629,12.754816,0.370475,0.672673,72.716324,24.999384,2.033860,0.508018,6.731311,0.000001,1.741176,0.429653,3.611811,-0.974978,-0.487489
113.632629,12.754816,0.370475,0.672673,72.716324,24.999384,2.033860,0.508018,6.731311,0.000001,1.741176,0.429653,3.611811,-0.974978,-0.487489
118.137932,1.761011,0.051484,0.604251,94.275536,24.999704,0.408278,0.973938,7.374387,0.000003,2.422144,0.754643,4.496950,-0.974141,-0.487071
118.137932,1.761011,0.051484,0.604251,94.275536,24.999704,0.408278,0.973938,7.374387,0.000003,2.422144,0.754643,4.496950,-0.974141,-0.487071
118.137932,1.761011,0.051484,0.604251,94.275536,24.999704,0.408278,0.973938,7.374387,0.000003,2.422144,0.754643,4.496950,-0.974141,-0.487071
151.113281,12.623921,0.066119,0.585348,110.794724,24.999472,1.279925,0.752810,6.646443,0.000007,0.774237,0.976467,1.682320,-0.971863,-0.485931
83.517929,1.975376,0.225845,0.682286,76.749214,24.999645,0.487946,0.343673,4.187565,0.000002,0.377723,0.183213,3.928232,-0.970432,-0.485216
83.517929,1.975376,0.225845,0.682286,76.749214,24.999645,0.487946,0.343673,4.187565,0.000002,0.377723,0.183213,3.928232,-0.970432,-0.485216
114.258072,6.357764,0.312378,0.559507,81.262756,24.999647,1.387999,0.419360,4.079697,0.000002,0.788259,0.389169,2.774728,-0.970142,-0.485071
169.328033,6.963406,0.345445,0.559285,46.155209,24.999184,1.165871,0.073063,7.832448,0.000009,1.130581,0.472629,3.395840,-0.966241,-0.483120
62.014526,5.478505,0.368660,0.985044,139.687408,24.999889,1.457567,0.910289,5.406108,0.000005,1.409588,0.949722,4.160795,-0.963001,-0.481500
187.378555,17.660910,0.169464,0.321127,128.729324,24.999332,2.098998,0.675214,5.197670,0.000008,0.876808,0.855456,0.766628,-0.958489,-0.479244
