wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
145.183060,17.990593,0.233932,0.029680,80.615028,24.999855,1.075196,0.118435,8.965754,0.000004,2.241884,0.248347,1.638919,-0.006893,-0.003447
13.736278,0.136496,0.490624,0.351797,137.290848,24.999672,0.609270,0.847614,7.506336,0.000008,0.117392,0.354640,3.655966,0.027440,0.013720
13.736278,0.136496,0.490624,0.351797,137.290848,24.999672,0.609270,0.847614,7.506336,0.000008,0.117392,0.354640,3.655966,0.027440,0.013720
14.143798,0.136497,0.490622,0.351797,109.876114,24.999670,0.308586,0.847613,7.506336,0.000008,1.465596,0.213608,3.655966,0.034907,0.017454
145.183060,17.990593,0.280820,0.029679,80.615028,24.999855,1.075195,0.118436,2.524481,0.000004,2.241884,0.853858,1.552069,0.038798,0.019399
114.410591,15.332282,0.125827,0.080450,17.973087,24.999395,2.457850,0.993575,3.483144,0.000007,1.760561,0.735663,2.487865,0.077423,0.038711
194.212997,3.703943,0.091783,0.195081,49.386616,24.999027,0.285309,0.415251,5.063763,0.000002,0.456444,0.477131,4.679008,0.139106,0.069553
183.625259,2.421281,0.380418,0.208848,113.067245,24.999409,0.613156,0.702036,7.262465,0.000009,1.854043,0.262836,3.688733,0.140275,0.070137
189.476440,15.565997,0.081414,0.241021,119.233849,24.999823,2.832106,0.918091,9.987258,0.000002,1.554988,0.594696,3.369291,0.141004,0.070502
64.412354,13.459221,0.414372,0.344067,48.524555,24.999720,0.643248,0.284719,3.702173,0.000004,1.564287,0.803637,1.931906,0.141926,0.070963
43.062145,8.911921,0.396591,0.509469,86.276543,24.999605,1.639484,0.032093,6.241457,0.000003,2.650274,0.426908,0.028091,0.152471,0.076235
114.410591,2.253059,0.216417,0.475548,29.451252,24.999340,2.457849,0.706242,8.485287,0.000003,1.760561,0.217154,2.406172,0.153734,0.076867
223.614456,12.488509,0.179970,0.403322,93.864479,24.999086,0.735647,0.538471,6.815926,0.000007,2.364183,0.216305,4.054909,0.154213,0.077106
34.519730,5.621229,0.025240,0.677577,2.200437,24.999228,2.697932,0.350424,2.568536,0.000005,1.953278,0.087868,4.387871,0.155519,0.077760
43.062145,8.911919,0.396591,0.509469,17.296143,24.999605,1.639483,0.032095,6.241457,0.000002,2.650273,0.426907,1.151131,0.155939,0.077969
43.062145,8.911919,0.396591,0.509469,17.296143,24.999605,1.639483,0.032095,6.241457,0.000002,2.650273,0.426907,1.151131,0.155939,0.077969
43.062145,8.911919,0.396591,0.509469,17.296143,24.999605,1.639483,0.032095,6.241457,0.000002,2.650273,0.426907,1.151131,0.155939,0.077969
43.062145,8.911919,0.396591,0.509469,17.296143,24.999605,1.639483,0.032095,6.241457,0.000002,2.650273,0.426907,1.151131,0.155939,0.077969
216.745483,0.865569,0.232610,0.187572,32.209576,24.999287,2.085597,0.978504,3.502894,0.000007,1.181672,0.672205,3.286841,0.156397,0.078199
216.745483,0.865569,0.232610,0.187572,32.209576,24.999287,2.085597,0.978504,3.502894,0.000007,1.181672,0.672205,3.286841,0.156397,0.078199
82.439209,19.200750,0.265352,0.546128,29.794054,24.999762,0.002199,0.211137,8.042994,0.000003,1.026470,0.064971,2.111289,0.156599,0.078300
82.439209,19.200750,0.265352,0.546128,29.794054,24.999762,0.002199,0.211137,8.042994,0.000003,1.026470,0.064971,2.111289,0.156599,0.078300
82.439209,17.128588,0.265352,0.546128,29.794056,24.999762,0.002201,0.211138,8.042995,0.000004,1.026469,0.064972,2.111289,0.156625,0.078312
242.657562,0.361734,0.091782,0.195081,49.386616,24.999180,2.071430,0.415250,5.063764,0.000003,0.456443,0.477129,4.615106,0.156797,0.078399
242.657562,0.361734,0.091782,0.195081,49.386616,24.999180,2.071430,0.415250,5.063764,0.000003,0.456443,0.477129,4.615106,0.156797,0.078399
242.657562,0.361734,0.091782,0.195082,49.386620,24.999231,1.460391,0.415250,5.063763,0.000008,0.456443,0.587145,4.615106,0.157412,0.078706
242.657562,0.361734,0.091782,0.195082,49.386620,24.999231,1.460391,0.415250,5.063763,0.000008,0.456443,0.587145,4.615106,0.157412,0.078706
128.073715,17.128586,0.151020,0.614877,29.794056,24.999762,0.002202,0.211140,4.018111,0.000003,1.026468,0.064972,1.241433,0.158303,0.079152
128.073715,17.128586,0.151020,0.614877,29.794056,24.999762,0.002202,0.211140,4.018111,0.000003,1.026468,0.064972,1.241433,0.158303,0.079152
128.073715,17.128586,0.151020,0.614877,29.794056,24.999762,0.002202,0.211140,4.018111,0.000003,1.026468,0.064972,1.241433,0.158303,0.079152
128.073715,17.128586,0.151020,0.614877,29.794056,24.999762,0.002202,0.211140,4.018111,0.000003,1.026468,0.064972,1.241433,0.158303,0.079152
243.822632,3.589473,0.219252,0.312928,27.219925,24.999273,2.804320,0.803550,4.592293,0.000009,1.167350,0.695640,4.844586,0.158311,0.079155
228.097168,0.127376,0.422171,0.192765,58.870457,24.999050,0.261711,0.917603,8.270342,0.000007,2.035809,0.219829,2.948591,0.160281,0.080141
228.097168,0.127376,0.422171,0.192765,58.870457,24.999050,0.261711,0.917603,8.270342,0.000007,2.035809,0.219829,2.948591,0.160281,0.080141
228.097168,0.127376,0.422171,0.192765,58.870457,24.999050,0.261711,0.917603,8.270342,0.000007,2.035809,0.219829,2.948591,0.160281,0.080141
228.097168,0.127376,0.422171,0.192765,58.870457,24.999050,0.261711,0.917603,8.270342,0.000007,2.035809,0.219829,2.948591,0.160281,0.080141
228.097168,0.127376,0.422171,0.192765,58.870457,24.999050,0.261711,0.917603,8.270342,0.000007,2.035809,0.219829,2.948591,0.160281,0.080141
128.016418,9.463013,0.311114,0.771428,39.169231,24.999323,2.070352,0.558778,5.768943,0.000005,0.584948,0.644490,0.410365,0.162315,0.081158
128.016418,6.752420,0.311113,0.853407,8.113832,24.999252,1.804063,0.775021,5.768944,0.000002,0.360728,0.644491,0.410368,0.162338,0.081169
169.877197,2.090996,0.272828,0.528717,83.954483,24.999422,1.269722,0.835538,1.630017,0.000009,1.428903,0.659771,3.448730,0.165348,0.082674
197.780075,10.286916,0.216417,0.877544,69.347427,24.999939,2.457849,0.476374,8.485286,0.000008,0.818523,0.828824,1.073837,0.172075,0.086037
73.524132,6.979353,0.344803,0.702724,57.996647,24.999250,2.190534,0.743135,1.273000,0.000010,0.894267,0.865152,2.796859,0.175302,0.087651
73.524132,6.979353,0.344803,0.702724,57.996647,24.999250,2.190534,0.743135,1.273000,0.000010,0.894267,0.865152,2.796859,0.175302,0.087651
73.524132,6.979353,0.344803,0.702724,57.996647,24.999250,2.190534,0.743135,1.273000,0.000010,0.894267,0.865152,2.796859,0.175302,0.087651
105.601791,8.652079,0.093631,0.826158,82.297043,24.999653,1.132513,0.098158,2.686561,0.000005,1.170449,0.831286,0.455815,0.176716,0.088358
105.601791,8.652079,0.093631,0.826158,82.297043,24.999653,1.132513,0.098158,2.686561,0.000005,1.170449,0.831286,0.455815,0.176716,0.088358
176.387726,3.636387,0.241063,0.684438,2.223024,24.999207,2.317186,0.593429,1.500702,0.000008,0.780324,0.895796,2.789415,0.176908,0.088454
176.387726,3.636387,0.241063,0.684438,2.223024,24.999207,2.317186,0.593429,1.500702,0.000008,0.780324,0.895796,2.789415,0.176908,0.088454
176.387726,3.636387,0.241063,0.684438,2.223024,24.999207,2.317186,0.593429,1.500702,0.000008,0.780324,0.895796,2.789415,0.176908,0.088454
197.780075,10.286916,0.049225,0.877544,86.323624,24.999125,2.457850,0.745486,2.384710,0.000009,0.818523,0.892173,3.466538,0.178132,0.089066
197.780075,10.286916,0.049225,0.877544,86.323624,24.999125,2.457850,0.745486,2.384710,0.000009,0.818523,0.892173,3.466538,0.178132,0.089066
197.780075,10.286916,0.049225,0.877544,86.323624,24.999125,2.457850,0.745486,2.384710,0.000009,0.818523,0.892173,3.466538,0.178132,0.089066
