wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
37.656330,5.359364,0.316317,0.005377,15.250446,24.999304,2.869071,0.916682,7.297383,0.000008,0.043506,0.247114,0.947183,-1.784374,-0.892187
96.131142,13.817928,0.442681,0.922686,115.660614,24.999739,0.504412,0.828201,3.684685,0.000009,0.847076,0.612986,2.837126,-0.332999,-0.166500
228.469696,6.242293,0.107669,0.810852,102.639618,24.999397,0.247518,0.339936,1.099447,0.000007,1.531208,0.897543,3.919083,-0.332918,-0.166459
104.104446,12.312191,0.249658,0.998366,131.514801,24.999828,0.977357,0.297082,9.730784,0.000002,1.135409,0.936541,4.816703,-0.332777,-0.166389
74.097786,17.681845,0.382803,0.922685,57.798485,24.999739,0.504412,0.416732,8.321651,0.000004,0.847076,0.612985,2.837126,-0.331755,-0.165878
124.990921,12.721646,0.015019,0.762356,88.513794,24.999352,0.406593,0.448045,8.779953,0.000000,1.246938,0.582926,1.554605,-0.330887,-0.165444
57.819931,12.631381,0.147291,0.886433,88.513794,24.999422,0.291876,0.448045,8.779955,0.000001,1.760133,0.582927,1.841883,-0.330874,-0.165437
80.581253,9.450254,0.401126,0.757923,11.323656,24.999491,0.849437,0.996582,5.525316,0.000004,1.246935,0.784621,0.514047,-0.330705,-0.165353
124.990921,1.697811,0.129394,0.651069,35.617432,24.999352,0.816576,0.835856,8.779951,0.000002,1.246937,0.671235,0.514047,-0.330651,-0.165326
124.990921,1.697811,0.129394,0.651069,35.617432,24.999352,0.816576,0.835856,8.779951,0.000002,1.246937,0.671235,0.514047,-0.330651,-0.165326
124.990921,1.697811,0.129394,0.651069,35.617432,24.999352,0.816576,0.835856,8.779951,0.000002,1.246937,0.671235,0.514047,-0.330651,-0.165326
124.990921,12.721649,0.129394,0.762356,19.005522,24.999352,0.816575,0.533664,8.779952,0.000002,1.246938,0.818027,4.374686,-0.330523,-0.165261
248.096237,1.172935,0.129392,0.485716,84.407784,24.999153,1.596301,0.592078,2.368419,0.000003,1.246937,0.471396,0.514046,-0.330421,-0.165210
