wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
6.640392,17.974546,0.493416,0.319684,3.482196,24.999018,2.276320,0.615940,5.179308,0.000001,0.049161,0.291064,3.418259,-5.145547,-2.572774
49.456448,11.800855,0.187902,0.475857,62.233067,24.999557,0.966616,0.918412,4.383077,0.000010,1.357573,0.356268,2.778013,-2.214513,-1.107257
49.456448,11.800855,0.187902,0.475857,62.233067,24.999557,0.966616,0.918412,4.383077,0.000010,1.357573,0.356268,2.778013,-2.214513,-1.107257
49.456448,11.800853,0.449088,0.475858,62.233067,24.999405,2.554724,0.918411,4.383078,0.000008,1.357573,0.356268,2.778013,-2.201988,-1.100994
49.456448,1.010303,0.187903,0.475857,62.233067,24.999695,0.966617,0.918412,4.383076,0.000009,1.357573,0.356269,2.778012,-1.948047,-0.974023
65.954720,10.062413,0.169852,0.751723,111.809433,24.999876,1.452101,0.840618,8.273673,0.000006,1.576140,0.462818,0.681935,-1.636613,-0.818306
65.954720,10.062413,0.169852,0.751723,111.809433,24.999876,1.452101,0.840618,8.273673,0.000006,1.576140,0.462818,0.681935,-1.636613,-0.818306
172.647003,2.730698,0.044432,0.079052,73.728088,24.999180,0.343269,0.975408,3.223052,0.000006,0.730669,0.178327,1.713613,-1.390114,-0.695057
49.456448,1.010304,0.187903,0.475857,62.233067,24.999695,2.991956,0.555745,4.383077,0.000009,1.357574,0.535329,2.778012,-1.255460,-0.627730
178.309906,13.307968,0.372489,0.794006,117.539200,24.999542,0.494829,0.512333,2.708078,0.000009,0.691438,0.083143,0.152040,-0.777411,-0.388705
119.066246,15.936160,0.313474,0.447034,13.559051,24.999109,0.108562,0.661700,9.251482,0.000010,1.632436,0.495666,1.437714,-0.747641,-0.373821
119.066246,15.936160,0.313474,0.447034,13.559051,24.999109,0.108562,0.661700,9.251482,0.000010,1.632436,0.495666,1.437714,-0.747641,-0.373821
119.066246,15.936160,0.313474,0.447034,13.559051,24.999109,0.108562,0.661700,9.251482,0.000010,1.632436,0.495666,1.437714,-0.747641,-0.373821
119.066246,15.936160,0.313474,0.447034,13.559051,24.999109,0.108562,0.661700,9.251482,0.000010,1.632436,0.495666,1.437714,-0.747641,-0.373821
119.066246,15.936160,0.313474,0.447034,13.559051,24.999109,0.108562,0.661700,9.251482,0.000010,1.632436,0.495666,1.437714,-0.747641,-0.373821
119.066246,15.936160,0.313474,0.447034,13.559051,24.999109,0.108562,0.661700,9.251482,0.000010,1.632436,0.495666,1.437714,-0.747641,-0.373821
119.066246,15.936160,0.313474,0.447034,13.559051,24.999109,0.108562,0.661700,9.251482,0.000010,1.632436,0.495666,1.437714,-0.747641,-0.373821
119.066246,15.936160,0.313474,0.447034,13.559051,24.999109,0.108562,0.661700,9.251482,0.000010,1.632436,0.495666,1.437714,-0.747641,-0.373821
157.009888,1.368504,0.169852,0.789318,111.809433,24.999874,1.452101,0.674548,8.273675,0.000007,1.576139,0.100196,0.681934,-0.734494,-0.367247
157.009888,1.368504,0.169852,0.789318,111.809433,24.999874,1.452101,0.674548,8.273675,0.000007,1.576139,0.100196,0.681934,-0.734494,-0.367247
157.009888,1.368504,0.169852,0.789318,111.809433,24.999874,1.452101,0.674548,8.273675,0.000007,1.576139,0.100196,0.681934,-0.734494,-0.367247
157.009888,1.368504,0.169852,0.789318,111.809433,24.999874,1.452101,0.674548,8.273675,0.000007,1.576139,0.100196,0.681934,-0.734494,-0.367247
101.147949,1.010303,0.213952,0.475855,62.233067,24.999500,1.051958,0.555746,4.383077,0.000009,1.357574,0.535330,2.778012,-0.709474,-0.354737
101.147949,1.010303,0.213952,0.475855,62.233067,24.999500,1.051958,0.555746,4.383077,0.000009,1.357574,0.535330,2.778012,-0.709474,-0.354737
101.147949,1.010303,0.213952,0.475855,62.233067,24.999500,1.051958,0.555746,4.383077,0.000009,1.357574,0.535330,2.778012,-0.709474,-0.354737
101.147949,1.010303,0.213952,0.475855,62.233067,24.999500,1.051958,0.555746,4.383077,0.000009,1.357574,0.535330,2.778012,-0.709474,-0.354737
106.460861,14.643167,0.156296,0.021034,103.408325,24.999680,1.358142,0.345530,6.764329,0.000000,2.565148,0.986834,1.023774,-0.699120,-0.349560
215.690399,1.598716,0.051972,0.282386,117.539200,24.999283,1.593999,0.465772,2.708078,0.000004,0.203995,0.083142,0.152040,-0.671589,-0.335795
215.690399,1.598716,0.051972,0.282386,117.539200,24.999283,1.593999,0.465772,2.708078,0.000004,0.203995,0.083142,0.152040,-0.671589,-0.335795
215.690399,1.598716,0.051972,0.282386,117.539200,24.999283,1.593999,0.465772,2.708078,0.000004,0.203995,0.083142,0.152040,-0.671589,-0.335795
191.696594,14.914531,0.459211,0.740785,133.759201,24.999414,1.385986,0.673478,3.399476,0.000010,1.277835,0.263576,3.909295,-0.656406,-0.328203
191.696594,14.914531,0.459211,0.740785,133.759201,24.999414,1.385986,0.673478,3.399476,0.000010,1.277835,0.263576,3.909295,-0.656406,-0.328203
