wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
175.552750,17.590416,0.129913,0.012524,93.144569,24.999861,1.136570,0.648157,5.505593,0.000009,0.495132,0.161987,0.558400,-3.757039,-1.878520
26.531448,3.206500,0.069716,0.614142,65.120102,24.999609,1.542907,0.725907,4.281123,0.000001,2.196612,0.650197,1.438672,-1.094824,-0.547412
70.386948,2.108460,0.082467,0.098854,82.526443,24.999693,1.018042,0.978249,5.688059,0.000002,1.155097,0.057077,1.763295,-0.898581,-0.449290
58.353687,15.327145,0.490130,0.859892,33.223568,24.999630,0.738277,0.339737,5.912624,0.000004,1.027788,0.432293,1.000467,-0.868122,-0.434061
90.210159,19.418983,0.165121,0.690443,134.875443,24.999002,2.467891,0.407029,4.990659,0.000010,1.176469,0.544164,0.222332,-0.859591,-0.429796
187.577454,19.418985,0.334744,0.690444,134.875443,24.999002,2.467891,0.826514,3.426762,0.000009,1.176471,0.544164,0.222332,-0.853812,-0.426906
105.156960,8.077981,0.030582,0.773804,16.599524,24.999762,2.020046,0.855538,7.186059,0.000003,1.907932,0.471544,3.915156,-0.835867,-0.417933
105.156960,8.077981,0.030582,0.773804,16.599524,24.999762,2.020046,0.855538,7.186059,0.000003,1.907932,0.471544,3.915156,-0.835867,-0.417933
113.789719,5.525109,0.287709,0.937467,80.739296,24.999937,0.934673,0.711715,4.343020,0.000000,2.073654,0.239884,3.019723,-0.834742,-0.417371
220.188126,11.303057,0.263030,0.985867,36.693714,24.999382,1.725739,0.285887,2.324338,0.000007,0.859799,0.080898,4.394257,-0.825389,-0.412695
62.259525,0.655088,0.265362,0.809322,89.728485,24.999937,0.075034,0.464064,3.260028,0.000001,0.709510,0.024397,3.036811,-0.820723,-0.410362
71.995964,4.121484,0.065449,0.422522,63.865219,24.999760,1.512149,0.647560,6.352033,0.000000,0.096205,0.810953,4.357679,-0.815137,-0.407569
71.995964,4.121484,0.065449,0.422522,63.865219,24.999760,1.512149,0.647560,6.352033,0.000000,0.096205,0.810953,4.357679,-0.815137,-0.407569
125.018799,6.808555,0.263032,0.985868,36.693714,24.999754,1.725739,0.285886,2.324338,0.000006,0.859800,0.080897,3.611475,-0.814821,-0.407410
125.018799,6.808555,0.263032,0.985868,36.693714,24.999754,1.725739,0.285886,2.324338,0.000006,0.859800,0.080897,3.611475,-0.814821,-0.407410
218.245850,11.475698,0.497787,0.455703,84.375061,24.999075,0.395631,0.628334,9.822883,0.000004,1.467989,0.027937,2.045603,-0.813258,-0.406629
218.245850,11.475698,0.497787,0.455703,84.375061,24.999075,0.395631,0.628334,9.822883,0.000004,1.467989,0.027937,2.045603,-0.813258,-0.406629
197.816223,9.531464,0.403399,0.501334,2.368389,24.999771,0.174378,0.924622,9.602410,0.000003,2.610477,0.885448,1.983788,-0.810683,-0.405341
90.248787,0.839033,0.314917,0.310919,102.620636,24.999685,0.723735,0.408595,1.173661,0.000005,0.106964,0.353572,1.459615,-0.809152,-0.404576
90.248787,0.839033,0.314917,0.310919,102.620636,24.999685,0.723735,0.408595,1.173661,0.000005,0.106964,0.353572,1.459615,-0.809152,-0.404576
125.018799,10.562090,0.382180,0.750736,36.693714,24.999752,2.433629,0.285886,3.333951,0.000008,0.859801,0.080897,3.410579,-0.807008,-0.403504
79.816650,5.674422,0.099518,0.697496,148.838318,24.999289,2.823577,0.494805,3.050284,0.000006,1.773210,0.273066,4.787734,-0.806592,-0.403296
114.586662,11.643945,0.137039,0.627554,11.363130,24.999445,2.174416,0.396757,4.200962,0.000007,2.526047,0.549946,3.060405,-0.800911,-0.400456
173.993347,14.779740,0.351965,0.462757,26.789669,24.999449,0.751319,0.321287,9.800639,0.000002,2.064727,0.270520,2.539799,-0.795604,-0.397802
