wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
248.856384,16.335606,0.026572,0.993842,136.521896,24.999266,0.027921,0.604455,6.716774,0.000001,1.391194,0.422010,3.969316,0.262693,0.131346
216.769836,2.716135,0.211398,0.810955,116.099411,24.999525,2.038105,0.249669,5.476089,0.000002,0.112822,0.653570,1.518303,0.262788,0.131394
211.268188,19.436520,0.051810,0.551464,141.462372,24.999249,0.650495,0.718256,4.780964,0.000003,2.058924,0.263674,4.521518,0.263250,0.131625
136.874695,14.310476,0.066127,0.798111,140.878372,24.999178,2.502377,0.252285,5.551899,0.000000,0.200949,0.700355,3.321153,0.263367,0.131684
156.643784,15.258159,0.016631,0.507762,113.214737,24.999035,2.511830,0.276321,4.763772,0.000002,0.224000,0.664406,2.877541,0.263434,0.131717
73.225929,0.847565,0.175970,0.412876,53.698444,24.999662,2.864110,0.999994,1.098480,0.000006,1.413789,0.319077,0.089507,0.263616,0.131808
90.160339,18.078213,0.052611,0.434912,118.667023,24.999098,1.124324,0.231512,5.957069,0.000004,0.518193,0.301510,4.680077,0.263842,0.131921
162.549652,18.434052,0.038131,0.326636,131.112152,24.999115,2.123207,0.082560,7.711064,0.000002,0.012975,0.442251,4.055066,0.263965,0.131983
235.710602,8.483232,0.248399,0.272064,41.535656,24.999334,1.206001,0.832045,2.077170,0.000007,0.617979,0.422036,0.564818,0.264163,0.132082
235.710602,8.483232,0.248399,0.272064,41.535656,24.999334,1.206001,0.832045,2.077170,0.000007,0.617979,0.422036,0.564818,0.264163,0.132082
235.710602,8.483232,0.248399,0.272064,41.535656,24.999334,1.206001,0.832045,2.077170,0.000007,0.617979,0.422036,0.564818,0.264163,0.132082
235.710602,8.483232,0.248399,0.272064,41.535656,24.999334,1.206001,0.832045,2.077170,0.000007,0.617979,0.422036,0.564818,0.264163,0.132082
235.710602,8.483232,0.248399,0.272064,41.535656,24.999334,1.206001,0.832045,2.077170,0.000007,0.617979,0.422036,0.564818,0.264163,0.132082
