wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
233.427185,9.623985,0.444689,0.038104,81.227570,24.999306,2.088792,0.869530,4.373798,0.000007,2.165525,0.365570,0.160185,-0.814513,-0.407257
246.112030,0.158010,0.072381,0.914485,109.816292,24.999784,0.443144,0.224253,1.483171,0.000005,0.397433,0.403975,3.029388,-0.804986,-0.402493
246.112030,0.158010,0.072383,0.914485,109.816292,24.999943,0.443144,0.224252,6.222905,0.000004,0.397433,0.403975,3.029387,-0.804974,-0.402487
246.112030,0.158009,0.072383,0.914485,109.816292,24.999943,0.443144,0.037333,6.385903,0.000005,0.250913,0.011737,1.627023,-0.804517,-0.402258
246.112030,0.158011,0.072384,0.754722,147.195053,24.999784,2.035443,0.224253,1.483171,0.000008,0.397433,0.403974,3.029389,-0.804437,-0.402219
228.088776,7.475193,0.072385,0.754723,89.248627,24.999784,2.035443,0.655913,3.484264,0.000008,0.397433,0.403973,3.029388,-0.801233,-0.400617
208.176056,0.214068,0.379073,0.415044,71.223015,24.999897,2.003667,0.314433,2.698664,0.000000,0.121341,0.794425,2.978093,-0.800663,-0.400331
202.208008,6.782365,0.306754,0.829825,88.983505,24.999073,0.026352,0.911990,5.889601,0.000003,1.007306,0.638481,0.364862,-0.800611,-0.400306
228.088776,7.475192,0.072384,0.754723,55.355686,24.999617,2.035443,0.685783,3.484265,0.000010,1.276452,0.403975,3.029389,-0.800600,-0.400300
152.799713,3.427094,0.036390,0.949174,64.556747,24.999649,1.992350,0.399927,4.636806,0.000001,0.490656,0.739040,4.074201,-0.800389,-0.400194
159.962631,6.914829,0.072382,0.698649,109.816292,24.999941,0.443145,0.394169,6.385904,0.000004,0.250913,0.490667,1.627023,-0.799968,-0.399984
86.843384,2.737774,0.423085,0.761938,4.636954,24.999985,1.615546,0.755552,2.190110,0.000002,1.367193,0.129673,2.545813,-0.799395,-0.399698
159.962631,6.914829,0.072384,0.661227,57.784943,24.999573,1.327229,0.624945,7.482192,0.000005,0.478633,0.426936,2.155378,-0.798632,-0.399316
164.550354,5.763440,0.296165,0.532801,122.469269,24.999557,0.046268,0.612595,2.502395,0.000004,1.043379,0.369361,0.729990,-0.796607,-0.398304
164.550354,5.763440,0.296165,0.532801,122.469269,24.999557,0.046268,0.612595,2.502395,0.000004,1.043379,0.369361,0.729990,-0.796607,-0.398304
46.657207,17.937469,0.042833,0.982368,25.420305,24.999044,0.558774,0.959355,8.304129,0.000006,1.495928,0.215110,4.464458,-0.796239,-0.398120
118.696915,9.153571,0.467840,0.593498,147.739090,24.999338,0.838168,0.365105,3.442241,0.000007,0.927308,0.474691,1.111616,-0.794509,-0.397254
186.665161,19.701221,0.098126,0.773311,107.743042,24.999451,0.446816,0.599332,5.578594,0.000003,1.814524,0.719007,0.404890,-0.794214,-0.397107
160.568298,3.704155,0.144612,0.525318,107.503952,24.999828,1.378096,0.550493,2.850905,0.000005,0.650826,0.616673,4.373098,-0.793321,-0.396660
