wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
174.918427,2.953588,0.181090,0.004490,134.316177,24.999916,0.807583,0.135897,1.089603,0.000001,0.748753,0.321268,4.878410,-30.688864,-15.344432
174.918427,2.953588,0.181090,0.004490,134.316177,24.999916,0.807583,0.135897,1.089603,0.000001,0.748753,0.321268,4.878410,-30.688864,-15.344432
174.918427,2.953588,0.181090,0.004490,134.316177,24.999916,0.807583,0.135897,1.089603,0.000001,0.748753,0.321268,4.878410,-30.688864,-15.344432
5.572265,13.520263,0.025635,0.745184,11.485598,24.999208,0.968256,0.476665,2.050650,0.000003,2.542661,0.663772,3.145500,-3.462142,-1.731071
5.572265,13.520263,0.025635,0.745184,11.485598,24.999208,0.968256,0.476665,2.050650,0.000003,2.542661,0.663772,3.145500,-3.462142,-1.731071
237.554153,7.829117,0.287616,0.671522,72.370712,24.999811,1.777692,0.918722,2.562014,0.000009,1.598747,0.126095,0.149974,-1.490111,-0.745055
237.554153,7.829117,0.287616,0.671522,72.370712,24.999811,1.777692,0.918722,2.562014,0.000009,1.598747,0.126095,0.149974,-1.490111,-0.745055
152.109283,6.005046,0.373923,0.178064,23.389879,24.999502,2.614786,0.989949,4.338899,0.000010,0.436551,0.402806,1.621501,-1.333328,-0.666664
109.996613,19.607536,0.455288,0.095920,66.848732,24.999392,2.881600,0.284284,3.586563,0.000007,1.013960,0.588040,0.482130,-1.328764,-0.664382
109.996613,19.607536,0.455289,0.095921,66.518272,24.999390,2.881601,0.284283,3.586563,0.000007,1.013959,0.588042,0.482130,-1.328731,-0.664366
93.259033,9.311603,0.389394,0.249298,107.590836,24.999599,1.922825,0.644357,4.875042,0.000004,0.548343,0.489949,4.125256,-1.160483,-0.580241
93.259033,9.311603,0.389394,0.249298,107.590836,24.999599,1.922825,0.644357,4.875042,0.000004,0.548343,0.489949,4.125256,-1.160483,-0.580241
69.991318,17.657013,0.389394,0.249299,107.590836,24.999599,1.922823,0.318713,4.875041,0.000004,0.548343,0.974226,4.125255,-1.081941,-0.540970
69.991318,17.657013,0.389395,0.249298,2.659626,24.999599,1.922823,0.318713,4.875041,0.000002,0.548344,0.974227,4.125255,-1.052977,-0.526489
69.991318,17.657013,0.389395,0.249298,2.659626,24.999599,1.922823,0.318713,4.875041,0.000002,0.548344,0.974227,4.125255,-1.052977,-0.526489
135.049377,17.189505,0.133339,0.529845,100.588715,24.999065,2.173733,0.437938,9.237964,0.000002,2.527034,0.071079,3.673650,-1.029680,-0.514840
47.995262,3.845898,0.338642,0.981761,143.988098,24.999620,1.361123,0.788687,8.563744,0.000005,2.835671,0.705216,2.987831,-1.013032,-0.506516
204.955017,11.898204,0.142319,0.295377,59.385895,24.999872,2.011404,0.828055,6.686425,0.000009,2.610553,0.392419,0.537258,-1.006840,-0.503420
204.955017,11.898204,0.142319,0.295377,59.385895,24.999872,2.011404,0.828055,6.686425,0.000009,2.610553,0.392419,0.537258,-1.006840,-0.503420
109.996613,19.607536,0.389876,0.298006,66.518272,24.999390,2.881601,0.284284,3.586563,0.000005,1.013959,0.843378,0.482129,-0.999452,-0.499726
109.996613,19.607536,0.389876,0.298006,66.518272,24.999390,2.881601,0.284284,3.586563,0.000005,1.013959,0.843378,0.482129,-0.999452,-0.499726
108.051064,10.721201,0.064807,0.364510,134.316177,24.999409,0.052230,0.466086,4.234084,0.000001,0.608460,0.235549,1.727956,-0.980040,-0.490020
108.051064,10.721201,0.064807,0.364510,134.316177,24.999409,0.052230,0.466086,4.234084,0.000001,0.608460,0.235549,1.727956,-0.980040,-0.490020
