wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
26.520451,17.699860,0.106950,0.577958,85.844528,24.999985,2.653246,0.529801,5.139019,0.000001,2.955512,0.264048,1.664608,-5.213118,-2.606559
120.019554,3.987640,0.276977,0.068646,12.599661,24.999685,1.667098,0.920723,2.696042,0.000007,0.978005,0.601522,2.310255,-3.678080,-1.839040
17.998299,9.231192,0.234559,0.198724,57.279770,24.999180,2.861579,0.111107,7.728563,0.000003,1.644401,0.635471,4.094141,-2.751490,-1.375745
23.422962,17.238457,0.352680,0.202224,53.391117,24.999556,2.620383,0.116968,4.386224,0.000002,2.055527,0.586376,3.669096,-2.519892,-1.259946
23.422962,17.238457,0.352680,0.202224,53.391117,24.999556,2.620383,0.116968,4.386224,0.000002,2.055527,0.586376,3.669096,-2.519892,-1.259946
94.563324,13.219328,0.011861,0.118224,115.962341,24.999866,2.653245,0.529801,9.167220,0.000001,2.955513,0.264048,4.311242,-2.364873,-1.182437
120.019554,3.987640,0.276979,0.302819,18.793865,24.999687,1.667098,0.920724,9.512117,0.000007,0.978004,0.601525,2.310254,-1.828843,-0.914421
120.019554,3.987640,0.276979,0.302819,18.793865,24.999687,1.667098,0.920724,9.512117,0.000007,0.978004,0.601525,2.310254,-1.828843,-0.914421
120.019554,3.987639,0.276978,0.302818,18.793863,24.999687,1.667098,0.920724,9.512118,0.000008,2.535954,0.601525,2.310253,-1.522001,-0.761001
143.343948,12.553897,0.468301,0.292944,121.517654,24.999588,1.419534,0.828291,6.846961,0.000009,0.336574,0.776318,3.394664,-1.441298,-0.720649
246.539185,14.428143,0.152021,0.403701,10.211823,24.999401,2.155503,0.637288,2.052231,0.000005,2.494576,0.100569,4.648645,-1.411218,-0.705609
246.539185,14.428143,0.152021,0.403701,10.211823,24.999401,2.155503,0.637288,2.052231,0.000005,2.494576,0.100569,4.648645,-1.411218,-0.705609
112.707451,12.236050,0.065664,0.498336,107.110558,24.999832,2.465269,0.555837,8.503954,0.000000,0.535059,0.180840,2.455027,-1.402900,-0.701450
174.658737,10.632511,0.027890,0.622448,70.990372,24.999374,0.711601,0.719076,9.347069,0.000005,2.667785,0.077455,0.708719,-1.341806,-0.670903
174.658737,10.632511,0.027890,0.622448,70.990372,24.999374,0.711601,0.719076,9.347069,0.000005,2.667785,0.077455,0.708719,-1.341806,-0.670903
202.028076,3.109847,0.444800,0.108712,145.696671,24.999868,1.312915,0.941123,5.175838,0.000004,1.288459,0.384077,2.804210,-1.324018,-0.662009
