wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
152.158081,3.543824,0.366988,0.971249,19.869656,24.999397,1.703755,0.925346,7.667233,0.000003,1.164731,0.091168,1.645640,-1.076180,-0.538090
152.158081,3.543824,0.366988,0.971249,19.869656,24.999397,1.703755,0.925346,7.667233,0.000003,1.164731,0.091168,1.645640,-1.076180,-0.538090
244.592377,5.883631,0.399099,0.686101,69.153954,24.999878,1.906120,0.255782,4.878644,0.000001,0.069340,0.388372,4.394965,-1.069193,-0.534596
244.592377,5.883631,0.399099,0.686101,69.153954,24.999878,1.906120,0.255782,4.878644,0.000001,0.069340,0.388372,4.394965,-1.069193,-0.534596
72.141991,10.139029,0.235387,0.839835,94.169151,24.999090,0.290220,0.945760,1.456448,0.000001,1.928598,0.480603,1.428177,-1.063754,-0.531877
72.141991,10.139029,0.235387,0.839835,94.169151,24.999090,0.290220,0.945760,1.456448,0.000001,1.928598,0.480603,1.428177,-1.063754,-0.531877
72.141991,10.139029,0.235387,0.839835,94.169151,24.999090,0.290220,0.945760,1.456448,0.000001,1.928598,0.480603,1.428177,-1.063754,-0.531877
191.767838,2.044389,0.089880,0.987650,139.315811,24.999182,2.427992,0.354705,8.946980,0.000009,0.381176,0.821692,4.094873,-1.063627,-0.531814
91.333817,8.834834,0.041197,0.703952,13.209323,24.999483,1.399136,0.782370,8.585549,0.000003,0.572152,0.549431,2.802965,-1.061364,-0.530682
85.930054,13.387225,0.354887,0.757315,33.234135,24.999203,1.592788,0.645360,4.739207,0.000002,0.400317,0.303650,4.516166,-1.059474,-0.529737
124.454262,3.203820,0.257536,0.556224,136.985535,24.999033,2.998101,0.640691,3.015227,0.000006,1.151472,0.446841,2.083252,-1.058457,-0.529229
124.454262,3.203820,0.257536,0.556224,136.985535,24.999033,2.998101,0.640691,3.015227,0.000006,1.151472,0.446841,2.083252,-1.058457,-0.529229
211.342651,10.118640,0.326354,0.659944,46.470467,24.999535,0.772534,0.595774,8.448228,0.000006,1.338933,0.604868,2.082906,-1.058170,-0.529085
211.342651,10.118640,0.326354,0.659944,46.470467,24.999535,0.772534,0.595774,8.448228,0.000006,1.338933,0.604868,2.082906,-1.058170,-0.529085
211.342651,10.118640,0.326354,0.659944,46.470467,24.999535,0.772534,0.595774,8.448228,0.000006,1.338933,0.604868,2.082906,-1.058170,-0.529085
102.706139,10.836601,0.203735,0.262846,117.973488,24.999846,2.985420,0.816266,7.648807,0.000010,1.453041,0.260825,0.138470,-1.057908,-0.528954
41.881882,19.448227,0.450139,0.035418,111.313156,24.999929,2.304830,0.450628,3.901588,0.000006,0.782924,0.761709,1.902821,-1.055919,-0.527959
41.881882,19.448227,0.450139,0.035418,111.313156,24.999929,2.304830,0.450628,3.901588,0.000006,0.782924,0.761709,1.902821,-1.055919,-0.527959
200.108490,6.913104,0.378081,0.490273,29.628849,24.999670,1.789842,0.010212,9.498747,0.000003,1.641923,0.269513,3.482321,-1.055332,-0.527666
221.343765,11.278071,0.494008,0.228520,44.140190,24.999384,1.342644,0.881761,5.620019,0.000010,2.109228,0.230019,0.071287,-1.053646,-0.526823
221.343765,11.278071,0.494008,0.228520,44.140190,24.999384,1.342644,0.881761,5.620019,0.000010,2.109228,0.230019,0.071287,-1.053646,-0.526823
132.767578,12.093815,0.436366,0.508779,28.956961,24.999407,1.531342,0.953186,4.543730,0.000002,0.912880,0.215917,4.388171,-1.053177,-0.526588
132.767578,12.093815,0.436366,0.508779,28.956961,24.999407,1.531342,0.953186,4.543730,0.000002,0.912880,0.215917,4.388171,-1.053177,-0.526588
