wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
25.165407,7.969547,0.430979,0.468614,70.292007,24.999683,1.149626,0.332513,4.306762,0.000007,0.723515,0.180452,4.968936,-0.083018,-0.041509
234.390289,7.317690,0.486938,0.925338,42.785583,24.999317,1.068962,0.405569,9.734055,0.000005,2.095011,0.047455,1.015451,-0.083017,-0.041509
49.672272,14.405694,0.245516,0.560997,127.061920,24.999172,1.072047,0.741969,4.893938,0.000007,0.358101,0.267245,3.329557,-0.083017,-0.041509
50.399185,18.277845,0.203546,0.752859,129.185959,24.999424,1.777730,0.389381,9.032492,0.000007,1.448164,0.157105,1.446854,-0.083017,-0.041508
199.611450,4.897461,0.318564,0.537624,19.973640,24.999432,2.833338,0.193369,7.386416,0.000008,2.348313,0.050252,4.394040,-0.083017,-0.041508
226.576263,6.058154,0.215518,0.957385,69.700310,24.999334,2.001721,0.552438,9.663377,0.000007,2.620031,0.175145,1.113860,-0.083017,-0.041508
176.879349,0.153055,0.380005,0.326226,52.489727,24.999222,2.605402,0.037573,3.276735,0.000000,1.007287,0.020178,2.396568,-0.083017,-0.041508
175.331970,14.873667,0.312241,0.602794,144.680725,24.999361,1.040392,0.281824,3.680768,0.000005,1.765777,0.221341,1.110033,-0.083017,-0.041508
79.085831,7.569729,0.458180,0.355890,146.617111,24.999557,2.094337,0.774371,3.284864,0.000009,0.123916,0.375103,3.169832,-0.083016,-0.041508
122.902039,15.578735,0.162057,0.785995,44.675266,24.999451,2.874369,0.370299,6.841921,0.000006,0.015142,0.842840,0.061675,-0.083016,-0.041508
122.902039,8.425394,0.162056,0.785996,8.706019,24.999626,2.874368,0.370298,6.841921,0.000006,0.015141,0.872046,3.145289,-0.083016,-0.041508
174.733459,14.464960,0.078930,0.845642,77.662201,24.999826,2.504828,0.213567,9.692514,0.000009,1.432077,0.336214,2.631084,-0.083016,-0.041508
220.909470,17.426327,0.028306,0.785996,12.625772,24.999626,1.261506,0.370299,6.916376,0.000006,0.015141,0.872048,3.705042,-0.083016,-0.041508
220.909470,17.426325,0.162058,0.785996,8.706019,24.999626,2.874368,0.370299,6.916375,0.000006,0.015140,0.872047,3.705041,-0.083016,-0.041508
220.909470,17.426327,0.069461,0.785999,12.625772,24.999626,1.953058,0.099642,6.916374,0.000005,0.015140,0.872048,3.705043,-0.083016,-0.041508
167.690308,5.892403,0.392559,0.955520,86.697731,24.999243,0.000585,0.320430,8.236573,0.000008,0.906658,0.412055,0.159891,-0.083015,-0.041508
66.331184,8.425817,0.300569,0.456847,125.834129,24.999367,1.561960,0.535930,7.356907,0.000004,2.327890,0.339259,1.584948,-0.083015,-0.041507
66.331184,4.185534,0.300568,0.456845,14.321587,24.999910,1.561960,0.535932,7.356906,0.000002,2.327889,0.339257,1.584947,-0.083015,-0.041507
79.505989,6.801619,0.180132,0.151139,79.862991,24.999865,2.958659,0.233808,6.323108,0.000007,0.691676,0.049777,4.183491,-0.083014,-0.041507
170.591873,5.189357,0.426653,0.188329,72.999634,24.999123,2.166262,0.161319,2.340762,0.000005,1.821608,0.253284,2.479320,-0.083014,-0.041507
195.143524,16.506498,0.113373,0.656384,3.245850,24.999517,0.276710,0.411501,6.272343,0.000003,0.316033,0.584872,1.051015,-0.083014,-0.041507
195.143524,16.506498,0.058657,0.656383,50.154987,24.999517,0.276711,0.411501,6.728788,0.000003,0.316032,0.584874,1.051014,-0.083014,-0.041507
223.458115,16.506498,0.058656,0.656383,49.877434,24.999969,0.276711,0.341346,3.901838,0.000003,0.316033,0.584873,2.466473,-0.083014,-0.041507
223.458115,16.506498,0.058656,0.656383,49.877434,24.999054,0.276711,0.341346,2.601581,0.000002,0.316032,0.584873,1.051016,-0.083014,-0.041507
