wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
20.626228,17.883814,0.447172,0.285005,42.125576,24.999718,0.889397,0.758119,2.955697,0.000001,0.428035,0.503645,3.564239,-4.058006,-2.029003
196.971619,6.389286,0.176915,0.725109,81.827942,24.999264,1.393154,0.616283,8.172544,0.000004,1.237592,0.244217,2.636014,-3.329332,-1.664666
119.532082,5.352019,0.116007,0.907654,86.581055,24.999857,1.447339,0.600111,7.326393,0.000007,0.032071,0.369434,4.300384,-3.310719,-1.655360
148.962006,10.849188,0.185850,0.556444,57.487076,24.999699,1.025186,0.658612,7.005031,0.000004,0.399979,0.332015,1.007791,-3.280354,-1.640177
114.165939,2.420819,0.204716,0.692568,99.139038,24.999939,0.205617,0.491919,2.049315,0.000009,1.149462,0.445903,3.038301,-3.276084,-1.638042
154.904388,2.344571,0.158497,0.541772,64.724792,24.999998,2.282959,0.640471,8.889423,0.000007,0.629763,0.455699,2.283471,-3.273416,-1.636708
245.446945,3.656772,0.071996,0.516036,85.823891,24.999781,0.320838,0.242827,4.836780,0.000008,2.119460,0.569752,0.726020,-3.260303,-1.630151
147.179016,15.037152,0.186981,0.780596,131.768509,24.999098,0.101065,0.468386,4.084041,0.000009,1.664910,0.732832,3.818690,-3.248904,-1.624452
87.522964,3.165507,0.021688,0.817727,110.039398,24.999462,0.267653,0.171222,1.452461,0.000009,2.116404,0.200339,2.109158,-3.248356,-1.624178
246.540543,5.330076,0.488424,0.501165,135.817017,24.999863,1.618191,0.649044,5.757706,0.000005,2.814372,0.814637,0.194565,-3.240068,-1.620034
246.540543,5.330076,0.488424,0.501165,135.817017,24.999863,1.618191,0.649044,5.757706,0.000005,2.814372,0.814637,0.194565,-3.240068,-1.620034
144.134048,9.372753,0.345237,0.867795,71.294945,24.999170,0.975202,0.054988,4.278831,0.000002,2.754353,0.096308,3.274635,-3.229567,-1.614783
108.696609,13.790062,0.198105,0.572686,82.355904,24.999777,1.803792,0.824205,6.244579,0.000008,0.457094,0.188832,2.124844,-3.229242,-1.614621
108.696609,13.790062,0.198105,0.572686,82.355904,24.999777,1.803792,0.824205,6.244579,0.000008,0.457094,0.188832,2.124844,-3.229242,-1.614621
108.696609,13.790062,0.198105,0.572686,82.355904,24.999777,1.803792,0.824205,6.244579,0.000008,0.457094,0.188832,2.124844,-3.229242,-1.614621
167.276917,18.986113,0.086461,0.336895,28.993513,24.999683,2.106510,0.852716,3.111896,0.000001,0.770710,0.640878,1.040279,-3.218410,-1.609205
167.276917,18.986113,0.086461,0.336895,28.993513,24.999683,2.106510,0.852716,3.111896,0.000001,0.770710,0.640878,1.040279,-3.218410,-1.609205
133.565002,8.502456,0.114913,0.725107,81.827942,24.999237,1.436577,0.311999,6.602110,0.000002,1.237592,0.354619,4.461320,-3.201548,-1.600774
47.564667,11.116031,0.252315,0.682543,47.208328,24.999975,0.509283,0.670840,8.535316,0.000009,0.256862,0.208578,1.666219,-3.198027,-1.599013
47.564667,11.116031,0.252315,0.682543,47.208328,24.999975,0.509283,0.670840,8.535316,0.000009,0.256862,0.208578,1.666219,-3.198027,-1.599013
183.980347,14.203095,0.145736,0.396449,4.254929,24.999338,2.948422,0.831428,5.142198,0.000007,0.571436,0.769941,1.772088,-3.187696,-1.593848
132.471405,6.829152,0.321513,0.739979,31.834816,24.999157,0.139226,0.114221,5.681183,0.000005,0.542681,0.109733,4.992774,-3.162004,-1.581002
147.548431,17.564621,0.250087,0.594013,8.907199,24.999640,1.701714,0.118278,4.616884,0.000004,0.321379,0.337432,0.825602,-3.132871,-1.566435
183.980347,6.236221,0.182471,0.334304,4.254929,24.999783,2.948421,0.704498,4.151065,0.000009,0.571435,0.886117,1.772087,-3.106083,-1.553042
183.980347,6.236221,0.182471,0.334304,4.254929,24.999783,2.948421,0.704498,4.151065,0.000009,0.571435,0.886117,1.772087,-3.106083,-1.553042
183.980347,6.236221,0.182471,0.334304,4.254929,24.999783,2.948421,0.704498,4.151065,0.000009,0.571435,0.886117,1.772087,-3.106083,-1.553042
183.980347,6.236221,0.182471,0.334304,4.254929,24.999783,2.948421,0.704498,4.151065,0.000009,0.571435,0.886117,1.772087,-3.106083,-1.553042
183.980347,6.236221,0.182471,0.334304,4.254929,24.999783,2.948421,0.704498,4.151065,0.000009,0.571435,0.886117,1.772087,-3.106083,-1.553042
228.758270,17.857550,0.137886,0.379090,70.511719,24.999245,0.381969,0.481918,3.449727,0.000004,1.863732,0.970481,1.841917,-3.096930,-1.548465
91.780258,18.073509,0.303983,0.651636,22.396492,24.999025,0.246409,0.164062,1.476823,0.000001,0.368013,0.234683,3.355693,-3.082395,-1.541197
69.500504,13.617789,0.083883,0.600084,123.538620,24.999483,2.074506,0.962600,6.873031,0.000002,0.019621,0.546487,4.640984,-3.066319,-1.533160
76.832771,9.207433,0.271211,0.685106,70.271965,24.999945,0.038723,0.639612,9.336145,0.000007,0.484228,0.148145,2.643518,-3.029382,-1.514691
76.832771,9.207433,0.271211,0.685106,70.271965,24.999945,0.038723,0.639612,9.336145,0.000007,0.484228,0.148145,2.643518,-3.029382,-1.514691
76.832771,9.207433,0.271211,0.685106,70.271965,24.999945,0.038723,0.639612,9.336145,0.000007,0.484228,0.148145,2.643518,-3.029382,-1.514691
28.861183,12.185656,0.152289,0.715842,46.968483,24.999880,2.119558,0.637709,2.909666,0.000008,1.682169,0.559283,2.275553,-2.982282,-1.491141
28.861183,12.185656,0.152289,0.715842,46.968483,24.999880,2.119558,0.637709,2.909666,0.000008,1.682169,0.559283,2.275553,-2.982282,-1.491141
28.861183,12.185656,0.152289,0.715842,46.968483,24.999880,2.119558,0.637709,2.909666,0.000008,1.682169,0.559283,2.275553,-2.982282,-1.491141
44.043236,11.552727,0.238133,0.970885,140.710693,24.999132,1.332886,0.258720,5.941400,0.000005,1.992017,0.046352,4.426123,-2.967905,-1.483953
44.043240,11.552726,0.238133,0.970885,140.710693,24.999624,0.102252,0.380736,5.941401,0.000007,2.769357,0.046352,4.631063,-2.961720,-1.480860
44.043240,11.552726,0.238133,0.970885,140.710693,24.999624,0.102252,0.380736,5.941401,0.000007,2.769357,0.046352,4.631063,-2.961720,-1.480860
44.043240,11.552726,0.238133,0.970885,140.710693,24.999624,0.102252,0.380736,5.941401,0.000007,2.769357,0.046352,4.631063,-2.961720,-1.480860
44.043240,11.552726,0.238132,0.970885,140.710693,24.999626,0.972742,0.170824,5.941401,0.000008,2.769358,0.046352,4.631064,-2.933401,-1.466700
80.357094,13.117287,0.092222,0.278675,44.579514,24.999683,2.935405,0.792757,2.907668,0.000006,0.770712,0.624685,2.871018,-2.927493,-1.463747
80.357094,13.117287,0.092222,0.278675,44.579514,24.999683,2.935405,0.792757,2.907668,0.000006,0.770712,0.624685,2.871018,-2.927493,-1.463747
80.357094,13.117287,0.092222,0.278675,44.579514,24.999683,2.935405,0.792757,2.907668,0.000006,0.770712,0.624685,2.871018,-2.927493,-1.463747
80.357094,13.117287,0.092222,0.278675,44.579514,24.999683,2.935405,0.792757,2.907668,0.000006,0.770712,0.624685,2.871018,-2.927493,-1.463747
80.357094,13.117287,0.092222,0.278675,44.579514,24.999683,2.935405,0.792757,2.907668,0.000006,0.770712,0.624685,2.871018,-2.927493,-1.463747
66.967560,12.851025,0.276860,0.271349,40.833179,24.999493,2.033617,0.509489,7.463956,0.000001,1.346016,0.549960,2.124036,-2.922592,-1.461296
