wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
162.558655,18.216177,0.124839,0.001507,7.516222,24.999861,0.866505,0.859430,8.027737,0.000000,0.115842,0.224029,3.511794,-40.925667,-20.462833
6.180552,4.128285,0.437578,0.437730,114.232071,24.999828,1.839736,0.979490,9.022317,0.000003,1.099336,0.318110,0.467323,-3.508657,-1.754329
6.180552,4.128285,0.437578,0.437730,114.232071,24.999828,1.839736,0.979490,9.022317,0.000003,1.099336,0.318110,0.467323,-3.508657,-1.754329
6.180552,4.128285,0.437578,0.437730,114.232071,24.999828,1.839736,0.979490,9.022317,0.000003,1.099336,0.318110,0.467323,-3.508657,-1.754329
10.886688,8.566211,0.365799,0.231009,82.813400,24.999805,2.073101,0.722376,3.502437,0.000002,0.160476,0.044138,1.030505,-2.808885,-1.404443
73.056366,6.673780,0.366476,0.288215,69.512276,24.999868,2.632323,0.744412,2.621195,0.000005,0.981885,0.021328,1.260866,-0.281286,-0.140643
37.400383,4.128286,0.437577,0.437730,50.434856,24.999828,1.588746,0.726670,9.022317,0.000002,1.099335,0.049767,2.614651,-0.191736,-0.095868
48.839657,12.888932,0.295815,0.369504,20.057722,24.999599,1.433397,0.437925,5.217818,0.000003,0.767615,0.033478,3.010741,-0.118287,-0.059143
57.794704,3.364710,0.288810,0.369502,20.057722,24.999718,1.599968,0.437924,5.217819,0.000002,0.767615,0.028489,3.010741,-0.081091,-0.040545
64.841515,4.128288,0.437577,0.437729,50.434853,24.999828,1.620841,0.726671,9.022316,0.000006,1.099336,0.542551,2.614651,-0.076481,-0.038240
88.938995,14.294092,0.439136,0.847358,35.610115,24.999723,2.842825,0.500385,9.862059,0.000001,1.318704,0.364926,2.234326,-0.058071,-0.029035
36.072845,1.947338,0.327316,0.845358,126.953590,24.999439,2.980707,0.243937,1.987524,0.000010,1.797466,0.475617,2.158094,-0.056837,-0.028418
56.492508,1.815153,0.334893,0.835412,128.927368,24.999403,2.430352,0.618954,1.322939,0.000008,2.548814,0.460172,1.132850,-0.056493,-0.028247
96.997482,6.395785,0.467822,0.471911,29.241194,24.999226,1.344496,0.756221,2.681648,0.000001,0.294288,0.699342,2.438696,-0.055589,-0.027794
102.692978,5.468939,0.387832,0.827908,80.486511,24.999214,2.588285,0.953833,4.946148,0.000008,2.484794,0.740159,0.221871,-0.054579,-0.027290
128.577545,5.009916,0.411368,0.716196,100.226631,24.999081,1.099358,0.815225,3.672647,0.000002,2.091616,0.286054,1.644563,-0.053036,-0.026518
128.577545,5.874629,0.328520,0.716195,118.531891,24.999176,0.556289,0.815226,3.672647,0.000001,1.931690,0.753714,1.538782,-0.052465,-0.026232
220.358261,19.465136,0.161141,0.628983,44.547379,24.999317,2.085264,0.218503,9.609130,0.000004,1.162875,0.106956,4.262564,-0.051974,-0.025987
66.449753,0.928200,0.016678,0.546234,82.498947,24.999020,0.373406,0.666951,7.485935,0.000008,2.051730,0.573197,4.093426,-0.051724,-0.025862
128.577545,0.469325,0.328520,0.716197,101.206886,24.999006,0.556289,0.815225,3.672648,0.000002,2.118040,0.338097,0.416775,-0.051648,-0.025824
128.577545,0.469325,0.328520,0.716197,101.206886,24.999006,0.556289,0.815225,3.672648,0.000002,2.118040,0.338097,0.416775,-0.051648,-0.025824
128.577545,0.469325,0.328520,0.716197,101.206886,24.999006,0.556289,0.815225,3.672648,0.000002,2.118040,0.338097,0.416775,-0.051648,-0.025824
199.903870,11.586118,0.276694,0.975675,124.716286,24.999201,1.751225,0.595803,8.063961,0.000004,2.486875,0.359533,2.896388,-0.051225,-0.025612
199.903870,11.586118,0.276694,0.975675,124.716286,24.999201,1.751225,0.595803,8.063961,0.000004,2.486875,0.359533,2.896388,-0.051225,-0.025612
199.903870,11.586118,0.276694,0.975675,124.716286,24.999201,1.751225,0.595803,8.063961,0.000004,2.486875,0.359533,2.896388,-0.051225,-0.025612
199.903870,11.586118,0.276694,0.975675,124.716286,24.999201,1.751225,0.595803,8.063961,0.000004,2.486875,0.359533,2.896388,-0.051225,-0.025612
199.903870,11.586118,0.276694,0.975675,124.716286,24.999201,1.751225,0.595803,8.063961,0.000004,2.486875,0.359533,2.896388,-0.051225,-0.025612
138.160645,9.580156,0.381978,0.934551,47.305412,24.999640,0.501810,0.484161,5.929885,0.000009,2.504394,0.844199,0.994806,-0.051071,-0.025535
179.552887,17.075430,0.038888,0.503751,121.131180,24.999004,2.112770,0.227618,6.698537,0.000009,2.754167,0.981147,0.259030,-0.050966,-0.025483
138.160645,9.580158,0.350776,0.934553,136.837891,24.999655,0.501809,0.484160,1.455553,0.000009,2.504394,0.844198,0.994806,-0.050730,-0.025365
138.160645,9.580158,0.350777,0.345996,136.837891,24.999657,0.501810,0.751541,6.508759,0.000006,2.504394,0.610628,0.994807,-0.050593,-0.025297
138.160645,9.580158,0.350777,0.345996,136.837891,24.999657,0.501810,0.751541,6.508759,0.000006,2.504394,0.610628,0.994807,-0.050593,-0.025297
223.844131,19.376463,0.312510,0.775307,125.347816,24.999969,1.970420,0.545832,5.091595,0.000004,1.430080,0.327752,2.838083,-0.049969,-0.024984
133.291916,3.654482,0.163424,0.979732,52.812515,24.999249,2.280495,0.735634,1.581226,0.000007,1.916186,0.862478,2.899868,-0.049727,-0.024864
148.569580,16.308714,0.114614,0.871875,93.662399,24.999325,2.558674,0.337209,6.841364,0.000009,1.998553,0.968384,4.901870,-0.049583,-0.024792
138.160645,6.196121,0.350776,0.506249,136.837891,24.999624,1.856475,0.371225,6.508759,0.000006,1.179251,0.625640,0.994808,-0.049513,-0.024756
178.337952,8.854022,0.051004,0.890078,74.210258,24.999516,1.961514,0.069739,3.852396,0.000006,1.526573,0.650104,0.373383,-0.049471,-0.024736
178.337952,8.854022,0.051004,0.890078,74.210258,24.999516,1.961514,0.069739,3.852396,0.000006,1.526573,0.650104,0.373383,-0.049471,-0.024736
98.940933,1.674166,0.307164,0.176504,90.232651,24.999659,0.600326,0.605806,1.347694,0.000001,0.615130,0.400733,1.455771,-0.049244,-0.024622
98.940933,1.674166,0.307164,0.176504,90.232651,24.999659,0.600326,0.605806,1.347694,0.000001,0.615130,0.400733,1.455771,-0.049244,-0.024622
128.577545,8.054617,0.017417,0.665345,67.997375,24.999125,0.556290,0.581970,3.672646,0.000001,1.456765,0.754432,4.839830,-0.048912,-0.024456
128.577545,8.054617,0.017417,0.665345,67.997375,24.999125,0.556290,0.581970,3.672646,0.000001,1.456765,0.754432,4.839830,-0.048912,-0.024456
236.666168,1.715293,0.058039,0.832647,138.162109,24.999552,1.950732,0.021464,9.524814,0.000003,1.164526,0.392946,3.862286,-0.048615,-0.024308
238.572037,10.713051,0.158171,0.638241,132.742538,24.999758,0.439850,0.222075,7.653732,0.000000,0.623126,0.640621,4.781713,-0.048105,-0.024053
150.843246,19.150082,0.271909,0.656107,89.414841,24.999329,1.132064,0.499808,3.526778,0.000001,1.638767,0.991719,4.796639,-0.048012,-0.024006
194.779404,17.615686,0.096282,0.742743,144.233109,24.999077,1.748599,0.065175,8.207422,0.000006,2.701638,0.911490,3.539794,-0.047642,-0.023821
181.815262,6.196124,0.350777,0.506250,136.837891,24.999075,1.856475,0.371225,6.508759,0.000009,2.584583,0.375034,0.598061,-0.047507,-0.023754
206.946350,13.407383,0.035541,0.905964,116.768364,24.999203,2.448427,0.062081,8.391703,0.000007,2.003010,0.693454,3.406123,-0.047422,-0.023711
206.946350,13.407383,0.035541,0.905964,116.768364,24.999203,2.448427,0.062081,8.391703,0.000007,2.003010,0.693454,3.406123,-0.047422,-0.023711
206.946350,13.407383,0.035541,0.905964,116.768364,24.999203,2.448427,0.062081,8.391703,0.000007,2.003010,0.693454,3.406123,-0.047422,-0.023711
206.946350,13.407383,0.035541,0.905964,116.768364,24.999203,2.448427,0.062081,8.391703,0.000007,2.003010,0.693454,3.406123,-0.047422,-0.023711
168.759583,0.656736,0.126369,0.497820,109.163895,24.999195,0.194019,0.533344,3.143837,0.000005,1.935786,0.732948,3.672805,-0.047289,-0.023645
168.759583,0.656736,0.126369,0.497820,109.163895,24.999195,0.194019,0.533344,3.143837,0.000005,1.935786,0.732948,3.672805,-0.047289,-0.023645
198.227692,6.196122,0.350776,0.506249,136.837891,24.999075,1.856475,0.371224,6.508759,0.000009,2.757146,0.375033,0.994807,-0.046717,-0.023359
118.134064,2.942777,0.216233,0.085321,87.220566,24.999384,0.389676,0.597644,2.353361,0.000000,0.475079,0.465386,2.306843,-0.046332,-0.023166
118.134064,2.942777,0.216233,0.085321,87.220566,24.999384,0.389676,0.597644,2.353361,0.000000,0.475079,0.465386,2.306843,-0.046332,-0.023166
194.779404,17.615688,0.093998,0.611281,142.419662,24.999077,1.748597,0.152197,4.113613,0.000005,2.197585,0.911492,3.539794,-0.045448,-0.022724
194.779404,17.615688,0.093998,0.611281,142.419662,24.999077,1.748597,0.152197,4.113613,0.000005,2.197585,0.911492,3.539794,-0.045448,-0.022724
194.779404,17.615688,0.093998,0.611281,142.419662,24.999077,1.748597,0.152197,4.113613,0.000005,2.197585,0.911492,3.539794,-0.045448,-0.022724
177.751190,19.134369,0.136566,0.443710,100.841942,24.999245,0.879947,0.590389,3.523496,0.000003,1.918305,0.805249,4.604519,-0.042933,-0.021466
177.751190,19.134369,0.136566,0.443710,100.841942,24.999245,0.879947,0.590389,3.523496,0.000003,1.918305,0.805249,4.604519,-0.042933,-0.021466
177.751190,19.134369,0.136566,0.443710,100.841942,24.999245,0.879947,0.590389,3.523496,0.000003,1.918305,0.805249,4.604519,-0.042933,-0.021466
177.751190,19.134369,0.136566,0.443710,100.841942,24.999245,0.879947,0.590389,3.523496,0.000003,1.918305,0.805249,4.604519,-0.042933,-0.021466
177.751190,19.134369,0.136566,0.443710,100.841942,24.999245,0.879947,0.590389,3.523496,0.000003,1.918305,0.805249,4.604519,-0.042933,-0.021466
177.751190,19.134369,0.136566,0.443710,100.841942,24.999245,0.879947,0.590389,3.523496,0.000003,1.918305,0.805249,4.604519,-0.042933,-0.021466
100.415901,14.333706,0.223777,0.626515,110.572281,24.999365,2.207073,0.187821,6.552998,0.000010,2.809898,0.465926,4.383654,-0.042885,-0.021442
201.824524,18.577913,0.259490,0.426629,45.284683,24.999781,0.253442,0.913839,2.854280,0.000003,2.560552,0.812700,4.825971,-0.042866,-0.021433
215.786499,19.206432,0.349355,0.465183,90.814125,24.999058,1.961727,0.351776,4.695176,0.000002,2.823695,0.703129,3.869847,-0.042834,-0.021417
215.786499,19.206432,0.349355,0.465183,90.814125,24.999058,1.961727,0.351776,4.695176,0.000002,2.823695,0.703129,3.869847,-0.042834,-0.021417
137.663559,13.434186,0.152842,0.644171,96.639023,24.999340,2.297707,0.095419,5.720913,0.000010,1.714354,0.408069,4.492295,-0.042241,-0.021120
137.663559,13.434186,0.152842,0.644171,96.639023,24.999340,2.297707,0.095419,5.720913,0.000010,1.714354,0.408069,4.492295,-0.042241,-0.021120
137.663559,13.434186,0.152842,0.644171,96.639023,24.999340,2.297707,0.095419,5.720913,0.000010,1.714354,0.408069,4.492295,-0.042241,-0.021120
137.663559,13.434186,0.152842,0.644171,96.639023,24.999340,2.297707,0.095419,5.720913,0.000010,1.714354,0.408069,4.492295,-0.042241,-0.021120
145.750473,12.706167,0.241542,0.717445,86.564590,24.999392,1.874009,0.076542,6.113523,0.000008,2.368621,0.785079,4.850315,-0.042237,-0.021118
145.750473,12.706167,0.241542,0.717445,86.564590,24.999392,1.874009,0.076542,6.113523,0.000008,2.368621,0.785079,4.850315,-0.042237,-0.021118
145.750473,12.706167,0.241542,0.717445,86.564590,24.999392,1.874009,0.076542,6.113523,0.000008,2.368621,0.785079,4.850315,-0.042237,-0.021118
133.446991,15.389350,0.146317,0.726735,85.058990,24.999641,2.450486,0.042836,7.106408,0.000005,1.635862,0.325818,4.882250,-0.041930,-0.020965
133.446991,15.389350,0.146317,0.726735,85.058990,24.999641,2.450486,0.042836,7.106408,0.000005,1.635862,0.325818,4.882250,-0.041930,-0.020965
133.446991,15.389350,0.146317,0.726735,85.058990,24.999641,2.450486,0.042836,7.106408,0.000005,1.635862,0.325818,4.882250,-0.041930,-0.020965
133.446991,15.389350,0.146317,0.726735,85.058990,24.999641,2.450486,0.042836,7.106408,0.000005,1.635862,0.325818,4.882250,-0.041930,-0.020965
133.446991,18.448351,0.146316,0.726733,85.058990,24.999641,2.450484,0.042836,7.106407,0.000007,1.635864,0.325817,4.882251,-0.041621,-0.020810
133.446991,18.448351,0.146316,0.726733,85.058990,24.999641,2.450484,0.042836,7.106407,0.000007,1.635864,0.325817,4.882251,-0.041621,-0.020810
133.446991,18.448351,0.146316,0.726733,85.058990,24.999641,2.450484,0.042836,7.106407,0.000007,1.635864,0.325817,4.882251,-0.041621,-0.020810
133.446991,18.448351,0.146316,0.726733,85.058990,24.999641,2.450484,0.042836,7.106407,0.000007,1.635864,0.325817,4.882251,-0.041621,-0.020810
197.349228,5.370035,0.494148,0.451089,147.455032,24.999063,0.441483,0.096583,8.547397,0.000002,2.257912,0.474139,1.502758,-0.041552,-0.020776
