wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
154.538147,10.161057,0.401184,0.031549,15.200222,24.999269,0.063247,0.512100,7.972494,0.000005,0.524657,0.153117,0.718275,-0.183912,-0.091956
20.178312,8.914825,0.440171,0.129444,108.377319,24.999361,1.370066,0.754340,3.482196,0.000010,1.202368,0.864216,3.766108,-0.179850,-0.089925
247.969238,16.049610,0.443133,0.208171,73.374443,24.999392,0.822888,0.823591,4.510891,0.000010,2.603722,0.209224,0.072920,-0.162050,-0.081025
236.851486,18.659130,0.142003,0.400719,23.395250,24.999146,2.828082,0.693437,7.342314,0.000001,2.864054,0.017763,1.507899,-0.161068,-0.080534
196.917297,13.833458,0.453743,0.884238,144.644531,24.999977,2.626908,0.815651,8.682734,0.000005,1.784527,0.081282,0.933388,-0.157861,-0.078930
157.132202,11.522733,0.156627,0.106156,136.110077,24.999250,2.252252,0.097732,1.609524,0.000000,1.707543,0.088279,2.655767,-0.157145,-0.078572
242.452759,8.494963,0.095563,0.198535,84.349121,24.999855,2.878857,0.157766,9.470447,0.000002,1.261209,0.333470,0.605666,-0.156593,-0.078297
129.386658,12.504196,0.241184,0.451470,21.475574,24.999395,2.533686,0.316983,5.333693,0.000005,0.329886,0.178836,4.988783,-0.155941,-0.077970
172.054382,19.774334,0.317302,0.749660,122.726974,24.999731,2.867622,0.566581,8.610916,0.000005,1.738935,0.228769,0.702970,-0.155929,-0.077965
226.879272,19.406746,0.021386,0.487084,73.878876,24.999935,2.796187,0.413233,5.494469,0.000005,2.250916,0.064360,3.597448,-0.155911,-0.077956
201.910919,17.137747,0.292030,0.971726,3.387032,24.999527,1.667070,0.093656,9.418606,0.000009,2.415847,0.156215,2.221263,-0.155562,-0.077781
164.523819,15.093820,0.497103,0.679717,25.031334,24.999043,1.451393,0.351193,7.991279,0.000008,2.921563,0.250297,0.757601,-0.155359,-0.077680
188.828964,12.665234,0.066955,0.231596,33.972462,24.999556,2.167806,0.077262,8.169095,0.000002,2.598061,0.106439,2.154293,-0.155350,-0.077675
53.260529,13.481606,0.190150,0.811718,145.301254,24.999052,1.082058,0.050235,9.317467,0.000004,1.411192,0.274911,4.676214,-0.155258,-0.077629
233.162430,4.619410,0.333859,0.640059,86.127922,24.999662,2.964753,0.600415,1.366460,0.000000,0.133969,0.541078,0.434294,-0.155066,-0.077533
202.537903,19.472477,0.154919,0.323828,12.794814,24.999353,1.836280,0.104107,7.933271,0.000005,2.548162,0.123069,2.459616,-0.155051,-0.077525
202.537903,19.472477,0.154919,0.323828,12.794814,24.999353,1.836280,0.104107,7.933271,0.000005,2.548162,0.123069,2.459616,-0.155051,-0.077525
226.879272,18.392746,0.105176,0.213746,73.878876,24.999529,2.580379,0.246434,1.872090,0.000006,1.769181,0.209953,3.216244,-0.154938,-0.077469
226.879272,18.392746,0.105176,0.213746,73.878876,24.999529,2.580379,0.246434,1.872090,0.000006,1.769181,0.209953,3.216244,-0.154938,-0.077469
226.879272,18.392748,0.283133,0.213746,79.649796,24.999519,2.580379,0.367324,1.872090,0.000008,1.769180,0.234946,4.365861,-0.154912,-0.077456
226.879272,18.392746,0.021386,0.487083,73.878876,24.999531,2.580377,0.184964,9.967445,0.000006,2.660057,0.157723,2.566749,-0.154799,-0.077400
226.879272,18.392746,0.021386,0.487083,73.878876,24.999531,2.580377,0.184964,9.967445,0.000006,2.660057,0.157723,2.566749,-0.154799,-0.077400
87.690521,11.997566,0.106024,0.478092,113.082008,24.999428,2.601474,0.067966,7.559233,0.000003,1.822456,0.338406,2.786673,-0.154768,-0.077384
87.690521,11.997566,0.106024,0.478092,113.082008,24.999428,2.601474,0.067966,7.559233,0.000003,1.822456,0.338406,2.786673,-0.154768,-0.077384
87.690521,11.997566,0.106024,0.478092,113.082008,24.999428,2.601474,0.067966,7.559233,0.000003,1.822456,0.338406,2.786673,-0.154768,-0.077384
209.333069,14.112706,0.399916,0.844026,36.812771,24.999557,1.605634,0.032235,7.867323,0.000008,2.542083,0.213264,1.548597,-0.154507,-0.077254
217.190140,14.021486,0.085308,0.029449,4.957664,24.999979,1.992755,0.015018,9.276337,0.000001,2.673037,0.062137,3.085037,-0.154457,-0.077229
217.190140,14.021486,0.085308,0.029449,4.957664,24.999979,1.992755,0.015018,9.276337,0.000001,2.673037,0.062137,3.085037,-0.154457,-0.077229
217.190140,14.021486,0.085308,0.029449,4.957664,24.999979,1.992755,0.015018,9.276337,0.000001,2.673037,0.062137,3.085037,-0.154457,-0.077229
217.190140,14.021486,0.085308,0.029449,4.957664,24.999979,1.992755,0.015018,9.276337,0.000001,2.673037,0.062137,3.085037,-0.154457,-0.077229
