wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
100.536964,18.946922,0.156520,0.010536,10.485835,24.999569,1.175837,0.390051,1.188044,0.000004,0.619739,0.240709,1.715797,-12.781324,-6.390662
48.803005,18.466156,0.014539,0.085012,27.624332,24.999910,0.382087,0.276018,3.025774,0.000000,0.804837,0.159539,2.338804,-3.082093,-1.541046
90.500854,13.334867,0.195326,0.732628,137.393372,24.999479,1.758110,0.627099,4.405160,0.000006,1.129712,0.496037,2.741824,-1.675846,-0.837923
18.287758,5.166307,0.302117,0.324312,78.754272,24.999331,1.010091,0.101290,9.246215,0.000003,0.401944,0.031892,3.294415,-1.650385,-0.825193
90.500854,10.273186,0.195326,0.732628,30.509491,24.999479,1.758110,0.627099,6.978772,0.000005,1.129712,0.496036,3.861763,-1.584559,-0.792279
26.224751,4.695195,0.279880,0.567227,69.007378,24.999586,0.965229,0.137627,9.215518,0.000000,0.172617,0.121295,4.214439,-1.481160,-0.740580
26.224751,4.695195,0.279880,0.567227,69.007378,24.999586,0.965229,0.137627,9.215518,0.000000,0.172617,0.121295,4.214439,-1.481160,-0.740580
26.224751,4.695195,0.279880,0.567227,69.007378,24.999586,0.965229,0.137627,9.215518,0.000000,0.172617,0.121295,4.214439,-1.481160,-0.740580
26.224751,4.695195,0.279880,0.567227,69.007378,24.999586,0.965229,0.137627,9.215518,0.000000,0.172617,0.121295,4.214439,-1.481160,-0.740580
32.644058,10.366077,0.232919,0.637337,83.856018,24.999451,2.222145,0.432857,4.987063,0.000005,2.029477,0.978410,4.368303,-1.450397,-0.725198
142.234818,13.815632,0.337308,0.658152,120.254875,24.999138,2.551859,0.741133,2.567430,0.000010,0.944613,0.577208,2.118818,-1.424061,-0.712030
75.955940,14.930900,0.097454,0.417105,98.217857,24.999132,1.402446,0.702841,7.806719,0.000008,2.232956,0.912702,1.444853,-1.408198,-0.704099
75.955940,14.930900,0.097454,0.417105,98.217857,24.999132,1.402446,0.702841,7.806719,0.000008,2.232956,0.912702,1.444853,-1.408198,-0.704099
161.727402,2.470753,0.358084,0.530366,125.273483,24.999620,1.916394,0.883597,9.534043,0.000002,2.485278,0.650838,0.465165,-1.403544,-0.701772
161.727402,2.470753,0.358084,0.530366,125.273483,24.999620,1.916394,0.883597,9.534043,0.000002,2.485278,0.650838,0.465165,-1.403544,-0.701772
161.727402,2.470753,0.358084,0.530366,125.273483,24.999620,1.916394,0.883597,9.534043,0.000002,2.485278,0.650838,0.465165,-1.403544,-0.701772
39.359200,19.057789,0.157254,0.916178,83.945450,24.999769,0.544498,0.229344,4.657733,0.000009,0.329611,0.478312,3.816730,-1.403036,-0.701518
39.359200,19.057789,0.157254,0.916178,83.945450,24.999769,0.544498,0.229344,4.657733,0.000009,0.329611,0.478312,3.816730,-1.403036,-0.701518
