wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
21.531837,12.736018,0.315195,0.385983,5.195474,24.999561,0.519014,0.744319,9.159306,0.000001,0.206492,0.723596,3.559713,-0.061630,-0.030815
236.234634,10.316331,0.042534,0.071634,149.291107,24.999409,2.837559,0.435298,7.906511,0.000006,1.257165,0.048230,0.484199,-0.054108,-0.027054
58.142563,5.927040,0.067652,0.137354,74.225044,24.999870,2.174147,0.911726,9.515639,0.000008,1.743536,0.652803,3.950280,-0.051542,-0.025771
200.911255,4.961782,0.103200,0.552235,109.939423,24.999483,1.662935,0.693920,9.425880,0.000007,1.654222,0.098516,1.007709,-0.051175,-0.025587
58.142563,3.463538,0.071017,0.367182,28.602013,24.999670,1.509629,0.237269,9.370474,0.000009,1.470972,0.200608,3.766338,-0.050932,-0.025466
65.426437,3.281720,0.239198,0.594590,98.441711,24.999767,0.425292,0.807555,5.313380,0.000009,2.748061,0.244423,1.330259,-0.050917,-0.025458
58.142563,12.587429,0.067651,0.694100,74.225044,24.999638,1.509629,0.648616,9.515639,0.000007,1.470972,0.200610,3.950280,-0.050833,-0.025417
58.142563,2.597010,0.105421,0.367182,28.602015,24.999672,1.509627,0.237269,7.814264,0.000009,0.921561,0.200608,3.766337,-0.050816,-0.025408
183.322769,12.956872,0.203818,0.737832,97.108154,24.999138,2.358098,0.900862,4.169505,0.000010,0.831968,0.109027,0.236354,-0.050650,-0.025325
155.889191,1.375676,0.466942,0.741119,114.598389,24.999599,1.627013,0.971893,7.560581,0.000006,1.416112,0.096384,2.409183,-0.050414,-0.025207
140.980515,11.485115,0.191647,0.861657,105.587219,24.999119,1.685371,0.840886,5.172489,0.000002,0.224114,0.013690,0.371559,-0.050298,-0.025149
111.623199,10.724560,0.369769,0.998875,69.568634,24.999603,0.323168,0.701144,8.004812,0.000008,2.089045,0.138616,2.495970,-0.050188,-0.025094
140.980515,1.555817,0.191645,0.861658,121.097946,24.999117,1.685371,0.840887,5.172490,0.000006,1.514496,0.121147,2.939775,-0.050082,-0.025041
164.544922,19.347563,0.220502,0.594590,98.441711,24.999121,2.804497,0.807554,3.274242,0.000009,1.177545,0.244426,1.330258,-0.050030,-0.025015
164.544922,19.347563,0.220502,0.594590,98.441711,24.999121,2.804497,0.807554,3.274242,0.000009,1.177545,0.244426,1.330258,-0.050030,-0.025015
242.923950,17.883976,0.283752,0.793201,111.959061,24.999430,2.082642,0.943530,3.120342,0.000009,0.559923,0.110761,1.973041,-0.049989,-0.024994
153.017578,4.966372,0.377640,0.699607,115.175598,24.999155,0.969841,0.692811,4.677473,0.000007,0.954935,0.153816,2.889846,-0.049940,-0.024970
138.810120,2.597012,0.209406,0.597544,107.300217,24.999670,1.283470,0.422938,4.889237,0.000008,0.756647,0.173513,3.236471,-0.049792,-0.024896
125.423660,2.597010,0.093158,0.367182,36.385006,24.999672,1.283468,0.237269,5.733847,0.000009,0.545771,0.223392,3.766336,-0.049762,-0.024881
138.810120,1.555817,0.279344,0.861656,121.097946,24.999670,1.441012,0.840887,6.619160,0.000007,0.756648,0.121148,4.614835,-0.049761,-0.024881
82.054077,0.651323,0.462858,0.952147,55.501846,24.999533,0.618687,0.685610,8.385869,0.000004,2.307151,0.220693,1.068242,-0.049720,-0.024860
190.456421,8.741124,0.364139,0.768978,120.181396,24.999327,0.896365,0.093078,3.777512,0.000007,0.355053,0.120941,2.302984,-0.049709,-0.024855
171.342133,16.137665,0.196290,0.503256,95.872635,24.999414,2.604591,0.080674,5.816561,0.000003,0.050418,0.437826,4.551921,-0.049538,-0.024769
144.782059,0.651322,0.213691,0.952146,30.835220,24.999245,1.918950,0.685612,8.385869,0.000004,2.307152,0.220693,1.068244,-0.049510,-0.024755
210.443665,5.899727,0.410719,0.864586,124.897430,24.999355,1.149144,0.884567,2.269794,0.000008,0.958240,0.304648,2.399039,-0.049397,-0.024698
36.149734,14.154228,0.474630,0.273360,41.077190,24.999088,1.152382,0.084770,2.737500,0.000006,1.007984,0.420150,4.358937,-0.049211,-0.024606
36.149734,14.154228,0.474630,0.273360,41.077190,24.999088,1.152382,0.084770,2.737500,0.000006,1.007984,0.420150,4.358937,-0.049211,-0.024606
231.100876,10.824599,0.185846,0.821850,109.436836,24.999790,2.753840,0.994127,1.240976,0.000002,0.672445,0.495507,3.283193,-0.048575,-0.024288
200.639526,16.310062,0.409972,0.640586,86.857086,24.999510,1.837850,0.228158,3.761154,0.000001,2.417441,0.347193,2.377051,-0.048438,-0.024219
200.639526,16.310062,0.409972,0.640586,86.857086,24.999510,1.837850,0.228158,3.761154,0.000001,2.417441,0.347193,2.377051,-0.048438,-0.024219
165.129196,6.479834,0.444870,0.821850,109.436836,24.999790,2.931764,0.537679,1.240975,0.000002,1.146179,0.495508,3.841983,-0.047751,-0.023876
165.129196,6.479834,0.444870,0.821850,109.436836,24.999790,2.931764,0.537679,1.240975,0.000002,1.146179,0.495508,3.841983,-0.047751,-0.023876
94.210793,1.649196,0.138598,0.354036,134.348877,24.999189,1.324201,0.352760,6.402051,0.000003,0.861224,0.603549,1.855578,-0.047701,-0.023850
114.423874,8.086513,0.413701,0.473717,127.022652,24.999117,0.570175,0.524291,3.459143,0.000008,0.673810,0.613648,4.662636,-0.047400,-0.023700
94.210793,1.649197,0.138597,0.354034,23.188530,24.999189,1.324201,0.352759,2.266754,0.000003,0.861222,0.603549,2.005245,-0.047179,-0.023589
