wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
18.499754,4.113711,0.075737,0.020951,22.992172,24.999735,1.388228,0.833072,3.936160,0.000007,0.356982,0.827744,1.433523,-1.173196,-0.586598
238.319672,13.599220,0.087227,0.858981,23.131187,24.999815,2.702547,0.529880,4.661001,0.000001,0.480955,0.997323,0.956284,-0.224357,-0.112178
154.507233,3.991963,0.310531,0.878972,106.988052,24.999769,2.471925,0.117193,8.472585,0.000002,1.063622,0.944361,3.582486,-0.223612,-0.111806
237.069778,14.052525,0.020394,0.977489,34.128387,24.999300,2.273877,0.236953,6.641039,0.000004,0.232699,0.667719,0.877941,-0.223275,-0.111638
147.259369,2.182235,0.463914,0.780030,76.065353,24.999586,1.817876,0.219440,4.405193,0.000002,1.755716,0.756710,4.506619,-0.222028,-0.111014
106.199364,18.686001,0.202355,0.992543,86.055222,24.999170,2.330734,0.228183,5.758033,0.000006,2.090284,0.760300,3.827514,-0.221585,-0.110792
106.199364,16.379786,0.202356,0.992542,86.055222,24.999155,2.046136,0.228184,5.758035,0.000007,2.090283,0.760301,3.827514,-0.221561,-0.110781
172.477646,12.242797,0.388795,0.757071,57.023670,24.999117,1.650192,0.553586,2.573647,0.000006,1.736958,0.275566,0.748354,-0.221067,-0.110534
172.477646,12.242797,0.388795,0.757071,57.023670,24.999117,1.650192,0.553586,2.573647,0.000006,1.736958,0.275566,0.748354,-0.221067,-0.110534
95.591309,17.855547,0.386413,0.939483,121.052528,24.999815,0.470071,0.012424,1.050267,0.000009,1.350727,0.907197,3.090881,-0.220974,-0.110487
89.915100,2.182234,0.165691,0.789555,121.945290,24.999586,1.319363,0.642289,1.232562,0.000005,2.567883,0.518222,4.081706,-0.220885,-0.110443
147.259369,14.561516,0.344281,0.780029,76.065353,24.999317,1.347983,0.274122,4.459884,0.000008,1.755716,0.593158,1.861193,-0.220831,-0.110415
147.259369,7.637068,0.136117,0.903883,36.167896,24.999910,1.535230,0.012423,2.181801,0.000009,0.336798,0.593159,4.005024,-0.220602,-0.110301
87.444061,16.081055,0.109872,0.939485,18.731827,24.999475,0.470072,0.012426,4.851183,0.000009,1.350728,0.907196,3.090882,-0.220456,-0.110228
107.031403,3.696891,0.242842,0.720313,96.991882,24.999891,2.553444,0.133063,5.916390,0.000002,1.085393,0.829209,4.930937,-0.220348,-0.110174
89.915100,2.182235,0.077869,0.658554,129.883331,24.999586,2.904389,0.219440,4.405192,0.000004,2.567882,0.552207,3.452900,-0.219560,-0.109780
