wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
16.205801,8.721117,0.213984,0.255791,32.504955,24.999836,0.629638,0.286038,5.768485,0.000005,0.309567,0.289402,1.433114,-0.318446,-0.159223
39.897377,10.019771,0.095616,0.709861,142.565475,24.999088,2.973233,0.735930,4.009141,0.000010,1.198750,0.098286,2.990942,-0.160715,-0.080358
39.897377,10.019772,0.095615,0.709861,86.623505,24.999086,2.973233,0.735931,4.009140,0.000010,2.592000,0.098286,2.990944,-0.156773,-0.078387
156.001556,16.165751,0.318295,0.037324,45.083256,24.999554,1.447853,0.555080,6.657905,0.000007,1.056197,0.847907,0.560430,-0.108705,-0.054352
156.001556,16.165751,0.318295,0.037324,45.083256,24.999554,1.447853,0.555080,6.657905,0.000007,1.056197,0.847907,0.560430,-0.108705,-0.054352
39.897377,10.019771,0.095614,0.709859,90.478867,24.999086,1.734338,0.735931,4.009140,0.000010,2.491795,0.098287,4.782476,-0.107423,-0.053712
39.897377,10.019771,0.095614,0.709857,90.478867,24.999086,1.734338,0.735930,2.663078,0.000009,2.491794,0.098289,4.782477,-0.093170,-0.046585
39.897377,10.019771,0.095615,0.709857,90.478867,24.999296,1.734337,0.735931,2.663080,0.000009,2.491796,0.098289,4.792889,-0.092926,-0.046463
53.821060,15.836601,0.469383,0.255792,3.102312,24.999861,0.629637,0.286038,5.768483,0.000003,1.641982,0.728667,1.433115,-0.044218,-0.022109
53.821060,15.836601,0.469383,0.255792,3.102312,24.999861,0.629637,0.286038,5.768483,0.000003,1.641982,0.728667,1.433115,-0.044218,-0.022109
88.555550,16.760710,0.157419,0.576082,94.816605,24.999340,2.541984,0.871579,2.700851,0.000001,2.275883,0.423983,4.146059,-0.025539,-0.012769
88.555550,16.760710,0.157419,0.576082,94.816605,24.999340,2.541984,0.871579,2.700851,0.000001,2.275883,0.423983,4.146059,-0.025539,-0.012769
92.787338,19.235111,0.174141,0.617573,18.400509,24.999880,2.018070,0.675066,9.100565,0.000003,1.662143,0.703736,3.784197,-0.006405,-0.003203
92.787338,19.235111,0.174141,0.617573,18.400509,24.999880,2.018070,0.675066,9.100565,0.000003,1.662143,0.703736,3.784197,-0.006405,-0.003203
136.841049,12.632664,0.133743,0.399350,127.088913,24.999371,1.378939,0.424945,3.193547,0.000006,0.498755,0.078939,2.626663,-0.000225,-0.000112
136.841049,12.632664,0.133743,0.399350,127.088913,24.999371,1.378939,0.424945,3.193547,0.000006,0.498755,0.078939,2.626663,-0.000225,-0.000112
