wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
137.978424,2.221888,0.227435,0.744831,2.053983,24.999611,0.523159,0.516758,5.104219,0.000003,0.876001,0.032455,2.361378,0.072374,0.036187
181.515289,18.641777,0.119457,0.730235,105.174911,24.999241,1.114747,0.754245,9.266264,0.000001,1.945729,0.445133,4.492605,0.078829,0.039415
138.514450,18.359955,0.042068,0.723216,88.237389,24.999136,0.273166,0.623059,4.306591,0.000005,1.033358,0.021609,4.765398,0.079298,0.039649
175.824326,0.326860,0.159618,0.505017,70.167084,24.999519,2.445328,0.441449,6.351988,0.000005,1.636428,0.685004,3.446883,0.081037,0.040519
126.862160,3.676847,0.067300,0.648536,55.325207,24.999287,2.197937,0.678217,5.724049,0.000005,1.648473,0.519898,4.703648,0.083502,0.041751
89.113495,5.961864,0.122837,0.816018,142.389877,24.999329,0.043166,0.959906,7.854305,0.000006,2.563179,0.205670,4.155587,0.083520,0.041760
225.225281,16.005041,0.078848,0.412215,16.014593,24.999054,2.129194,0.858486,2.804274,0.000002,0.106605,0.477726,4.525898,0.084625,0.042312
146.967804,6.675523,0.131989,0.436862,56.002838,24.999521,2.951697,0.929551,3.725559,0.000005,0.972120,0.536265,3.875501,0.086697,0.043348
146.967804,6.675523,0.131989,0.436862,56.002838,24.999521,2.951697,0.929551,3.725559,0.000005,0.972120,0.536265,3.875501,0.086697,0.043348
146.967804,6.675523,0.131989,0.436862,56.002838,24.999521,2.951697,0.929551,3.725559,0.000005,0.972120,0.536265,3.875501,0.086697,0.043348
85.056915,3.108471,0.145307,0.452141,51.062073,24.999365,2.113052,0.643162,3.368485,0.000006,1.857333,0.292338,4.743092,0.092208,0.046104
85.056915,3.108471,0.145307,0.452141,51.062073,24.999365,2.113052,0.643162,3.368485,0.000006,1.857333,0.292338,4.743092,0.092208,0.046104
233.374100,7.489068,0.380953,0.267074,65.298233,24.999844,1.622002,0.255896,8.678367,0.000002,2.883332,0.094014,0.861851,0.092890,0.046445
193.766724,10.145123,0.047023,0.935833,39.400005,24.999210,2.043052,0.378506,8.380908,0.000000,2.076671,0.757833,2.996187,0.093375,0.046687
157.673569,10.915811,0.455315,0.368250,86.783401,24.999855,0.337561,0.211182,7.056385,0.000007,1.404633,0.266910,0.082512,0.093752,0.046876
154.953064,6.967331,0.284092,0.858537,98.621811,24.999535,2.155534,0.909064,7.426438,0.000002,0.686411,0.949595,1.882208,0.095512,0.047756
238.681580,15.234353,0.349442,0.979795,31.368803,24.999592,2.165314,0.974189,4.128797,0.000004,0.778643,0.968649,2.560426,0.096460,0.048230
238.681580,15.234353,0.349442,0.979795,31.368803,24.999592,2.165314,0.974189,4.128797,0.000004,0.778643,0.968649,2.560426,0.096460,0.048230
184.573898,6.720281,0.378709,0.909433,82.479431,24.999580,2.144800,0.897381,7.974546,0.000007,1.069225,0.945907,2.451913,0.099317,0.049658
107.707306,18.866127,0.483844,0.597543,92.694283,24.999763,1.524075,0.064617,4.307020,0.000001,2.164681,0.461782,2.056448,0.099743,0.049871
20.137718,4.406192,0.265634,0.603740,142.154373,24.999456,0.158671,0.412992,1.329976,0.000009,1.856959,0.188382,3.422723,0.100497,0.050249
9.762987,13.489072,0.263423,0.987187,102.623749,24.999018,1.790947,0.991166,3.991234,0.000007,2.193905,0.543847,4.043548,0.101717,0.050858
133.912201,13.901079,0.090322,0.302345,137.200500,24.999187,2.909402,0.900151,5.624944,0.000001,2.692201,0.522414,3.521636,0.102432,0.051216
55.764114,10.145123,0.047025,0.935832,39.400005,24.999210,1.172397,0.378508,8.380908,0.000000,2.076670,0.757832,3.615286,0.103821,0.051910
