wm,b,im,ke,fc,iwu,under,leaki,th,isu,alpha,beta,alpha0,nsce,nsce/2
249.394562,6.803069,0.222615,0.973459,83.407425,24.999792,1.412797,0.653884,6.005558,0.000003,0.857683,0.969078,3.751424,-0.623484,-0.311742
242.527893,19.114809,0.091315,0.952392,76.017899,24.999895,2.379405,0.777075,9.107153,0.000005,1.979469,0.252590,0.145681,-0.623377,-0.311689
218.447144,19.205317,0.267226,0.960099,139.668762,24.999956,2.490403,0.958347,2.534425,0.000000,0.458141,0.787080,4.871612,-0.622222,-0.311111
154.429947,4.702028,0.260911,0.917070,113.839737,24.999220,0.310322,0.930825,2.882566,0.000003,2.008472,0.566737,3.306502,-0.621971,-0.310985
154.429947,4.702028,0.260911,0.917070,113.839737,24.999220,0.310322,0.930825,2.882566,0.000003,2.008472,0.566737,3.306502,-0.621971,-0.310985
187.225449,17.453762,0.121250,0.998984,111.132904,24.999830,2.252579,0.772788,4.678425,0.000002,0.817978,0.864200,4.999669,-0.621848,-0.310924
228.497177,9.234056,0.283963,0.813139,123.459312,24.999275,0.223330,0.770548,5.082592,0.000004,0.777058,0.738504,3.427171,-0.621403,-0.310702
230.760742,9.417269,0.309227,0.872087,137.392044,24.999987,0.884777,0.245357,5.850747,0.000001,0.388110,0.103191,2.465675,-0.621363,-0.310682
230.760742,9.417268,0.309228,0.872088,137.392044,24.999296,0.884776,0.245357,7.192663,0.000001,0.388110,0.103190,2.465676,-0.621244,-0.310622
140.720062,17.404545,0.152564,0.856930,28.931746,24.999254,0.600402,0.582628,3.476222,0.000004,0.846008,0.369780,0.223773,-0.620210,-0.310105
116.745911,8.225940,0.443074,0.945731,121.114174,24.999588,2.057962,0.827215,1.652219,0.000001,1.186369,0.682241,3.196298,-0.619890,-0.309945
153.000641,7.549809,0.276756,0.827673,142.542908,24.999804,2.575823,0.916120,3.984624,0.000000,0.622691,0.955256,4.342256,-0.619453,-0.309727
194.214798,0.211198,0.251861,0.302942,59.235237,24.999813,0.990245,0.903073,2.206388,0.000001,1.924799,0.650637,4.976030,-0.619147,-0.309574
249.394562,6.803069,0.222616,0.675553,83.407425,24.999794,0.302646,0.653884,6.005558,0.000002,1.528688,0.969077,4.308726,-0.619058,-0.309529
159.993118,2.346089,0.374851,0.686357,148.122086,24.999523,0.098434,0.713413,5.276740,0.000006,1.597296,0.952566,3.490532,-0.618329,-0.309165
140.720062,17.404547,0.152563,0.732106,28.931746,24.999933,0.600401,0.582630,6.749094,0.000003,0.846008,0.369780,0.223773,-0.617374,-0.308687
95.632179,17.404545,0.152564,0.739416,6.367008,24.999138,2.251294,0.582626,1.926049,0.000005,0.846007,0.644183,0.865796,-0.616787,-0.308394
230.760742,9.417268,0.309228,0.872087,90.105255,24.999296,1.737610,0.027579,7.192665,0.000000,0.388110,0.103191,2.465675,-0.616527,-0.308263
146.503906,17.749386,0.467041,0.755528,36.333767,24.999289,1.381231,0.462824,8.302931,0.000002,1.542114,0.573567,2.298382,-0.616279,-0.308140
124.777618,1.143984,0.334182,0.529248,146.996170,24.999710,1.172418,0.980684,4.200275,0.000007,1.178300,0.900273,3.787088,-0.616175,-0.308088
230.760742,15.265042,0.309228,0.872086,90.105255,24.999296,1.737610,0.027578,7.192665,0.000001,0.388111,0.103190,2.465675,-0.616130,-0.308065
140.720062,15.094503,0.152562,0.732107,28.931747,24.999935,0.600401,0.582631,6.749093,0.000000,0.846008,0.369779,3.331482,-0.616115,-0.308058
140.720062,15.094503,0.152562,0.732107,28.931747,24.999935,0.600401,0.582631,6.749093,0.000000,0.846008,0.369779,3.331482,-0.616115,-0.308058
206.909424,1.136461,0.315187,0.436180,23.908556,24.999603,0.375318,0.856234,9.886698,0.000001,1.725960,0.882019,4.423314,-0.615345,-0.307672
114.566551,14.964428,0.348179,0.764957,120.201080,24.999939,2.536565,0.327169,5.322628,0.000003,1.667568,0.617638,0.896706,-0.615331,-0.307666
114.566551,14.964428,0.348179,0.764957,120.201080,24.999939,2.536565,0.327169,5.322628,0.000003,1.667568,0.617638,0.896706,-0.615331,-0.307666
114.566551,14.964428,0.348179,0.764957,120.201080,24.999939,2.536565,0.327169,5.322628,0.000003,1.667568,0.617638,0.896706,-0.615331,-0.307666
129.832764,11.196663,0.167483,0.763022,136.256622,24.999613,2.520964,0.205653,7.510833,0.000000,1.577995,0.637758,3.401292,-0.614720,-0.307360
95.632179,17.404545,0.152565,0.739416,6.367008,24.999254,2.251293,0.582626,1.926049,0.000007,0.846007,0.644182,2.930445,-0.614100,-0.307050
175.269302,11.339452,0.249349,0.598038,43.252548,24.999802,1.413103,0.641652,2.960116,0.000003,1.116976,0.351450,3.980358,-0.614029,-0.307015
175.269302,11.339452,0.249349,0.598038,43.252548,24.999802,1.413103,0.641652,2.960116,0.000003,1.116976,0.351450,3.980358,-0.614029,-0.307015
175.269302,11.339452,0.249349,0.598038,43.252548,24.999802,1.413103,0.641652,2.960116,0.000003,1.116976,0.351450,3.980358,-0.614029,-0.307015
175.269302,11.339452,0.249349,0.598038,43.252548,24.999802,1.413103,0.641652,2.960116,0.000003,1.116976,0.351450,3.980358,-0.614029,-0.307015
69.353874,13.780844,0.141416,0.885368,101.989319,24.999937,2.206455,0.499909,4.617863,0.000001,0.756217,0.172752,1.751040,-0.613209,-0.306604
95.632179,17.404545,0.152564,0.739416,6.367008,24.999254,2.251294,0.582628,3.476222,0.000006,0.846008,0.563798,2.930443,-0.613106,-0.306553
146.769043,6.803068,0.222616,0.508426,83.407425,24.999794,0.302646,0.653884,5.194918,0.000007,1.528688,0.969078,4.308725,-0.609511,-0.304755
38.079895,9.638844,0.459008,0.949619,144.611389,24.999336,2.118052,0.660863,4.041808,0.000001,2.472519,0.982712,2.126394,-0.607569,-0.303784
229.968216,8.967169,0.113404,0.312454,45.108604,24.999836,2.122513,0.951214,4.830803,0.000002,1.553016,0.929473,2.970166,-0.603885,-0.301943
34.382935,16.233797,0.139586,0.912697,48.841515,24.999773,1.414682,0.482071,7.339744,0.000006,0.224564,0.193925,3.052180,-0.602609,-0.301304
34.382935,16.233797,0.139586,0.912697,48.841515,24.999773,1.414682,0.482071,7.339744,0.000006,0.224564,0.193925,3.052180,-0.602609,-0.301304
104.987381,8.747408,0.232330,0.481584,67.160416,24.999441,2.056505,0.353370,8.559233,0.000009,1.278408,0.723537,2.862178,-0.602448,-0.301224
104.786034,8.747407,0.232332,0.481586,99.381104,24.999443,1.760914,0.353371,8.559235,0.000009,1.278410,0.723537,2.862178,-0.602416,-0.301208
117.648178,15.523252,0.264901,0.400132,94.012695,24.999294,0.459601,0.903628,8.018774,0.000002,2.604827,0.614363,1.802756,-0.601921,-0.300960
25.256607,0.703930,0.030672,0.547111,100.736053,24.999119,1.439789,0.513833,5.804989,0.000008,1.569359,0.394274,0.806915,-0.601131,-0.300566
25.256607,0.703930,0.030672,0.547111,100.736053,24.999119,1.439789,0.513833,5.804989,0.000008,1.569359,0.394274,0.806915,-0.601131,-0.300566
229.943466,12.717947,0.270641,0.296502,139.929016,24.999659,1.114592,0.466190,1.422106,0.000005,1.162867,0.999956,2.924698,-0.597210,-0.298605
229.943466,12.717945,0.270639,0.296502,139.929016,24.999985,1.114592,0.466189,1.422107,0.000005,1.162869,0.999955,2.924698,-0.597210,-0.298605
229.943466,12.717945,0.270639,0.296502,139.929016,24.999985,1.114592,0.466189,1.422107,0.000005,1.162869,0.999955,2.924698,-0.597210,-0.298605
229.943466,12.717945,0.270639,0.296501,140.855484,24.999983,1.114593,0.466190,1.422108,0.000004,1.162869,0.999955,2.924698,-0.597210,-0.298605
229.943466,12.717945,0.270639,0.296502,139.929016,24.999985,1.114592,0.466189,1.422107,0.000005,1.162869,0.999955,2.924698,-0.597210,-0.298605
229.943466,13.866206,0.270637,0.296501,140.855484,24.999929,1.114593,0.466187,1.422107,0.000005,1.162867,0.685944,2.924697,-0.596825,-0.298413
27.043182,0.392032,0.270645,0.535751,56.827850,24.999146,1.692260,0.154854,7.573839,0.000009,1.614694,0.232993,3.095676,-0.596578,-0.298289
180.047241,17.441002,0.063729,0.283485,81.382904,24.999548,2.186180,0.518755,4.045332,0.000009,0.373473,0.923867,0.573619,-0.596449,-0.298224
180.047241,17.441002,0.063729,0.283485,81.382904,24.999548,2.186180,0.518755,4.045332,0.000009,0.373473,0.923867,0.573619,-0.596449,-0.298224
233.923035,5.663663,0.361158,0.287679,122.553230,24.999052,2.912225,0.854171,1.941176,0.000003,1.227656,0.978718,4.310947,-0.596320,-0.298160
78.617905,12.016264,0.488896,0.468302,146.242569,24.999603,1.075619,0.449425,3.085068,0.000009,1.522920,0.900906,3.412541,-0.595730,-0.297865
46.053101,4.350324,0.322272,0.539333,4.634727,24.999134,1.187531,0.503650,4.907335,0.000004,2.927826,0.206776,2.086366,-0.593814,-0.296907
46.053101,4.350324,0.322272,0.539333,4.634727,24.999134,1.187531,0.503650,4.907335,0.000004,2.927826,0.206776,2.086366,-0.593814,-0.296907
46.053101,4.350324,0.322272,0.539333,4.634727,24.999134,1.187531,0.503650,4.907335,0.000004,2.927826,0.206776,2.086366,-0.593814,-0.296907
46.053101,4.350324,0.322272,0.539333,4.634727,24.999134,1.187531,0.503650,4.907335,0.000004,2.927826,0.206776,2.086366,-0.593814,-0.296907
46.053101,4.350324,0.322272,0.539333,4.634727,24.999134,1.187531,0.503650,4.907335,0.000004,2.927826,0.206776,2.086366,-0.593814,-0.296907
46.053101,4.350324,0.322272,0.539333,4.634727,24.999134,1.187531,0.503650,4.907335,0.000004,2.927826,0.206776,2.086366,-0.593814,-0.296907
88.090485,10.870447,0.476122,0.386958,42.673275,24.999325,0.096099,0.685659,5.889135,0.000004,2.552022,0.232356,1.600820,-0.592575,-0.296288
88.090485,10.870447,0.476122,0.386958,42.673275,24.999325,0.096099,0.685659,5.889135,0.000004,2.552022,0.232356,1.600820,-0.592575,-0.296288
88.090485,10.870447,0.476122,0.386958,42.673275,24.999325,0.096099,0.685659,5.889135,0.000004,2.552022,0.232356,1.600820,-0.592575,-0.296288
90.144302,7.438715,0.449622,0.358030,52.373390,24.999607,1.165717,0.874793,3.892376,0.000006,2.056363,0.692893,3.899955,-0.591190,-0.295595
90.144302,7.438715,0.449622,0.358030,52.373390,24.999607,1.165717,0.874793,3.892376,0.000006,2.056363,0.692893,3.899955,-0.591190,-0.295595
78.684631,15.742512,0.399950,0.329061,53.152699,24.999222,0.700998,0.520998,4.309144,0.000002,2.764094,0.432558,1.588589,-0.584472,-0.292236
78.684631,15.742512,0.399950,0.329061,53.152699,24.999222,0.700998,0.520998,4.309144,0.000002,2.764094,0.432558,1.588589,-0.584472,-0.292236
78.684631,15.742512,0.399950,0.329061,53.152699,24.999222,0.700998,0.520998,4.309144,0.000002,2.764094,0.432558,1.588589,-0.584472,-0.292236
242.527893,19.114809,0.091315,0.212413,76.017899,24.999393,2.379406,0.504738,9.107155,0.000010,0.532740,0.742061,0.145681,-0.579451,-0.289725
242.527893,19.114809,0.091315,0.212413,76.017899,24.999393,2.379406,0.504738,9.107155,0.000010,0.532740,0.742061,0.145681,-0.579451,-0.289725
242.527893,19.114809,0.091315,0.212413,76.017899,24.999393,2.379406,0.504738,9.107155,0.000010,0.532740,0.742061,0.145681,-0.579451,-0.289725
