Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2011-03-30 00:00,246.58,176.13,0.00,5.59,60.01,0.0000,0.0000
2011-03-31 00:00,218.64,197.65,0.00,5.66,58.89,0.0000,0.0000
2011-04-01 00:00,194.40,203.88,0.02,2.87,58.51,0.0000,0.0002
2011-04-02 00:00,174.58,204.45,0.01,3.44,57.99,0.0000,0.0005
2011-04-03 00:00,203.83,215.49,0.24,0.59,59.60,0.0003,0.0346
2011-04-04 00:00,227.73,359.62,0.07,2.93,59.55,0.0001,0.0084
2011-04-05 00:00,224.36,540.85,0.00,4.75,58.62,0.0000,0.0000
2011-04-06 00:00,204.32,566.34,0.01,8.15,57.10,0.0000,0.0000
2011-04-07 00:00,181.03,705.09,0.00,6.32,55.90,0.0000,0.0000
2011-04-08 00:00,159.74,795.70,0.00,8.60,54.32,0.0000,0.0000
2011-04-09 00:00,141.90,824.02,0.02,5.29,53.54,0.0000,0.0004
2011-04-10 00:00,212.04,866.50,0.47,6.31,56.08,0.0004,0.0533
2011-04-11 00:00,236.24,940.12,0.01,8.35,54.63,0.0000,0.0000
2011-04-12 00:00,222.58,1039.23,0.00,9.45,52.94,0.0000,0.0000
2011-04-13 00:00,198.68,855.17,0.02,10.45,51.26,0.0000,0.0000
2011-04-14 00:00,175.34,600.32,0.00,8.77,49.85,0.0000,0.0000
2011-04-15 00:00,154.90,441.74,0.04,10.02,48.51,0.0000,0.0000
2011-04-16 00:00,148.44,382.28,0.14,6.56,48.60,0.0001,0.0066
2011-04-17 00:00,138.32,266.18,0.01,7.69,47.41,0.0000,0.0000
2011-04-18 00:00,124.94,228.23,0.00,10.79,45.71,0.0000,0.0000
2011-04-19 00:00,119.28,267.31,0.09,4.70,45.71,0.0000,0.0045
2011-04-20 00:00,114.42,265.61,0.14,6.15,45.86,0.0000,0.0037
2011-04-21 00:00,106.43,222.29,0.00,8.41,44.60,0.0000,0.0000
2011-04-22 00:00,127.35,224.84,0.16,4.73,45.16,0.0001,0.0151
2011-04-23 00:00,159.92,238.43,0.29,4.67,47.01,0.0003,0.0244
2011-04-24 00:00,164.23,305.82,0.00,11.66,45.22,0.0000,0.0000
2011-04-25 00:00,153.27,319.98,0.00,14.40,43.08,0.0000,0.0000
2011-04-26 00:00,338.70,319.98,0.84,2.69,49.91,0.0010,0.1027
2011-04-27 00:00,377.46,478.55,0.01,3.93,49.31,0.0000,0.0000
2011-04-28 00:00,363.64,673.94,0.13,3.72,49.76,0.0001,0.0101
2011-04-29 00:00,329.27,608.81,0.00,13.14,47.63,0.0000,0.0000
2011-04-30 00:00,356.51,495.54,0.28,4.83,49.15,0.0002,0.0269
2011-05-01 00:00,332.61,455.90,0.05,4.89,48.75,0.0000,0.0004
2011-05-02 00:00,292.08,419.09,0.00,7.66,47.52,0.0000,0.0000
2011-05-03 00:00,254.34,419.09,0.00,13.20,45.47,0.0000,0.0000
