Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2011-03-30 00:00,4911.72,4190.89,0.00,6.70,73.18,0.0000,0.0000
2011-03-31 00:00,4951.57,4275.84,0.00,6.81,71.38,0.0000,0.0001
2011-04-01 00:00,4827.01,4332.48,0.10,3.57,71.53,0.0001,0.0121
2011-04-02 00:00,4567.71,4417.43,0.01,5.18,70.41,0.0000,0.0003
2011-04-03 00:00,4217.63,4445.75,0.17,1.31,71.55,0.0002,0.0290
2011-04-04 00:00,3836.71,4559.01,0.08,3.80,71.23,0.0001,0.0114
2011-04-05 00:00,3455.86,4643.96,0.00,6.99,69.49,0.0000,0.0000
2011-04-06 00:00,3098.52,4672.28,0.04,8.84,67.86,0.0000,0.0002
2011-04-07 00:00,2783.86,4700.60,0.00,8.33,65.88,0.0000,0.0000
2011-04-08 00:00,2578.16,4728.91,0.05,9.56,64.20,0.0000,0.0052
2011-04-09 00:00,2438.94,4757.23,0.01,8.36,62.59,0.0000,0.0002
2011-04-10 00:00,2319.30,4785.55,0.53,7.64,66.41,0.0004,0.0752
2011-04-11 00:00,2204.07,4842.18,0.02,6.85,65.16,0.0000,0.0014
2011-04-12 00:00,2103.40,4927.13,0.00,11.04,62.77,0.0000,0.0000
2011-04-13 00:00,2038.34,5040.40,0.02,10.53,60.77,0.0000,0.0005
2011-04-14 00:00,2026.26,5181.98,0.03,6.11,60.18,0.0000,0.0019
2011-04-15 00:00,2111.12,5323.57,0.18,6.74,61.12,0.0001,0.0184
2011-04-16 00:00,2353.87,5635.05,0.27,4.71,63.13,0.0002,0.0318
2011-04-17 00:00,2622.33,5889.90,0.00,8.00,61.40,0.0000,0.0000
2011-04-18 00:00,2931.15,6116.44,0.10,9.04,60.49,0.0001,0.0106
2011-04-19 00:00,3311.12,6286.34,0.36,2.96,63.53,0.0003,0.0540
2011-04-20 00:00,3579.34,6427.92,0.11,6.15,63.61,0.0000,0.0069
2011-04-21 00:00,3687.17,6456.24,0.02,7.34,62.42,0.0000,0.0020
2011-04-22 00:00,3714.39,6314.66,0.17,2.76,63.80,0.0001,0.0234
2011-04-23 00:00,3654.88,6173.07,0.15,5.83,64.23,0.0001,0.0139
2011-04-24 00:00,3514.03,5946.54,0.00,10.72,61.93,0.0000,0.0000
2011-04-25 00:00,3309.55,5691.69,0.00,11.59,59.63,0.0000,0.0000
2011-04-26 00:00,3187.07,5465.15,0.91,2.88,68.45,0.0008,0.1468
2011-04-27 00:00,3132.08,5323.57,0.01,4.83,67.34,0.0000,0.0011
2011-04-28 00:00,3131.63,5153.67,0.07,4.65,67.20,0.0000,0.0041
2011-04-29 00:00,3178.07,4983.77,0.00,12.05,64.44,0.0000,0.0001
2011-04-30 00:00,3263.31,4813.86,0.28,5.08,66.08,0.0003,0.0437
2011-05-01 00:00,3371.41,4728.91,0.02,7.28,64.61,0.0000,0.0002
2011-05-02 00:00,3476.35,4615.65,0.00,8.70,62.68,0.0000,0.0000
2011-05-03 00:00,3549.02,4502.38,0.00,11.58,60.19,0.0000,0.0000
2011-05-04 00:00,3567.91,4445.75,0.00,14.72,57.26,0.0000,0.0000
2011-05-05 00:00,3525.72,4445.75,0.19,7.08,57.72,0.0001,0.0211
2011-05-06 00:00,3428.25,4445.75,0.00,13.89,55.05,0.0000,0.0000
2011-05-07 00:00,3289.13,4445.75,0.03,15.05,52.70,0.0000,0.0008
2011-05-08 00:00,3124.07,4417.43,0.04,11.93,50.98,0.0000,0.0045
2011-05-09 00:00,2949.03,4304.16,0.60,7.61,57.74,0.0005,0.0710
2011-05-10 00:00,2782.22,4190.89,0.00,11.81,55.42,0.0000,0.0005
2011-05-11 00:00,2644.57,4049.31,0.16,11.10,55.29,0.0001,0.0113
2011-05-12 00:00,2554.83,3936.04,0.12,14.11,53.79,0.0000,0.0088
2011-05-13 00:00,2526.61,3766.14,0.10,7.08,53.52,0.0000,0.0070
2011-05-14 00:00,2576.94,3709.51,0.12,4.84,54.25,0.0001,0.0103
2011-05-15 00:00,2670.08,3624.56,0.04,15.53,52.03,0.0000,0.0003
2011-05-16 00:00,2764.44,3567.92,0.00,15.38,49.40,0.0000,0.0000
2011-05-17 00:00,2831.75,3567.92,0.00,16.41,46.83,0.0000,0.0000
2011-05-18 00:00,2857.18,3511.29,0.01,12.97,44.98,0.0000,0.0001
2011-05-19 00:00,2834.77,3454.66,0.00,13.65,43.10,0.0000,0.0000
2011-05-20 00:00,2764.22,3398.02,0.05,14.57,42.00,0.0000,0.0061
2011-05-21 00:00,2649.83,3313.07,0.47,9.13,46.57,0.0004,0.0566
2011-05-22 00:00,2505.77,3284.75,0.56,13.36,50.38,0.0004,0.0581
