Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2011-03-30 00:00,420.72,472.89,0.00,8.48,51.23,0.0000,0.0000
2011-03-31 00:00,395.46,458.73,0.00,8.87,48.24,0.0000,0.0000
2011-04-01 00:00,377.65,441.74,0.15,3.80,48.68,0.0001,0.0068
2011-04-02 00:00,364.76,441.74,0.01,5.02,47.14,0.0000,0.0000
2011-04-03 00:00,355.31,436.08,0.22,1.60,49.83,0.0002,0.0193
2011-04-04 00:00,354.20,419.09,0.29,4.32,51.64,0.0002,0.0193
2011-04-05 00:00,357.83,407.76,0.00,7.70,48.96,0.0000,0.0000
2011-04-06 00:00,362.07,393.60,0.06,7.14,46.98,0.0000,0.0000
2011-04-07 00:00,361.73,390.77,0.00,6.68,44.81,0.0000,0.0000
2011-04-08 00:00,389.15,390.77,0.36,7.86,44.89,0.0002,0.0365
2011-04-09 00:00,410.75,393.60,0.02,6.94,43.04,0.0000,0.0013
2011-04-10 00:00,407.89,385.11,0.01,8.58,40.81,0.0000,0.0000
2011-04-11 00:00,390.47,390.77,0.06,4.80,40.06,0.0000,0.0005
2011-04-12 00:00,367.29,373.78,0.00,10.54,37.61,0.0000,0.0000
2011-04-13 00:00,345.02,379.45,0.00,12.48,34.96,0.0000,0.0000
2011-04-14 00:00,326.08,368.12,0.03,7.18,33.82,0.0000,0.0000
2011-04-15 00:00,326.46,365.29,0.37,4.35,36.84,0.0002,0.0185
2011-04-16 00:00,340.77,359.62,0.18,2.63,37.88,0.0001,0.0110
2011-04-17 00:00,339.86,353.96,0.00,7.63,36.21,0.0000,0.0000
2011-04-18 00:00,368.90,359.62,0.37,6.22,37.35,0.0002,0.0339
2011-04-19 00:00,433.44,362.46,0.79,0.64,48.78,0.0008,0.0683
2011-04-20 00:00,472.91,382.28,0.06,4.66,47.71,0.0000,0.0037
2011-04-21 00:00,482.79,419.09,0.00,8.32,45.12,0.0000,0.0000
2011-04-22 00:00,497.12,464.40,0.26,1.83,47.23,0.0002,0.0229
2011-04-23 00:00,487.81,475.72,0.17,9.08,46.38,0.0000,0.0013
2011-04-24 00:00,465.04,481.39,0.00,7.18,44.30,0.0000,0.0000
2011-04-25 00:00,438.00,481.39,0.03,7.59,42.49,0.0000,0.0004
2011-04-26 00:00,436.73,478.55,0.63,6.34,48.43,0.0005,0.0426
2011-04-27 00:00,440.87,487.05,0.08,5.49,47.34,0.0000,0.0047
2011-04-28 00:00,436.93,495.54,0.02,4.70,46.18,0.0000,0.0000
2011-04-29 00:00,424.87,506.87,0.00,12.54,42.64,0.0000,0.0000
2011-04-30 00:00,406.82,492.71,0.00,9.16,40.39,0.0000,0.0000
2011-05-01 00:00,385.76,481.39,0.04,9.04,38.52,0.0000,0.0000
2011-05-02 00:00,364.41,461.56,0.00,11.83,36.01,0.0000,0.0000
2011-05-03 00:00,344.49,438.91,0.01,8.55,34.30,0.0000,0.0000
2011-05-04 00:00,326.72,430.42,0.00,13.57,31.81,0.0000,0.0000
2011-05-05 00:00,311.11,402.10,0.04,8.31,30.68,0.0000,0.0000
2011-05-06 00:00,297.34,387.94,0.02,13.05,28.73,0.0000,0.0000
2011-05-07 00:00,285.04,390.77,0.03,9.75,27.61,0.0000,0.0000
2011-05-08 00:00,273.83,376.61,0.00,15.00,25.70,0.0000,0.0000
2011-05-09 00:00,263.99,368.12,0.13,8.84,25.32,0.0000,0.0010
2011-05-10 00:00,255.07,348.30,0.00,16.42,23.58,0.0000,0.0000
2011-05-11 00:00,246.83,351.13,0.24,13.63,24.15,0.0001,0.0031
2011-05-12 00:00,240.00,336.97,0.05,18.43,22.49,0.0000,0.0009
2011-05-13 00:00,252.66,331.31,0.36,6.72,24.66,0.0002,0.0230
2011-05-14 00:00,278.67,339.80,0.11,3.08,24.86,0.0000,0.0048
2011-05-15 00:00,285.76,379.45,0.13,10.10,24.21,0.0000,0.0008
2011-05-16 00:00,277.84,379.45,0.00,13.80,22.83,0.0000,0.0000
2011-05-17 00:00,263.80,359.62,0.00,14.69,21.52,0.0000,0.0000
2011-05-18 00:00,250.46,351.13,0.05,4.88,21.30,0.0000,0.0009
2011-05-19 00:00,238.40,328.48,0.00,16.49,20.00,0.0000,0.0000
2011-05-20 00:00,227.24,308.65,0.00,14.97,18.96,0.0000,0.0000
2011-05-21 00:00,217.17,302.99,0.02,13.31,18.15,0.0000,0.0000
2011-05-22 00:00,209.75,291.66,0.15,17.20,17.53,0.0000,0.0013
2011-05-23 00:00,218.36,345.47,0.34,16.65,18.02,0.0001,0.0178
