Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2011-03-30 00:00,234.68,373.78,0.00,7.90,45.89,0.0000,0.0000
2011-03-31 00:00,227.18,362.46,0.00,8.65,41.98,0.0000,0.0000
2011-04-01 00:00,225.78,353.96,0.16,3.58,42.51,0.0001,0.0059
2011-04-02 00:00,223.32,345.47,0.01,4.92,40.51,0.0000,0.0000
2011-04-03 00:00,229.58,334.14,0.32,1.22,44.48,0.0003,0.0277
2011-04-04 00:00,250.95,331.31,0.37,4.36,46.97,0.0002,0.0230
2011-04-05 00:00,265.99,322.81,0.00,7.69,43.41,0.0000,0.0000
2011-04-06 00:00,263.48,319.98,0.09,8.65,40.70,0.0000,0.0000
2011-04-07 00:00,249.99,317.15,0.00,7.04,37.81,0.0000,0.0000
2011-04-08 00:00,238.75,317.15,0.19,8.91,36.60,0.0001,0.0044
2011-04-09 00:00,227.18,317.15,0.00,7.11,34.06,0.0000,0.0000
2011-04-10 00:00,216.74,311.49,0.02,8.89,31.18,0.0000,0.0000
2011-04-11 00:00,208.22,308.65,0.07,5.11,30.15,0.0000,0.0001
2011-04-12 00:00,201.38,305.82,0.00,10.26,27.09,0.0000,0.0000
2011-04-13 00:00,195.72,297.33,0.00,12.35,23.79,0.0000,0.0000
2011-04-14 00:00,190.85,294.50,0.04,6.64,22.48,0.0000,0.0001
2011-04-15 00:00,191.20,294.50,0.40,4.78,26.34,0.0002,0.0091
2011-04-16 00:00,193.04,294.50,0.17,2.67,27.49,0.0001,0.0035
2011-04-17 00:00,192.20,278.35,0.00,7.72,25.40,0.0000,0.0000
2011-04-18 00:00,191.73,279.49,0.24,7.11,25.81,0.0001,0.0037
2011-04-19 00:00,221.88,291.66,0.89,0.43,41.37,0.0010,0.0572
2011-04-20 00:00,242.05,319.98,0.04,4.79,39.76,0.0000,0.0000
2011-04-21 00:00,240.96,319.98,0.00,8.85,36.33,0.0000,0.0000
2011-04-22 00:00,235.60,325.64,0.24,2.17,38.86,0.0002,0.0107
2011-04-23 00:00,226.15,331.31,0.22,7.97,37.93,0.0000,0.0017
2011-04-24 00:00,214.64,331.31,0.00,7.11,35.25,0.0000,0.0000
2011-04-25 00:00,203.29,328.48,0.01,7.20,32.82,0.0000,0.0000
2011-04-26 00:00,209.74,336.97,0.70,5.43,40.79,0.0005,0.0347
2011-04-27 00:00,218.73,342.63,0.03,5.04,39.04,0.0000,0.0000
2011-04-28 00:00,218.67,342.63,0.02,4.58,37.51,0.0000,0.0000
2011-04-29 00:00,210.62,342.63,0.00,12.29,32.98,0.0000,0.0000
2011-04-30 00:00,199.85,342.63,0.00,8.54,30.19,0.0000,0.0000
2011-05-01 00:00,189.80,339.80,0.05,9.07,27.82,0.0000,0.0000
2011-05-02 00:00,181.57,331.31,0.00,11.19,24.76,0.0000,0.0000
2011-05-03 00:00,175.04,325.64,0.01,9.02,22.59,0.0000,0.0000
2011-05-04 00:00,169.74,317.15,0.00,13.47,19.57,0.0000,0.0000
2011-05-05 00:00,165.24,305.82,0.05,8.09,18.27,0.0000,0.0000
2011-05-06 00:00,161.25,297.33,0.02,13.35,15.94,0.0000,0.0000
2011-05-07 00:00,157.60,288.83,0.03,8.81,14.65,0.0000,0.0000
2011-05-08 00:00,154.16,283.17,0.00,14.82,12.50,0.0000,0.0000
2011-05-09 00:00,151.11,278.35,0.17,9.52,12.09,0.0000,0.0005
2011-05-10 00:00,148.17,273.54,0.00,14.47,10.36,0.0000,0.0000
2011-05-11 00:00,146.64,266.18,0.33,12.85,11.69,0.0001,0.0032
2011-05-12 00:00,145.32,261.93,0.01,17.97,9.64,0.0000,0.0000
2011-05-13 00:00,144.47,258.82,0.25,5.06,11.68,0.0001,0.0023
2011-05-14 00:00,142.37,263.06,0.09,3.32,11.73,0.0000,0.0002
2011-05-15 00:00,139.18,264.48,0.14,11.22,10.79,0.0000,0.0000
2011-05-16 00:00,135.65,257.40,0.00,13.36,9.36,0.0000,0.0000
2011-05-17 00:00,132.21,246.07,0.00,14.34,8.03,0.0000,0.0000
2011-05-18 00:00,129.00,236.45,0.05,4.67,7.76,0.0000,0.0000
2011-05-19 00:00,126.01,228.52,0.00,16.19,6.51,0.0000,0.0000
2011-05-20 00:00,123.22,220.87,0.00,13.83,5.61,0.0000,0.0000
2011-05-21 00:00,120.57,215.49,0.02,12.27,4.95,0.0000,0.0000
2011-05-22 00:00,118.05,211.81,0.15,16.13,4.34,0.0000,0.0000
2011-05-23 00:00,115.62,225.40,0.16,15.55,3.85,0.0000,0.0000
2011-05-24 00:00,113.26,224.27,0.00,12.67,3.38,0.0000,0.0000
2011-05-25 00:00,118.77,224.84,1.00,4.54,20.46,0.0009,0.0212
2011-05-26 00:00,125.33,234.46,0.00,11.17,18.14,0.0000,0.0000
2011-05-27 00:00,127.48,233.05,0.00,13.14,15.81,0.0000,0.0000
2011-05-28 00:00,125.14,225.12,0.03,9.00,14.54,0.0000,0.0000
2011-05-29 00:00,121.57,218.61,0.24,9.35,14.78,0.0000,0.0014
2011-05-30 00:00,117.27,216.34,0.00,19.99,11.86,0.0000,0.0000
2011-05-31 00:00,112.93,206.15,0.02,17.12,9.92,0.0000,0.0000
2011-06-01 00:00,109.01,197.37,0.00,18.28,8.11,0.0000,0.0000
2011-06-02 00:00,105.61,189.44,0.00,13.91,6.99,0.0000,0.0000
2011-06-03 00:00,102.68,182.08,0.00,20.53,5.56,0.0000,0.0000
2011-06-04 00:00,100.09,171.03,0.00,20.42,4.44,0.0000,0.0000
