Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2011-03-30 00:00,234.35,259.95,0.00,5.87,67.32,0.0000,0.0000
2011-03-31 00:00,208.35,232.76,0.00,5.86,66.31,0.0000,0.0000
2011-04-01 00:00,199.52,267.03,0.21,3.31,66.98,0.0002,0.0273
2011-04-02 00:00,199.02,262.50,0.02,4.17,66.48,0.0000,0.0002
2011-04-03 00:00,223.34,319.98,0.28,1.05,67.65,0.0003,0.0463
2011-04-04 00:00,269.32,404.93,0.26,3.72,68.47,0.0002,0.0360
2011-04-05 00:00,305.23,498.38,0.01,5.73,67.52,0.0000,0.0000
2011-04-06 00:00,316.34,566.34,0.01,4.01,66.90,0.0000,0.0001
2011-04-07 00:00,304.26,625.80,0.00,8.30,65.48,0.0000,0.0000
2011-04-08 00:00,278.58,671.11,0.00,10.33,63.72,0.0000,0.0000
2011-04-09 00:00,248.69,702.26,0.00,9.80,62.11,0.0000,0.0000
2011-04-10 00:00,248.71,730.57,0.36,6.04,63.43,0.0003,0.0400
2011-04-11 00:00,252.00,739.07,0.02,5.36,62.75,0.0000,0.0000
2011-04-12 00:00,247.10,722.08,0.00,11.29,60.93,0.0000,0.0000
2011-04-13 00:00,233.09,693.76,0.04,10.11,59.68,0.0000,0.0000
2011-04-14 00:00,213.40,637.13,0.00,8.80,58.32,0.0000,0.0000
2011-04-15 00:00,192.40,569.17,0.06,10.01,57.26,0.0000,0.0002
2011-04-16 00:00,173.37,492.71,0.14,6.55,57.26,0.0001,0.0077
2011-04-17 00:00,158.41,430.42,0.01,8.48,56.08,0.0000,0.0000
2011-04-18 00:00,146.78,376.61,0.00,9.95,54.65,0.0000,0.0000
2011-04-19 00:00,136.29,319.98,0.00,7.32,53.62,0.0000,0.0000
2011-04-20 00:00,129.99,288.83,0.21,9.16,53.81,0.0001,0.0066
2011-04-21 00:00,123.35,267.31,0.00,8.58,52.63,0.0000,0.0000
2011-04-22 00:00,119.30,253.15,0.13,4.83,52.89,0.0001,0.0071
2011-04-23 00:00,123.82,245.22,0.23,5.19,53.70,0.0002,0.0195
2011-04-24 00:00,130.39,242.11,0.00,12.11,52.04,0.0000,0.0000
2011-04-25 00:00,132.91,233.33,0.00,14.69,50.05,0.0000,0.0000
2011-04-26 00:00,155.54,213.79,0.41,4.07,52.27,0.0004,0.0471
2011-04-27 00:00,176.88,212.09,0.07,4.33,52.14,0.0000,0.0028
2011-04-28 00:00,190.59,214.92,0.16,7.52,52.17,0.0001,0.0083
2011-04-29 00:00,194.49,238.43,0.00,12.17,50.53,0.0000,0.0000
2011-04-30 00:00,254.88,248.06,0.84,4.93,55.45,0.0009,0.1052
2011-05-01 00:00,317.72,291.66,0.00,6.07,54.59,0.0000,0.0000
2011-05-02 00:00,352.39,356.79,0.00,8.34,53.41,0.0000,0.0000
2011-05-03 00:00,351.71,393.60,0.00,15.09,51.32,0.0000,0.0000
2011-05-04 00:00,326.95,368.12,0.00,15.99,49.20,0.0000,0.0000
2011-05-05 00:00,331.76,342.63,0.60,7.69,52.27,0.0005,0.0621
2011-05-06 00:00,342.17,331.31,0.00,14.90,50.25,0.0000,0.0000
2011-05-07 00:00,342.64,339.80,0.00,17.51,47.98,0.0000,0.0000
2011-05-08 00:00,328.00,328.48,0.07,9.25,47.30,0.0000,0.0012
2011-05-09 00:00,330.45,305.82,0.38,5.78,49.22,0.0003,0.0333
2011-05-10 00:00,324.72,291.66,0.00,7.10,48.32,0.0000,0.0000
2011-05-11 00:00,316.75,279.49,0.24,10.76,48.59,0.0001,0.0140
2011-05-12 00:00,316.85,273.82,0.18,11.90,48.31,0.0001,0.0084
2011-05-13 00:00,306.17,281.19,0.13,8.61,48.07,0.0000,0.0056
2011-05-14 00:00,284.62,276.09,0.07,5.68,47.80,0.0000,0.0015
2011-05-15 00:00,258.96,259.67,0.00,17.60,45.61,0.0000,0.0000
2011-05-16 00:00,233.41,242.11,0.00,18.10,43.47,0.0000,0.0000
2011-05-17 00:00,209.60,224.27,0.00,19.07,41.33,0.0000,0.0000
2011-05-18 00:00,188.01,201.62,0.00,19.88,39.20,0.0000,0.0000
2011-05-19 00:00,168.67,190.29,0.00,10.73,38.11,0.0000,0.0000
2011-05-20 00:00,151.43,177.83,0.01,15.98,36.61,0.0000,0.0000
2011-05-21 00:00,202.70,168.49,0.89,5.53,42.89,0.0009,0.0868
2011-05-22 00:00,339.79,226.53,0.87,11.80,47.48,0.0007,0.0818
2011-05-23 00:00,427.04,305.82,0.14,11.08,47.00,0.0000,0.0035
2011-05-24 00:00,446.70,387.94,0.00,11.26,45.64,0.0000,0.0000
2011-05-25 00:00,422.46,430.42,0.00,15.95,43.78,0.0000,0.0000
2011-05-26 00:00,380.07,427.58,0.00,16.47,41.92,0.0000,0.0000
2011-05-27 00:00,335.53,387.94,0.04,15.56,40.50,0.0000,0.0000
2011-05-28 00:00,302.47,353.96,0.45,17.45,41.45,0.0001,0.0131
2011-05-29 00:00,278.39,328.48,0.02,9.81,40.48,0.0000,0.0000
2011-05-30 00:00,307.14,302.99,0.93,8.54,46.52,0.0009,0.0877
2011-05-31 00:00,347.15,325.64,0.07,20.24,44.48,0.0000,0.0004
2011-06-01 00:00,367.62,334.14,0.00,21.90,41.98,0.0000,0.0000
2011-06-02 00:00,361.89,314.32,0.00,18.38,39.96,0.0000,0.0000
2011-06-03 00:00,338.09,286.00,0.10,12.11,39.27,0.0000,0.0008
2011-06-04 00:00,306.42,257.12,0.00,22.23,37.01,0.0000,0.0000
2011-06-05 00:00,273.84,239.56,0.00,21.71,34.94,0.0000,0.0000
2011-06-06 00:00,243.80,220.02,0.00,22.89,32.86,0.0000,0.0000
2011-06-07 00:00,218.62,192.55,0.12,24.56,31.45,0.0000,0.0024
2011-06-08 00:00,197.71,188.59,0.00,22.61,29.62,0.0000,0.0000
2011-06-09 00:00,179.18,159.42,0.00,18.62,28.18,0.0000,0.0000
2011-06-10 00:00,162.03,146.11,0.06,18.60,27.07,0.0000,0.0001
2011-06-11 00:00,146.11,133.66,0.01,19.41,25.75,0.0000,0.0000
2011-06-12 00:00,131.53,129.97,0.00,21.23,24.33,0.0000,0.0000
2011-06-13 00:00,118.34,118.36,0.00,20.73,23.03,0.0000,0.0000
2011-06-14 00:00,106.50,116.67,0.00,22.36,21.72,0.0000,0.0000
2011-06-15 00:00,121.45,115.25,0.80,5.65,28.68,0.0008,0.0466
2011-06-16 00:00,144.03,116.67,0.01,14.86,27.59,0.0000,0.0000
2011-06-17 00:00,157.95,118.93,0.01,18.41,26.31,0.0000,0.0000
2011-06-18 00:00,197.32,130.82,0.98,10.70,33.51,0.0009,0.0646
2011-06-19 00:00,244.41,152.63,0.31,15.84,34.21,0.0002,0.0166
2011-06-20 00:00,277.55,235.88,0.00,18.33,32.60,0.0000,0.0000
2011-06-21 00:00,324.65,294.50,0.65,5.57,37.42,0.0006,0.0505
2011-06-22 00:00,354.53,302.99,0.29,7.05,38.84,0.0002,0.0175
2011-06-23 00:00,366.57,269.01,0.13,6.53,39.04,0.0001,0.0058
2011-06-24 00:00,357.46,277.79,0.00,19.95,37.02,0.0000,0.0000
2011-06-25 00:00,332.11,297.33,0.00,14.17,35.69,0.0000,0.0000
2011-06-26 00:00,299.22,286.00,0.00,15.55,34.23,0.0000,0.0000
2011-06-27 00:00,265.76,248.06,0.01,13.86,33.05,0.0000,0.0000
2011-06-28 00:00,235.39,216.62,0.00,21.39,31.21,0.0000,0.0000
2011-06-29 00:00,209.12,192.84,0.00,20.16,29.59,0.0000,0.0000
2011-06-30 00:00,186.62,169.05,0.00,15.48,28.40,0.0000,0.0000
2011-07-01 00:00,171.60,154.61,0.30,25.61,28.27,0.0001,0.0089
2011-07-02 00:00,174.50,150.36,0.63,22.58,30.19,0.0003,0.0199
2011-07-03 00:00,181.61,181.79,0.00,25.77,28.17,0.0000,0.0000
2011-07-04 00:00,180.59,184.91,0.00,23.81,26.43,0.0000,0.0000
2011-07-05 00:00,174.59,180.66,0.27,16.24,26.74,0.0001,0.0058
2011-07-06 00:00,162.92,168.20,0.00,24.71,25.03,0.0000,0.0000
2011-07-07 00:00,148.01,150.93,0.03,22.41,23.68,0.0000,0.0000
2011-07-08 00:00,132.71,139.04,0.00,25.19,22.14,0.0000,0.0000
2011-07-09 00:00,118.73,128.28,0.10,18.04,21.47,0.0000,0.0004
2011-07-10 00:00,106.51,118.93,0.01,24.55,20.12,0.0000,0.0000
2011-07-11 00:00,99.92,116.95,0.51,24.06,21.18,0.0001,0.0075
2011-07-12 00:00,95.34,109.59,0.00,21.97,19.97,0.0000,0.0000
