Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2011-03-30 00:00,486.41,2916.64,0.00,5.89,95.19,0.0000,0.0000
2011-03-31 00:00,387.41,2888.32,0.00,4.92,95.13,0.0000,0.0006
2011-04-01 00:00,325.33,2814.69,0.21,3.73,95.28,0.0002,0.0533
2011-04-02 00:00,291.77,2718.42,0.00,5.16,95.18,0.0000,0.0001
2011-04-03 00:00,283.88,2647.63,0.15,2.07,95.29,0.0001,0.0382
2011-04-04 00:00,294.13,2607.98,0.14,4.22,95.40,0.0001,0.0337
2011-04-05 00:00,312.29,2613.65,0.00,8.11,95.26,0.0000,0.0000
2011-04-06 00:00,323.43,2630.64,0.00,8.59,95.13,0.0000,0.0002
2011-04-07 00:00,317.53,2667.45,0.00,10.94,94.94,0.0000,0.0000
2011-04-08 00:00,294.22,2712.75,0.00,10.89,94.72,0.0000,0.0000
2011-04-09 00:00,259.49,2769.39,0.00,9.66,94.51,0.0000,0.0000
2011-04-10 00:00,247.75,2823.19,0.48,6.41,94.94,0.0005,0.1195
2011-04-11 00:00,268.47,2831.68,0.01,7.77,94.87,0.0000,0.0020
2011-04-12 00:00,305.75,2826.02,0.00,12.96,94.58,0.0000,0.0000
2011-04-13 00:00,335.02,2789.21,0.02,6.71,94.52,0.0000,0.0047
2011-04-14 00:00,342.68,2743.90,0.01,5.16,94.47,0.0000,0.0024
2011-04-15 00:00,330.13,2692.93,0.06,5.92,94.49,0.0001,0.0127
2011-04-16 00:00,314.40,2644.79,0.11,5.47,94.58,0.0001,0.0251
2011-04-17 00:00,297.50,2571.17,0.00,7.94,94.42,0.0000,0.0000
2011-04-18 00:00,277.80,2477.72,0.00,9.58,94.27,0.0000,0.0000
2011-04-19 00:00,253.78,2375.78,0.01,5.27,94.21,0.0000,0.0030
2011-04-20 00:00,237.93,2282.34,0.16,7.34,94.32,0.0001,0.0370
2011-04-21 00:00,236.02,2183.23,0.08,6.93,94.35,0.0001,0.0195
2011-04-22 00:00,263.68,2092.61,0.21,2.33,94.49,0.0002,0.0514
2011-04-23 00:00,306.39,2018.99,0.12,6.02,94.58,0.0001,0.0271
2011-04-24 00:00,342.60,1953.86,0.00,12.52,94.35,0.0000,0.0000
2011-04-25 00:00,357.84,1897.23,0.00,13.84,94.13,0.0000,0.0000
2011-04-26 00:00,500.25,1883.07,0.82,2.86,94.84,0.0008,0.2092
2011-04-27 00:00,641.27,1849.09,0.04,4.70,94.84,0.0000,0.0085
2011-04-28 00:00,736.02,1809.45,0.06,9.29,94.86,0.0000,0.0120
2011-04-29 00:00,757.46,1781.13,0.01,10.38,94.74,0.0000,0.0010
2011-04-30 00:00,790.73,1783.96,0.74,8.05,95.25,0.0007,0.1868
2011-05-01 00:00,823.04,1783.96,0.00,7.38,95.12,0.0000,0.0000
2011-05-02 00:00,835.42,1783.96,0.00,8.22,94.98,0.0000,0.0000
2011-05-03 00:00,811.06,1772.63,0.00,14.30,94.75,0.0000,0.0000
2011-05-04 00:00,749.96,1761.31,0.00,14.14,94.52,0.0000,0.0000
2011-05-05 00:00,698.28,1735.82,0.50,11.79,94.89,0.0005,0.1222
2011-05-06 00:00,666.57,1710.34,0.00,15.16,94.66,0.0000,0.0000
2011-05-07 00:00,644.23,1679.19,0.02,17.71,94.30,0.0000,0.0037
2011-05-08 00:00,630.72,1645.21,0.20,5.57,94.48,0.0002,0.0489
2011-05-09 00:00,668.08,1636.71,0.50,6.06,94.89,0.0005,0.1253
2011-05-10 00:00,724.48,1616.89,0.03,8.20,94.84,0.0000,0.0057
2011-05-11 00:00,772.29,1597.07,0.15,12.34,94.90,0.0001,0.0330
2011-05-12 00:00,804.49,1571.58,0.23,8.17,95.03,0.0002,0.0560
2011-05-13 00:00,814.71,1546.10,0.03,8.24,94.98,0.0000,0.0070
2011-05-14 00:00,799.68,1512.12,0.07,3.94,95.02,0.0001,0.0160
2011-05-15 00:00,752.44,1478.14,0.00,16.36,94.80,0.0000,0.0001
2011-05-16 00:00,676.84,1455.49,0.00,16.73,94.41,0.0000,0.0000
2011-05-17 00:00,584.18,1430.00,0.00,17.21,94.12,0.0000,0.0000
2011-05-18 00:00,487.32,1401.68,0.00,18.02,93.81,0.0000,0.0000
2011-05-19 00:00,396.13,1370.54,0.00,10.49,93.61,0.0000,0.0000
2011-05-20 00:00,332.13,1328.06,0.22,11.62,93.79,0.0002,0.0502
2011-05-21 00:00,451.94,1356.38,1.25,8.75,94.88,0.0012,0.3137
2011-05-22 00:00,789.33,1424.34,1.01,10.74,95.49,0.0010,0.2555
2011-05-23 00:00,1179.46,1469.64,0.04,10.67,95.43,0.0000,0.0057
2011-05-24 00:00,1443.71,1526.28,0.00,9.28,95.33,0.0000,0.0001
2011-05-25 00:00,1534.55,1591.41,0.11,11.22,95.27,0.0001,0.0269
2011-05-26 00:00,1480.72,1633.88,0.00,16.26,95.01,0.0000,0.0000
2011-05-27 00:00,1346.82,1676.36,0.09,10.28,95.06,0.0001,0.0176
2011-05-28 00:00,1206.82,1721.66,0.32,18.04,95.27,0.0003,0.0742
2011-05-29 00:00,1069.74,1764.14,0.00,6.83,95.18,0.0000,0.0002
2011-05-30 00:00,977.81,1803.78,0.56,11.70,95.54,0.0005,0.1393
2011-05-31 00:00,933.90,1826.44,0.11,18.74,95.49,0.0001,0.0224
2011-06-01 00:00,906.81,1809.45,0.00,20.24,95.20,0.0000,0.0000
2011-06-02 00:00,865.75,1786.79,0.01,18.39,94.97,0.0000,0.0011
2011-06-03 00:00,802.52,1761.31,0.07,12.36,94.97,0.0000,0.0122
2011-06-04 00:00,722.34,1727.33,0.00,22.16,94.58,0.0000,0.0000
2011-06-05 00:00,633.07,1673.53,0.00,21.87,94.17,0.0000,0.0000
2011-06-06 00:00,541.37,1608.40,0.00,23.67,93.78,0.0000,0.0001
2011-06-07 00:00,452.45,1546.10,0.00,26.14,93.26,0.0000,0.0000
2011-06-08 00:00,370.37,1472.48,0.00,22.23,92.89,0.0000,0.0000
2011-06-09 00:00,297.91,1401.68,0.00,15.62,92.65,0.0000,0.0000
2011-06-10 00:00,242.13,1322.40,0.09,11.78,92.68,0.0001,0.0165
2011-06-11 00:00,204.50,1245.94,0.04,18.67,92.61,0.0000,0.0035
2011-06-12 00:00,175.79,1177.98,0.00,19.46,92.41,0.0000,0.0001
2011-06-13 00:00,151.72,1124.18,0.00,18.91,92.14,0.0000,0.0004
2011-06-14 00:00,155.60,1067.55,0.32,18.78,92.31,0.0003,0.0743
2011-06-15 00:00,281.39,1059.05,0.98,11.82,93.17,0.0010,0.2384
2011-06-16 00:00,469.94,1047.72,0.00,17.20,92.93,0.0000,0.0000
2011-06-17 00:00,637.92,1059.05,0.01,14.30,92.77,0.0000,0.0013
2011-06-18 00:00,800.35,1110.02,0.63,9.19,93.33,0.0006,0.1525
2011-06-19 00:00,901.18,1141.17,0.02,16.73,93.14,0.0000,0.0024
2011-06-20 00:00,935.57,1180.81,0.01,14.08,92.98,0.0000,0.0013
2011-06-21 00:00,1025.38,1291.25,0.94,7.82,93.81,0.0009,0.2335
2011-06-22 00:00,1186.58,1418.67,0.39,7.52,94.20,0.0004,0.0965
2011-06-23 00:00,1331.89,1517.78,0.12,7.28,94.32,0.0001,0.0263
2011-06-24 00:00,1388.18,1585.74,0.00,19.99,93.88,0.0000,0.0000
2011-06-25 00:00,1338.90,1636.71,0.01,9.68,93.74,0.0000,0.0018
2011-06-26 00:00,1206.62,1690.52,0.00,10.37,93.56,0.0000,0.0001
2011-06-27 00:00,1032.03,1724.50,0.01,17.49,93.29,0.0000,0.0001
2011-06-28 00:00,850.42,1738.65,0.00,20.02,92.96,0.0000,0.0000
2011-06-29 00:00,683.35,1741.49,0.00,20.59,92.66,0.0000,0.0000
2011-06-30 00:00,540.19,1727.33,0.00,15.32,92.44,0.0000,0.0000
2011-07-01 00:00,436.07,1710.34,0.39,24.58,92.65,0.0004,0.0908
2011-07-02 00:00,393.94,1682.02,0.23,21.98,92.84,0.0002,0.0476
2011-07-03 00:00,399.34,1622.56,0.00,24.03,92.46,0.0000,0.0000
2011-07-04 00:00,420.46,1543.27,0.00,22.36,92.16,0.0000,0.0000
2011-07-05 00:00,452.20,1475.31,0.44,16.98,92.46,0.0004,0.1028
2011-07-06 00:00,494.03,1430.00,0.02,23.81,92.17,0.0000,0.0030
2011-07-07 00:00,523.72,1387.53,0.02,24.08,91.94,0.0000,0.0015
2011-07-08 00:00,524.70,1336.56,0.01,24.03,91.57,0.0000,0.0010
2011-07-09 00:00,496.05,1296.91,0.06,15.71,91.50,0.0000,0.0113
2011-07-10 00:00,471.27,1282.75,0.24,23.30,91.55,0.0002,0.0538
2011-07-11 00:00,522.57,1282.75,0.64,23.61,92.21,0.0006,0.1472
2011-07-12 00:00,607.11,1234.61,0.00,18.62,91.94,0.0000,0.0005
2011-07-13 00:00,670.44,1206.30,0.00,17.47,91.64,0.0000,0.0000
2011-07-14 00:00,706.99,1160.99,0.32,6.12,91.98,0.0003,0.0760
2011-07-15 00:00,892.49,1211.96,1.42,11.50,93.25,0.0014,0.3497
2011-07-16 00:00,1295.38,1398.85,0.46,19.97,93.53,0.0004,0.1106
2011-07-17 00:00,1627.88,1413.01,0.03,11.16,93.47,0.0000,0.0046
2011-07-18 00:00,1736.89,1452.65,0.02,22.98,93.21,0.0000,0.0010
2011-07-19 00:00,1683.73,1520.61,0.25,8.02,93.39,0.0002,0.0595
2011-07-20 00:00,1497.40,1546.10,0.00,23.59,92.99,0.0000,0.0000
2011-07-21 00:00,1264.14,1560.26,0.00,20.72,92.64,0.0000,0.0001
2011-07-22 00:00,1039.89,1557.43,0.01,22.17,92.35,0.0000,0.0012
2011-07-23 00:00,883.67,1551.76,0.59,18.45,92.92,0.0006,0.1387
2011-07-24 00:00,829.97,1548.93,0.13,21.82,92.82,0.0001,0.0277
2011-07-25 00:00,810.88,1503.62,0.00,20.75,92.47,0.0000,0.0000
2011-07-26 00:00,778.18,1446.99,0.00,20.51,92.13,0.0000,0.0000
2011-07-27 00:00,759.93,1398.85,0.51,12.56,92.64,0.0005,0.1211
2011-07-28 00:00,745.21,1330.89,0.00,17.98,92.38,0.0000,0.0001
2011-07-29 00:00,720.34,1260.10,0.00,22.95,92.01,0.0000,0.0001
2011-07-30 00:00,677.45,1175.15,0.06,19.21,91.78,0.0001,0.0131
2011-07-31 00:00,666.96,1110.02,0.45,18.22,92.22,0.0004,0.1043
2011-08-01 00:00,752.15,1076.04,0.74,4.90,92.93,0.0007,0.1815
2011-08-02 00:00,893.79,1059.05,0.32,20.02,93.19,0.0003,0.0721
2011-08-03 00:00,1032.28,1030.73,0.00,20.25,92.81,0.0000,0.0000
2011-08-04 00:00,1103.04,985.43,0.00,21.47,92.45,0.0000,0.0000
2011-08-05 00:00,1081.32,965.60,0.00,15.80,92.19,0.0000,0.0000
2011-08-06 00:00,1000.17,957.11,0.51,19.17,92.56,0.0005,0.1198
2011-08-07 00:00,906.48,948.61,0.04,18.21,92.38,0.0000,0.0078
2011-08-08 00:00,823.95,979.76,0.00,17.64,92.07,0.0000,0.0000
2011-08-09 00:00,753.44,988.26,0.00,10.69,91.92,0.0000,0.0000
2011-08-10 00:00,686.78,974.10,0.00,18.13,91.68,0.0000,0.0008
2011-08-11 00:00,616.71,940.12,0.00,17.73,91.43,0.0000,0.0000
2011-08-12 00:00,541.19,920.30,0.02,15.73,91.24,0.0000,0.0029
2011-08-13 00:00,501.57,931.62,0.33,16.30,91.53,0.0003,0.0748
2011-08-14 00:00,475.32,925.96,0.00,18.48,91.26,0.0000,0.0001
2011-08-15 00:00,447.52,900.48,0.00,16.36,91.00,0.0000,0.0000
2011-08-16 00:00,453.84,869.33,0.69,13.09,91.68,0.0007,0.1645
