Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2011-03-30 00:00,2169.30,3482.97,0.00,6.04,74.49,0.0000,0.0000
2011-03-31 00:00,1915.54,3596.24,0.00,5.97,72.72,0.0000,0.0001
2011-04-01 00:00,1698.19,3652.87,0.13,3.26,73.17,0.0001,0.0209
2011-04-02 00:00,1516.05,3681.19,0.01,4.49,72.12,0.0000,0.0005
2011-04-03 00:00,1393.37,3681.19,0.19,1.20,73.58,0.0002,0.0340
2011-04-04 00:00,1328.26,3652.87,0.10,3.63,73.20,0.0001,0.0165
2011-04-05 00:00,1303.93,3624.56,0.00,6.56,71.43,0.0000,0.0000
2011-04-06 00:00,1294.53,3652.87,0.02,8.04,69.61,0.0000,0.0003
2011-04-07 00:00,1276.22,3737.82,0.00,8.81,67.45,0.0000,0.0000
2011-04-08 00:00,1234.63,3879.41,0.00,9.96,65.14,0.0000,0.0000
2011-04-09 00:00,1167.35,4020.99,0.02,8.77,63.47,0.0000,0.0004
2011-04-10 00:00,1178.71,4219.21,0.47,7.36,68.14,0.0005,0.0677
2011-04-11 00:00,1197.78,4389.11,0.01,6.93,66.62,0.0000,0.0004
2011-04-12 00:00,1210.63,4502.38,0.00,11.28,64.02,0.0000,0.0000
2011-04-13 00:00,1208.36,4587.33,0.03,9.21,62.48,0.0000,0.0010
2011-04-14 00:00,1192.76,4700.60,0.03,6.49,61.91,0.0000,0.0026
2011-04-15 00:00,1176.48,4728.91,0.09,7.85,62.20,0.0001,0.0094
2011-04-16 00:00,1147.67,4643.96,0.14,5.91,63.12,0.0001,0.0138
2011-04-17 00:00,1103.85,4445.75,0.00,8.06,61.37,0.0000,0.0000
2011-04-18 00:00,1045.23,4190.89,0.00,10.08,59.31,0.0000,0.0000
2011-04-19 00:00,1008.21,3936.04,0.09,4.80,60.44,0.0001,0.0112
2011-04-20 00:00,968.11,3737.82,0.15,7.16,60.81,0.0001,0.0109
2011-04-21 00:00,918.53,3539.61,0.03,7.35,59.90,0.0000,0.0041
2011-04-22 00:00,910.17,3369.70,0.18,3.33,61.69,0.0002,0.0249
2011-04-23 00:00,933.73,3171.49,0.19,5.27,62.83,0.0001,0.0191
2011-04-24 00:00,962.65,3029.90,0.00,11.78,60.30,0.0000,0.0000
2011-04-25 00:00,979.34,2944.95,0.00,14.07,57.42,0.0000,0.0000
2011-04-26 00:00,1246.75,2860.00,0.85,2.77,67.98,0.0010,0.1450
2011-04-27 00:00,1590.16,2828.85,0.02,4.74,66.82,0.0000,0.0022
2011-04-28 00:00,1865.98,2828.85,0.10,5.86,66.93,0.0001,0.0077
2011-04-29 00:00,2004.56,2831.68,0.00,11.64,64.14,0.0000,0.0002
2011-04-30 00:00,2101.47,2888.32,0.53,5.42,67.98,0.0005,0.0860
2011-05-01 00:00,2167.34,2944.95,0.01,6.28,66.45,0.0000,0.0001
