Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2011-03-30 00:00,354.39,407.76,0.00,5.83,66.90,0.0000,0.0000
2011-03-31 00:00,313.27,393.60,0.00,6.01,65.38,0.0000,0.0000
2011-04-01 00:00,281.31,393.60,0.03,2.97,65.01,0.0000,0.0008
2011-04-02 00:00,250.25,444.57,0.01,5.39,63.86,0.0000,0.0000
2011-04-03 00:00,420.66,455.90,0.28,0.49,65.76,0.0002,0.0479
2011-04-04 00:00,365.90,461.56,0.02,3.44,65.04,0.0000,0.0007
2011-04-05 00:00,315.56,475.72,0.00,5.89,63.52,0.0000,0.0000
2011-04-06 00:00,276.09,611.64,0.02,8.28,61.79,0.0000,0.0000
2011-04-07 00:00,243.81,668.28,0.00,7.83,59.86,0.0000,0.0000
2011-04-08 00:00,216.68,781.54,0.00,9.74,57.64,0.0000,0.0000
2011-04-09 00:00,193.52,883.49,0.00,6.42,56.21,0.0000,0.0000
2011-04-10 00:00,915.73,945.78,0.98,7.58,62.78,0.0005,0.1428
2011-04-11 00:00,727.90,1160.99,0.08,6.08,62.28,0.0000,0.0066
2011-04-12 00:00,582.82,1333.72,0.00,9.64,60.10,0.0000,0.0000
2011-04-13 00:00,486.07,1396.02,0.00,10.69,57.77,0.0000,0.0000
2011-04-14 00:00,416.83,1339.39,0.02,8.01,56.61,0.0000,0.0008
2011-04-15 00:00,375.07,1118.52,0.07,9.44,55.77,0.0000,0.0041
2011-04-16 00:00,464.21,889.15,0.25,4.47,57.44,0.0001,0.0302
2011-04-17 00:00,384.02,815.53,0.00,7.39,55.87,0.0000,0.0000
2011-04-18 00:00,325.30,775.88,0.00,10.51,53.78,0.0000,0.0000
2011-04-19 00:00,418.16,540.85,0.23,2.49,55.89,0.0002,0.0317
2011-04-20 00:00,352.92,523.86,0.10,4.77,55.97,0.0000,0.0026
2011-04-21 00:00,298.76,472.89,0.00,7.54,54.49,0.0000,0.0000
2011-04-22 00:00,332.79,467.23,0.14,3.65,55.27,0.0001,0.0158
2011-04-23 00:00,385.25,467.23,0.24,4.75,56.52,0.0001,0.0232
2011-04-24 00:00,332.20,458.73,0.00,10.97,54.35,0.0000,0.0000
2011-04-25 00:00,288.61,453.07,0.00,13.22,51.87,0.0000,0.0000
2011-04-26 00:00,760.50,427.58,0.75,2.17,58.38,0.0005,0.1125
2011-04-27 00:00,591.95,464.40,0.00,4.94,57.35,0.0000,0.0000
2011-04-28 00:00,495.23,549.35,0.04,3.22,57.09,0.0000,0.0013
2011-04-29 00:00,422.34,713.58,0.00,12.82,54.42,0.0000,0.0000
2011-04-30 00:00,378.57,739.07,0.06,6.13,53.85,0.0000,0.0023
2011-05-01 00:00,334.39,739.07,0.06,7.34,52.92,0.0000,0.0005
2011-05-02 00:00,294.87,724.91,0.00,8.21,51.35,0.0000,0.0000
2011-05-03 00:00,261.57,509.70,0.00,10.49,49.47,0.0000,0.0000
2011-05-04 00:00,233.22,407.76,0.00,14.69,46.90,0.0000,0.0000
2011-05-05 00:00,213.53,294.50,0.05,4.32,46.56,0.0000,0.0011
2011-05-06 00:00,192.08,246.92,0.00,12.72,44.39,0.0000,0.0000
2011-05-07 00:00,173.04,280.90,0.00,13.89,42.17,0.0000,0.0000
2011-05-08 00:00,156.37,266.46,0.00,15.01,39.97,0.0000,0.0000
2011-05-09 00:00,279.16,267.31,0.49,11.90,43.54,0.0002,0.0378
2011-05-10 00:00,250.48,269.86,0.01,12.47,41.66,0.0000,0.0000
2011-05-11 00:00,277.33,272.69,0.34,10.08,43.73,0.0001,0.0199
2011-05-12 00:00,313.45,319.98,0.25,15.23,43.44,0.0000,0.0129
2011-05-13 00:00,369.62,322.81,0.22,8.40,44.22,0.0001,0.0179
2011-05-14 00:00,317.73,322.81,0.01,6.78,43.36,0.0000,0.0000
2011-05-15 00:00,273.53,325.64,0.01,16.77,40.95,0.0000,0.0000
2011-05-16 00:00,237.08,317.15,0.00,15.59,38.78,0.0000,0.0000
2011-05-17 00:00,206.60,264.76,0.00,17.15,36.55,0.0000,0.0000
2011-05-18 00:00,180.92,251.45,0.01,9.02,35.55,0.0000,0.0000
2011-05-19 00:00,159.14,239.28,0.00,15.48,33.69,0.0000,0.0000
2011-05-20 00:00,140.59,241.83,0.00,17.29,31.72,0.0000,0.0000
2011-05-21 00:00,191.43,222.00,0.27,6.02,33.53,0.0001,0.0176
2011-05-22 00:00,293.71,200.77,0.52,15.48,36.46,0.0001,0.0261
2011-05-23 00:00,265.49,223.42,0.03,6.77,35.86,0.0000,0.0011
2011-05-24 00:00,227.85,234.75,0.01,10.62,34.63,0.0000,0.0000
2011-05-25 00:00,261.47,308.65,0.27,8.36,38.19,0.0003,0.0212
2011-05-26 00:00,221.19,353.96,0.00,15.37,36.24,0.0000,0.0000
2011-05-27 00:00,188.10,322.81,0.00,15.02,34.42,0.0000,0.0000
2011-05-28 00:00,166.33,252.87,0.13,13.82,33.63,0.0000,0.0009
2011-05-29 00:00,148.08,225.97,0.09,13.79,32.62,0.0000,0.0006
2011-05-30 00:00,131.81,208.70,0.02,10.73,31.40,0.0000,0.0002
2011-05-31 00:00,117.06,200.48,0.02,17.46,29.65,0.0000,0.0000
2011-06-01 00:00,104.31,205.86,0.00,19.31,27.73,0.0000,0.0000
2011-06-02 00:00,93.30,147.25,0.00,18.49,26.02,0.0000,0.0000
2011-06-03 00:00,83.76,177.55,0.00,17.23,24.54,0.0000,0.0000
2011-06-04 00:00,75.46,198.78,0.00,19.81,22.92,0.0000,0.0000
2011-06-05 00:00,68.21,183.78,0.00,20.58,21.38,0.0000,0.0000
2011-06-06 00:00,65.83,184.06,0.16,15.70,21.39,0.0000,0.0015
2011-06-07 00:00,60.15,170.18,0.01,22.83,19.81,0.0000,0.0000
2011-06-08 00:00,54.68,163.11,0.01,26.50,18.14,0.0000,0.0000
2011-06-09 00:00,49.84,142.43,0.00,16.00,17.21,0.0000,0.0000
2011-06-10 00:00,49.40,139.32,0.10,4.52,17.98,0.0000,0.0018
2011-06-11 00:00,53.55,168.20,0.21,11.35,18.72,0.0000,0.0040
2011-06-12 00:00,52.56,156.59,0.00,18.08,17.63,0.0000,0.0000
2011-06-13 00:00,49.46,150.93,0.00,19.65,16.51,0.0000,0.0000
2011-06-14 00:00,45.79,124.59,0.00,18.63,15.51,0.0000,0.0000
2011-06-15 00:00,51.61,117.23,0.18,6.60,17.59,0.0001,0.0047
2011-06-16 00:00,49.09,150.65,0.02,15.48,16.71,0.0000,0.0000
2011-06-17 00:00,45.16,142.72,0.00,18.25,15.64,0.0000,0.0000
2011-06-18 00:00,54.75,146.11,0.30,13.24,17.37,0.0001,0.0069
2011-06-19 00:00,266.46,149.23,1.17,12.41,30.79,0.0005,0.0658
