Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2011-03-30 00:00,171.98,152.34,0.00,5.87,64.11,0.0000,0.0000
2011-03-31 00:00,143.43,143.85,0.00,5.81,63.12,0.0000,0.0000
2011-04-01 00:00,119.91,160.84,0.00,2.57,62.74,0.0000,0.0000
2011-04-02 00:00,100.48,163.95,0.00,5.31,61.84,0.0000,0.0000
2011-04-03 00:00,199.08,193.12,0.24,0.30,63.33,0.0001,0.0399
2011-04-04 00:00,178.54,300.16,0.02,3.11,62.93,0.0000,0.0006
2011-04-05 00:00,151.45,404.93,0.00,5.02,62.10,0.0000,0.0000
2011-04-06 00:00,127.52,523.86,0.01,7.02,61.03,0.0000,0.0000
2011-04-07 00:00,107.22,656.95,0.00,6.56,59.94,0.0000,0.0000
2011-04-08 00:00,90.19,841.01,0.00,8.75,58.56,0.0000,0.0000
2011-04-09 00:00,75.97,1005.25,0.00,5.23,57.77,0.0000,0.0000
2011-04-10 00:00,625.93,1279.92,0.93,6.31,62.88,0.0003,0.1438
2011-04-11 00:00,493.94,1747.15,0.06,6.47,62.31,0.0000,0.0049
2011-04-12 00:00,389.99,1744.32,0.00,9.51,60.74,0.0000,0.0000
2011-04-13 00:00,316.30,1305.41,0.00,9.88,59.18,0.0000,0.0000
2011-04-14 00:00,259.80,897.64,0.00,9.48,57.73,0.0000,0.0000
2011-04-15 00:00,214.81,586.16,0.01,10.71,56.16,0.0000,0.0000
2011-04-16 00:00,248.03,492.71,0.17,5.32,56.68,0.0000,0.0184
2011-04-17 00:00,203.32,373.78,0.00,7.16,55.62,0.0000,0.0000
2011-04-18 00:00,167.19,317.15,0.00,10.68,54.01,0.0000,0.0000
2011-04-19 00:00,167.09,270.14,0.07,3.19,54.14,0.0000,0.0076
2011-04-20 00:00,146.85,267.31,0.09,4.59,54.25,0.0000,0.0028
2011-04-21 00:00,122.05,247.49,0.00,7.86,53.15,0.0000,0.0000
2011-04-22 00:00,134.52,221.44,0.09,4.10,53.31,0.0000,0.0091
